voltages,dlcaps
-0.781394746,73.81974475
-0.779165226,73.40957121
-0.777381611,72.75627872
-0.774706187,72.05897727
-0.773219841,71.49620752
-0.770990321,70.85316019
-0.769875562,70.3642283
-0.768760802,69.82456663
-0.767274456,69.30310541
-0.765416523,68.7781033
-0.765044936,68.28900607
-0.76355859,67.73493285
-0.762072243,66.96344635
-0.760585897,66.37676114
-0.759594999,65.86678507
-0.758356377,65.30106136
-0.756870031,64.59117529
-0.755383685,63.82983474
-0.753897338,63.10726623
-0.752410992,62.37817531
-0.750924646,61.79583837
-0.749809886,61.13406291
-0.749066713,60.59613035
-0.747704229,60.06014736
-0.746168337,59.40969861
-0.74497926,58.68960045
-0.743492914,58.16234153
-0.742749741,57.56921016
-0.741263394,56.87792501
-0.739479779,56.21173267
-0.738290702,55.58352786
-0.736804355,54.90045609
-0.735318009,54.27246235
-0.733460076,53.46119941
-0.731602143,52.60790324
-0.729818527,51.93460873
-0.728257864,51.33243124
-0.727143104,50.80291553
-0.725656758,50.26985893
-0.724170411,49.75033027
-0.722386796,49.04089684
-0.720751815,48.45859297
-0.718596613,47.77226386
-0.716367093,47.01507455
-0.71450916,46.38498935
-0.712651227,45.82882467
-0.710496025,45.1283637
-0.708006395,44.46232842
-0.706581979,44.0386894
-0.704476322,43.56519688
-0.702618389,43.02497584
-0.70038887,42.57808361
-0.69871673,42.01849561
-0.695558244,41.33072286
-0.692585551,40.68639144
-0.689984445,40.08546001
-0.687383339,39.53851955
-0.684410646,38.96702158
-0.681437954,38.39516126
-0.678465261,37.85591293
-0.675492568,37.36014725
-0.672519876,36.83539314
-0.669547183,36.36499235
-0.665831317,35.7498147
-0.661372278,35.10581395
-0.657284825,34.53565105
-0.65356896,34.06976386
-0.649853094,33.53720326
-0.646137228,33.09450682
-0.642049775,32.60502841
-0.637590736,32.06731859
-0.633131697,31.58758566
-0.628672658,31.11268413
-0.624213619,30.66435533
-0.61975458,30.23776787
-0.615295541,29.79910189
-0.610836502,29.39184005
-0.606377463,29.00752739
-0.601918424,28.66186598
-0.597459385,28.33915375
-0.593000346,27.94638613
-0.588541307,27.57777554
-0.584082268,27.28888316
-0.579623228,26.93476679
-0.575164189,26.6458744
-0.57070515,26.37147624
-0.566617698,26.09409656
-0.561787072,25.80093858
-0.557105081,25.51354522
-0.552868994,25.27629928
-0.548409955,24.99948542
-0.543950916,24.77581702
-0.539491877,24.52316018
-0.535032838,24.29949179
-0.530573799,24.0830705
-0.526486346,23.88540903
-0.521655721,23.6357337
-0.517196682,23.41931242
-0.512737643,23.22946386
-0.508278604,23.04444672
-0.503745247,22.81209832
-0.499360525,22.5826157
-0.494901486,22.43866551
-0.490442447,22.28746821
-0.485983408,22.09278825
-0.481524369,21.89810829
-0.47706533,21.73966388
-0.472792084,21.62103724
