x,y
-1.5,-10.640619448179855
-1.491159390276438,-10.640619371976195
-1.4823187805528757,-10.640619267625294
-1.4734781708293134,-10.640619124963246
-1.4646375611057512,-10.640618930200361
-1.4554093485222754,-10.640618651007822
-1.446123206006725,-10.640618262716378
-1.4367780191083885,-10.640617722156835
-1.4273726374287945,-10.640616968755056
-1.4179058859740932,-10.640615917411036
-1.408380532942736,-10.64061444911509
-1.4,-10.640612692687702
-1.391619467057264,-10.640610350482332
-1.383238934114528,-10.640607229260207
-1.374858401171792,-10.64060307272535
-1.366477868229056,-10.64059754112254
-1.3565931281290204,-10.640588627714674
-1.3466369834495617,-10.640576056346664
-1.3366078543671742,-10.640558296919496
-1.3265041211828617,-10.640533166541973
-1.3163291658228329,-10.64049756618836
-1.3074223481012877,-10.640454690828259
-1.3,-10.640407783299876
-1.2925776518987124,-10.640347676864495
-1.2851553037974246,-10.640270697298618
-1.2777329556961368,-10.64017215889121
-1.270310607594849,-10.640046089399368
-1.2604141434597986,-10.639821731950608
-1.2497045532488953,-10.639480270599442
-1.2389038757084545,-10.638989536904134
-1.228009776166481,-10.638282754353106
-1.217027671024216,-10.637263584542715
-1.2077398504655528,-10.636065813852326
-1.2,-10.634750787676397
-1.1922601495344471,-10.633060512061908
-1.1845202990688941,-10.630889325203517
-1.176780448603341,-10.628102291768736
-1.169040598137788,-10.624527273321531
-1.1587207975170508,-10.618147394182735
-1.1470832219209401,-10.607920439263319
-1.1361982116789644,-10.59425233462565
-1.1271273698106512,-10.57866820555423
-1.1195683349203902,-10.561826354679328
-1.1132691391785061,-10.544415938527289
-1.1080198093936027,-10.527068116310362
-1.103645367906183,-10.510301735435563
-1.1,-10.494501427528654
-1.0963546320938171,-10.476837834879458
-1.0927092641876341,-10.457101967587164
-1.0890638962814512,-10.435063838877975
-1.0854185283752682,-10.410470961056951
-1.080558037833691,-10.373224994458102
-1.0740773837782547,-10.314463309249142
-1.0654365117043396,-10.21674604873423
-1.0539153489391195,-10.04319770480755
-1.04115877107149,-9.776494708487702
-1.0296898896892817,-9.451915262705196
-1.0201324885374414,-9.10831989528563
-1.0121679875775744,-8.765675084527068
-1.005530903444352,-8.439217155098811
-1.0,-8.138654769171938
-0.994469096555648,-7.812894564936586
-0.9889381931112959,-7.463373827387988
-0.977876386222592,-6.702568919118052
-0.9668145793338879,-5.882382875885862
-0.9557527724451839,-5.03812965399477
-0.9418004732438169,-4.0000183612800635
-0.9276281252785751,-3.044804754832269
-0.9132295849199572,-2.229266497733284
-0.9,-1.6348104099850171
-0.8867704150800428,-1.1813429829705593
-0.8735408301600855,-0.8467459150117048
-0.8603112452401283,-0.6041069137858148
-0.8451979635867095,-0.4088207492385693
-0.8326035622088606,-0.2936819159774239
-0.8221082277273197,-0.22173314664088117
-0.8133621156593691,-0.17461880999667082
-0.8060736889360769,-0.14256455919426303
-0.8,-0.12004924044243759
-0.7939263110639232,-0.10080137588521225
-0.7878526221278462,-0.08437693005359764
-0.7817789331917693,-0.07038844327726218
-0.7757052442556923,-0.05849800161498141
-0.7676069923409231,-0.04540516765063172
-0.7568093231212308,-0.03193784125456797
-0.744471785716187,-0.020849110272161287
-0.7341905045453171,-0.014251501188701748
-0.7256227702362589,-0.01016393290347162
-0.718482991645377,-0.007543363463146788
-0.7125331761529754,-0.00581157037396122
-0.7075749965759741,-0.004634888097071381
-0.7034431802618064,-0.0038145799843903997
-0.7,-0.0032290549190759055
-0.6965568197381935,-0.0027228349736952875
-0.693113639476387,-0.0022872931829175584
-0.6862272789527742,-0.001596615925237833
-0.6793409184291613,-0.001099620527772437
-0.6690113776437421,-0.0006149044602038755
-0.6586818368583227,-0.00033658404263023286
-0.644909115811097,-0.00014708050023094934
-0.6271428721935202,-4.92232738477293e-5
-0.6123376691788728,-1.950796310664714e-5
-0.6,-8.974486063128808e-6
-0.5876623308211272,-4.1177367151700985e-6
-0.5753246616422544,-1.8866308706023711e-6
-0.5629869924633816,-8.638463884409664e-7
-0.5506493232845088,-3.9548326773720076e-7
-0.5343449211541751,-1.4088786979751112e-7
-0.520757919378897,-5.964676803907586e-8
-0.5094354178994986,-2.9157543749200773e-8
-0.5,-1.6065950630631498e-8
-0.49056458210050136,-8.856109744981948e-9
-0.4811291642010027,-4.883925516027326e-9
-0.47169374630150407,-2.6945857969010396e-9
-0.4622583284020054,-1.487361582576423e-9
-0.44967777120267394,-6.739702043255762e-10
-0.4336861190718579,-2.4671759962116313e-10
-0.42035974229617784,-1.0690062529413813e-10
-0.4092544283164445,-5.3291655951375813e-11
