x,y
-1.5,-10.60099011232609
-1.4932890167170314,-10.600984705923375
-1.4865780334340628,-10.600978187709734
-1.4731560668681258,-10.600960860858006
-1.4597341003021886,-10.600935700949702
-1.4447654443146336,-10.600894039699591
-1.4322915643250045,-10.60084337564896
-1.4218966643336468,-10.600785529799415
-1.4132342476741822,-10.60072286405793
-1.4060155671246282,-10.600657883374557
-1.4,-10.600592914348118
-1.3939844328753717,-10.600516217926849
-1.3879688657507434,-10.60042568565825
-1.3759377315014871,-10.600192724818802
-1.3639065972522306,-10.59986831753327
-1.3518754630029741,-10.599416743411888
-1.3374203780638525,-10.598634725954653
-1.3253744739479179,-10.597699460915132
-1.3153362205179724,-10.596646439525253
-1.3069710093263511,-10.595518980580838
-1.3,-10.594361340890295
-1.293028990673649,-10.592961260233132
-1.2860579813472979,-10.59126834682222
-1.2790869720209468,-10.58922186120348
-1.2721159626945957,-10.586748638669404
-1.2628212835927943,-10.582632477654467
-1.2512715905475413,-10.57584222654918
-1.2416468463431638,-10.568323752365107
-1.2336262261728492,-10.560389887421664
-1.2269423760309204,-10.552345833398148
-1.2213725009126464,-10.544456507290832
-1.2167309383140847,-10.536929406416998
-1.21286296948195,-10.529910425151733
-1.2096396621218377,-10.523488438008739
-1.2069535726550775,-10.517704596519371
-1.2047151647661107,-10.512563235746855
-1.2028498248586383,-10.508042398561498
-1.2012953749357447,-10.504102924020344
-1.2,-10.500695709840958
-1.1987046250642552,-10.497171509849267
-1.1974092501285103,-10.493526486128145
-1.1948185002570209,-10.48585804159802
-1.189637000514042,-10.46888938110696
-1.1792740010280842,-10.427371805296712
-1.1689110015421262,-10.373412078858637
-1.1585480020561683,-10.303654041015935
-1.1447306694082244,-10.17897738542187
-1.1270350199720038,-9.94902528713584
-1.11228864544182,-9.677911849441045
-1.1,-9.382953304168344
-1.0877113545581802,-9.014761964915172
-1.0754227091163604,-8.565630968902527
-1.0631340636745406,-8.031701239358533
-1.0508454182327207,-7.414871093388978
-1.038104160388061,-6.697804875805541
-1.0274864455175112,-6.053758197530087
-1.018638349792053,-5.4969024597309515
-1.0112649366875046,-5.027271873584738
-1.0051204257670476,-4.637282055306543
-1.0,-4.316314340075361
-0.9948795742329525,-4.001391565970093
-0.989759148465905,-3.694622710175534
-0.9846387226988574,-3.3979375529890867
-0.9769580840482862,-2.975473568382125
-0.9654371260724294,-2.401095869042525
-0.9481556891086441,-1.688417982005299
-0.9291050868239058,-1.108321270473354
-0.9132295849199572,-0.7668798802045411
-0.9,-0.5596939071355216
-0.8867704150800428,-0.4062191256772706
-0.8735408301600855,-0.2933875164255306
-0.8603112452401283,-0.210896597981408
-0.8451979635867095,-0.1438094745921262
-0.8326035622088606,-0.10402861052317487
-0.8221082277273197,-0.07914497547142188
-0.8133621156593691,-0.06284662112183857
-0.8060736889360769,-0.05174437086927019
-0.8,-0.043926755710887416
-0.7939263110639232,-0.03721871309233065
-0.7878526221278462,-0.03146424190026049
-0.7817789331917693,-0.02652906122735885
-0.7757052442556923,-0.022297893308490246
-0.7676069923409231,-0.01758301734709099
-0.7568093231212308,-0.012641913013472247
-0.744471785716187,-0.00846519564364131
-0.7341905045453171,-0.005909175399480294
-0.7256227702362589,-0.004287494444695901
-0.718482991645377,-0.0032274802283488954
-0.7125331761529754,-0.002515927422853781
-0.7075749965759741,-0.002026289802856793
-0.7034431802618064,-0.0016813965484223706
-0.7,-0.00143311445341824
-0.6965568197381935,-0.0012168160572176457
-0.693113639476387,-0.0010292984829266127
-0.6862272789527742,-0.0007286261479559647
-0.6793409184291613,-0.0005089684872757625
-0.6690113776437421,-0.0002907525551078343
-0.6586818368583227,-0.00016257145248452134
-0.644909115811097,-7.304898172008081e-5
-0.6271428721935202,-2.531273993032537e-5
-0.6123376691788728,-1.0315632163890134e-5
-0.6,-4.853690918315958e-6
-0.5876623308211272,-2.276295400412334e-6
-0.5753246616422544,-1.0653884712299987e-6
-0.5629869924633816,-4.98039096196212e-7
-0.5506493232845088,-2.326613239280509e-7
-0.5343449211541751,-8.505614926826843e-8
-0.520757919378897,-3.6769101507089455e-8
-0.5094354178994986,-1.8280842250593436e-8
-0.5,-1.0212603889008602e-8
-0.49056458210050136,-5.706007957744136e-9
-0.4811291642010027,-3.1885553278511706e-9
-0.47169374630150407,-1.7820856131865387e-9
-0.4622583284020054,-9.961943964252674e-10
-0.44967777120267394,-4.5888195014694085e-10
-0.4336861190718579,-1.7140366240744645e-10
-0.42035974229617784,-7.548078019056067e-11
-0.4092544283164445,-3.8126479039550806e-11
