pH ,8.9,pH,9.3,pH,8.8
0.02 M KHCO3,,0.1 M KHCO3,,0.5 M KHCO3,
E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2)
-0.46405,-0.00155,-0.43306,-3.51E-04,-0.58775,-0.00285
-0.46003,-0.00148,-0.42906,-3.43E-04,-0.58376,-0.0028
-0.45604,-0.00139,-0.42505,-2.98E-04,-0.57974,-0.00275
-0.45204,-0.00136,-0.42104,-2.38E-04,-0.57573,-0.00269
-0.44804,-0.00131,-0.41703,-2.43E-04,-0.57174,-0.00263
-0.44404,-0.00127,-0.41303,-2.72E-04,-0.56774,-0.00257
-0.44001,-0.00122,-0.40903,-2.14E-04,-0.56374,-0.0025
-0.43602,-0.00117,-0.40502,-7.86E-05,-0.55972,-0.00243
-0.43207,-0.00112,-0.40101,-1.13E-04,-0.55573,-0.00237
-0.42807,-0.00106,-0.39703,-5.16E-05,-0.55173,-0.00232
-0.42406,-0.00101,-0.39305,1.63E-05,-0.54775,-0.00226
-0.42005,-9.78E-04,-0.38905,1.16E-05,-0.54376,-0.00219
-0.41527,-9.22E-04,-0.38504,7.23E-05,-0.53973,-0.00212
-0.41052,-8.55E-04,-0.38103,1.08E-04,-0.53574,-0.00205
-0.40653,-8.08E-04,-0.37703,1.76E-04,-0.53172,-0.00198
-0.4025,-7.53E-04,-0.37303,2.37E-04,-0.52773,-0.00192
-0.39851,-6.77E-04,-0.36903,2.50E-04,-0.52373,-0.00186
-0.39453,-6.58E-04,-0.36503,2.80E-04,-0.51971,-0.0018
-0.39055,-6.06E-04,-0.36103,3.15E-04,-0.51571,-0.00174
-0.38654,-5.60E-04,-0.35704,3.58E-04,-0.51173,-0.00167
-0.38252,-5.15E-04,-0.35307,3.83E-04,-0.50774,-0.00161
-0.37852,-4.67E-04,-0.34908,4.37E-04,-0.50374,-0.00154
-0.37451,-4.32E-04,-0.34504,4.89E-04,-0.49972,-0.00147
-0.37052,-4.00E-04,-0.34105,5.42E-04,-0.49573,-0.00141
-0.36652,-3.35E-04,-0.33705,5.71E-04,-0.49173,-0.00134
-0.3625,-3.22E-04,-0.33305,6.15E-04,-0.48774,-0.00128
-0.35851,-2.81E-04,-0.32906,5.94E-04,-0.48373,-0.00122
-0.35455,-2.40E-04,-0.32502,6.61E-04,-0.47971,-0.00116
-0.35055,-1.96E-04,-0.32104,7.17E-04,-0.47572,-0.00111
-0.34655,-1.50E-04,-0.31705,7.26E-04,-0.47174,-0.00106
-0.34254,-1.12E-04,-0.31306,7.58E-04,-0.46774,-0.001
-0.33854,-7.02E-05,-0.30905,7.86E-04,-0.46374,-9.39E-04
-0.33454,-3.19E-05,-0.30504,8.37E-04,-0.459,-8.99E-04
-0.33055,3.83E-05,-0.30103,8.54E-04,-0.45422,-8.17E-04
-0.32653,4.86E-05,-0.29704,9.25E-04,-0.44949,-7.22E-04
-0.32253,8.88E-05,-0.29304,9.24E-04,-0.444,-7.00E-04
-0.31854,1.27E-04,-0.28905,0.00103,-0.43923,-6.27E-04
-0.31455,1.70E-04,-0.28501,0.00104,-0.43525,-5.68E-04
-0.31056,2.04E-04,-0.28103,0.00106,-0.43127,-5.05E-04
-0.30654,2.43E-04,-0.27703,0.0011,-0.42727,-4.63E-04
-0.30254,2.82E-04,-0.27305,0.00109,-0.42325,-4.16E-04
-0.29854,3.19E-04,-0.26905,0.00114,-0.41924,-3.69E-04
-0.29453,3.56E-04,-0.26502,0.00121,-0.41524,-3.34E-04
-0.29054,4.24E-04,-0.26102,0.00123,-0.41124,-2.97E-04
-0.28651,4.28E-04,-0.25702,0.0013,-0.40726,-2.50E-04
-0.28253,4.66E-04,-0.25302,0.00135,-0.40322,-2.11E-04
-0.27853,5.06E-04,-0.249,0.00139,-0.39924,-1.79E-04
-0.27454,5.39E-04,-0.24498,0.00145,-0.39524,-1.45E-04
-0.27055,5.74E-04,-0.24099,0.00146,-0.39127,-1.01E-04
-0.26652,6.11E-04,-0.23701,0.0015,-0.38728,-6.84E-05
-0.26254,6.50E-04,-0.23303,0.00156,-0.38325,-2.53E-05
-0.25853,6.85E-04,-0.229,0.00161,-0.37925,1.65E-05
-0.25453,7.22E-04,-0.225,0.00166,-0.37524,5.48E-05
-0.25052,7.96E-04,-0.221,0.00173,-0.37125,9.77E-05
-0.2465,7.96E-04,-0.217,0.00178,-0.36726,1.40E-04
-0.24251,8.37E-04,-0.213,0.00184,-0.36323,1.81E-04
-0.23853,8.74E-04,-0.20821,0.00195,-0.35924,2.26E-04
-0.23454,9.13E-04,-0.20349,0.00204,-0.35528,2.61E-04
-0.23054,9.52E-04,-0.1995,0.00213,-0.35128,3.02E-04
-0.22651,9.94E-04,-0.19551,0.00219,-0.34727,3.38E-04
-0.22253,0.00103,-0.1915,0.00237,-0.34325,3.79E-04
-0.21853,0.00108,-0.18749,0.00244,-0.33926,4.21E-04
-0.21452,0.00116,-0.1835,0.00258,-0.33526,4.57E-04
-0.21051,0.00117,-0.1795,0.00267,-0.33126,4.99E-04
-0.2065,0.00121,-0.17549,0.00284,-0.32726,5.43E-04
-0.20251,0.00126,-0.17148,0.00297,-0.32324,5.76E-04
-0.19855,0.0013,-0.16748,0.00313,-0.31925,6.21E-04
-0.19455,0.00135,-0.16348,0.00332,-0.31526,6.62E-04
-0.19053,0.0014,-0.15951,0.00351,-0.31127,7.10E-04
-0.18652,0.00145,-0.15551,0.00372,-0.30726,7.51E-04
-0.18253,0.00154,-0.1515,0.00402,-0.30325,8.03E-04
-0.17852,0.00156,-0.14749,0.00421,-0.29924,8.46E-04
-0.17452,0.00162,-0.14349,0.00447,-0.29524,8.97E-04
-0.17051,0.00168,-0.1395,0.00475,-0.29126,9.44E-04
-0.1665,0.00174,-0.1355,0.00504,-0.28723,0.00101
-0.16251,0.00181,-0.13149,0.00535,-0.28324,0.00106
-0.15778,0.00189,-0.12748,0.00566,-0.27923,0.00113
-0.15306,0.00199,-0.12348,0.00608,-0.27523,0.0012
-0.14904,0.00208,-0.11951,0.00635,-0.27124,0.00127
-0.14504,0.00217,-0.11553,0.0067,-0.26723,0.00135
-0.14104,0.00227,-0.11151,0.00705,-0.26321,0.00143
-0.13705,0.00242,-0.1075,0.00735,-0.25921,0.00152
-0.13304,0.0025,-0.10351,0.00777,-0.25521,0.00161
-0.12902,0.00262,-0.0995,0.00804,-0.25121,0.00173
-0.12503,0.0028,-0.0955,0.00834,-0.24718,0.00184
-0.12105,0.0029,-0.09149,0.00862,-0.24244,0.00206
-0.11707,0.00304,-0.08749,0.00886,-0.23771,0.00224
-0.11306,0.00325,-0.0835,0.00907,-0.23373,0.00237
-0.10904,0.00337,-0.07952,0.00927,-0.22972,0.00256
-0.10505,0.00358,-0.07553,0.00943,-0.2257,0.00276
-0.10104,0.00371,-0.07151,0.00966,-0.2217,0.00299
-0.09705,0.00393,-0.06751,0.00966,-0.21769,0.00324
-0.09303,0.00408,-0.06352,0.00974,-0.21369,0.00352
-0.08902,0.00425,-0.05952,0.00979,-0.20969,0.00384
-0.08503,0.00448,-0.05551,0.00981,-0.20567,0.00419
-0.08105,0.00461,-0.05149,0.00982,-0.20168,0.00458
-0.07708,0.00482,-0.0475,0.0098,-0.1977,0.00502
-0.07304,0.00494,-0.04352,0.00975,-0.19372,0.0055
-0.06904,0.00507,-0.03953,0.0097,-0.1897,0.00604
-0.06504,0.00525,-0.03553,0.0096,-0.1857,0.00664
-0.06105,0.00531,-0.03152,0.0095,-0.1817,0.00729
-0.05705,0.0054,-0.02753,0.00939,-0.17769,0.00802
-0.05303,0.00547,-0.02353,0.00927,-0.1737,0.00882
-0.04902,0.00553,-0.01951,0.00911,-0.16968,0.00976
-0.04504,0.00562,-0.01552,0.00896,-0.16569,0.01068
-0.04107,0.00559,-0.0115,0.00881,-0.1617,0.01173
-0.03707,0.00559,-0.00751,0.00865,-0.15771,0.01285
-0.03304,0.00559,-0.00354,0.00847,-0.15372,0.01406
-0.02905,0.00558,4.62E-04,0.00831,-0.14969,0.01535
-0.02504,0.00556,0.00447,0.00817,-0.14568,0.01673
-0.02104,0.00554,0.00849,0.008,-0.14097,0.01869
-0.01705,0.00551,0.01246,0.00786,-0.13622,0.02033
-0.01303,0.00549,0.01648,0.00771,-0.13222,0.02191
-0.00902,0.00548,0.02048,0.00756,-0.12821,0.02356
-0.00505,0.00545,0.02448,0.00742,-0.12421,0.02521
-0.00107,0.00542,0.02848,0.00714,-0.12023,0.02699
0.00295,0.00542,0.03249,0.00724,-0.11625,0.02859
0.00696,0.0054,0.03649,0.00704,-0.11223,0.03024
0.01095,0.0054,0.04049,0.00692,-0.10821,0.03184
0.01495,0.0054,0.0445,0.00681,-0.10422,0.03334
0.01895,0.00541,0.04851,0.0067,-0.10022,0.0348
0.02296,0.00541,0.05251,0.00658,-0.09622,0.03636
0.02697,0.00542,0.05652,0.00649,-0.09221,0.03751
0.03097,0.00544,0.06051,0.00638,-0.0882,0.03866
0.03498,0.00544,0.06452,0.00629,-0.08422,0.03973
0.03896,0.00545,0.06851,0.00618,-0.08024,0.04067
0.04298,0.00548,0.07249,0.00609,-0.07625,0.04148
0.04699,0.00546,0.07648,0.006,-0.07222,0.04216
0.05099,0.00547,0.08047,0.00592,-0.06822,0.04276
0.05499,0.00549,0.08449,0.00584,-0.06423,0.04319
0.05899,0.00547,0.08849,0.00576,-0.06023,0.04355
0.063,0.00546,0.09248,0.00569,-0.05625,0.04377
0.06701,0.00546,0.09649,0.00564,-0.05222,0.04407
0.071,0.00544,0.10048,0.00558,-0.04822,0.04401
0.07498,0.00543,0.1045,0.00551,-0.04424,0.04398
0.07897,0.00542,0.1085,0.00546,-0.04026,0.04385
0.08301,0.00539,0.11247,0.00541,-0.03626,0.04368
0.08699,0.00536,0.11645,0.00537,-0.03224,0.04346
0.091,0.00535,0.12045,0.00534,-0.02825,0.04319
0.095,0.00533,0.12448,0.0053,-0.02425,0.04286
0.099,0.00529,0.12847,0.00527,-0.02024,0.04249
0.10302,0.00526,0.13246,0.00525,-0.01625,0.04208
0.107,0.00524,0.13647,0.00523,-0.01222,0.04166
0.11099,0.00519,0.14047,0.00521,-0.00822,0.04125
0.11497,0.00517,0.14449,0.0052,-0.00424,0.04077
0.11896,0.00515,0.14848,0.0052,-2.53E-04,0.0403
0.12298,0.00511,0.15245,0.0052,0.00375,0.03982
0.12697,0.00508,0.15644,0.0052,0.00778,0.0393
0.13098,0.00506,0.16045,0.00522,0.01176,0.0388
0.13498,0.00498,0.16447,0.00524,0.01576,0.03828
0.13898,0.00497,0.16846,0.00526,0.01976,0.03777
0.14299,0.00498,0.17246,0.0053,0.02376,0.03726
0.14699,0.00496,0.17645,0.00533,0.02777,0.03675
0.15096,0.00493,0.18047,0.00538,0.03177,0.03623
0.15496,0.00492,0.18447,0.00543,0.03576,0.03572
0.15896,0.0049,0.18846,0.00549,0.03975,0.03521
0.16297,0.00489,0.19242,0.00555,0.04376,0.03461
0.16697,0.00488,0.19641,0.00563,0.04777,0.03413
0.17096,0.00488,0.20043,0.0057,0.05177,0.03361
0.17496,0.00487,0.20444,0.00576,0.05576,0.03307
0.17897,0.00487,0.20844,0.00584,0.05976,0.03254
0.18299,0.00488,0.21245,0.00589,0.06378,0.03202
0.18697,0.00489,0.21644,0.00595,0.06778,0.0315
0.19093,0.0049,0.22044,0.00598,0.07176,0.03098
0.19494,0.00493,0.22445,0.006,0.07574,0.03044
0.19894,0.00496,0.22843,0.006,0.07973,0.02991
0.20296,0.00499,0.23241,0.00598,0.08377,0.02941
0.20696,0.00502,0.23642,0.00592,0.08776,0.0289
0.21097,0.00507,0.24043,0.00586,0.09175,0.02839
0.21496,0.00511,0.24443,0.00577,0.09576,0.0279
0.21898,0.00516,0.24842,0.00569,0.09976,0.02738
0.22298,0.00521,0.25242,0.00559,0.10378,0.02692
0.22697,0.00533,0.25642,0.00551,0.10777,0.02644
0.23095,0.00534,0.26044,0.00543,0.11175,0.02596
0.23495,0.0054,0.26444,0.00536,0.11573,0.02546
0.23897,0.00545,0.26841,0.0053,0.11973,0.02505
0.24297,0.0055,0.2724,0.00526,0.12375,0.02461
0.24697,0.00555,0.27639,0.00522,0.12775,0.02418
0.25097,0.00558,0.2804,0.0052,0.13175,0.02377
0.25496,0.00565,0.2844,0.00518,0.13574,0.02338
0.25898,0.00562,0.28839,0.00516,0.13974,0.02298
0.26298,0.0056,0.29239,0.00509,0.14376,0.0226
0.26695,0.00558,0.29639,0.00515,0.14776,0.02225
0.27093,0.00555,0.30042,0.00514,0.15175,0.02188
0.27493,0.00551,0.30441,0.00513,0.15573,0.02154
0.27895,0.00546,0.30839,0.00512,0.15973,0.02122
0.28295,0.00542,0.31239,0.00512,0.16374,0.02088
0.28695,0.00538,0.31638,0.0051,0.16773,0.0206
0.29095,0.00533,0.32041,0.00508,0.17174,0.02034
0.29495,0.0053,0.3244,0.00506,0.17573,0.02004
0.29898,0.00528,0.3284,0.00503,0.17974,0.01978
0.30296,0.00517,0.3324,0.005,0.18374,0.01953
0.30695,0.00523,0.33641,0.00496,0.18774,0.01928
0.31096,0.00522,0.34042,0.00491,0.1917,0.01902
0.31494,0.00519,0.34441,0.00487,0.1957,0.01878
0.31896,0.00518,0.34839,0.00483,0.1997,0.01854
0.32295,0.00517,0.35239,0.00478,0.20372,0.01828
0.32696,0.00516,0.3564,0.00472,0.20771,0.018
0.33095,0.00515,0.3604,0.00468,0.21171,0.01773
0.33496,0.00514,0.3644,0.00463,0.2157,0.01744
0.33897,0.00513,0.36841,0.00459,0.21972,0.01715
0.34297,0.00511,0.37239,0.00455,0.22372,0.01687
0.34696,0.00509,0.37642,0.00452,0.22771,0.01657
0.35095,0.00507,0.38041,0.00449,0.23168,0.01628
0.35495,0.00504,0.38441,0.00446,0.23568,0.01597
0.35896,0.00502,0.38839,0.00445,0.23968,0.01571
0.36296,0.00499,0.39238,0.00442,0.24369,0.01545
0.36696,0.00495,0.39639,0.00439,0.24769,0.01516
0.37095,0.00492,0.40041,0.00439,0.2517,0.01499
0.37496,0.00489,0.40442,0.00436,0.25569,0.01475
0.37897,0.00486,0.40842,0.00434,0.2597,0.01456
0.38297,0.00483,0.41241,0.00433,0.26371,0.01438
0.38695,0.00481,0.41644,0.00432,0.26769,0.01423
0.39095,0.00478,0.42044,0.00432,0.27167,0.01406
0.39495,0.00469,0.42441,0.00432,0.27567,0.01391
0.39897,0.00474,0.4284,0.00434,0.27968,0.01375
0.40297,0.00472,0.43239,0.00436,0.28369,0.01363
0.40697,0.00469,0.43641,0.00438,0.28769,0.01349
0.41096,0.00468,0.44041,0.00442,0.29169,0.01337
0.41498,0.00467,0.44441,0.00444,0.29567,0.01324
0.41898,0.00465,0.44841,0.00447,0.29971,0.01311
0.42297,0.00465,0.4524,0.00451,0.3037,0.01299
0.42694,0.00464,0.45643,0.00456,0.30769,0.01287
0.43094,0.00463,0.46042,0.00461,0.31168,0.01276
0.43496,0.00463,0.4644,0.00467,0.31568,0.01263
0.43895,0.00462,0.4684,0.00474,0.31971,0.01251
0.44296,0.00462,0.47239,0.00481,0.32369,0.01238
0.44695,0.00461,0.4764,0.00489,0.3277,0.01226
0.45095,0.00461,0.4804,0.00498,0.33169,0.01213
0.45498,0.0046,0.4844,0.00506,0.3357,0.01202
0.45897,0.0046,0.48839,0.00517,0.33972,0.01189
0.46296,0.0046,0.4924,0.00527,0.34371,0.01176
0.46694,0.0046,0.49641,0.00537,0.3477,0.01165
0.47093,0.0046,0.50041,0.00548,0.35169,0.01153
0.47495,0.0046,0.50439,0.00559,0.35569,0.01142
0.47895,0.00461,0.50839,0.00577,0.35971,0.01129
0.48295,0.00461,0.51238,0.0058,0.36371,0.01121
0.48695,0.00461,0.5164,0.0059,0.36771,0.0111
0.49095,0.00462,0.5204,0.00598,0.3717,0.011
0.49497,0.00462,0.5244,0.00606,0.37571,0.01091
0.49896,0.00463,0.52839,0.00614,0.37972,0.01083
0.50294,0.00464,0.53241,0.00619,0.38372,0.01074
0.50694,0.00465,0.53641,0.00626,0.3877,0.01066
0.51094,0.00466,0.5404,0.0063,0.3917,0.01059
0.51496,0.00467,0.5444,0.00633,0.3957,0.01053
0.51895,0.00468,0.54839,0.00634,0.39971,0.01046
0.52296,0.00469,0.5524,0.00636,0.40372,0.01042
0.52694,0.00469,0.5564,0.00636,0.40773,0.01037
0.53095,0.00471,0.5604,0.00636,0.41171,0.01034
0.53497,0.00471,0.56439,0.00635,0.41573,0.01031
0.53897,0.00471,0.56839,0.00635,0.41974,0.0103
0.54294,0.00471,0.57241,0.0063,0.42372,0.01031
0.54694,0.00469,0.57641,0.00629,0.4277,0.01032
0.55095,0.00468,0.58039,0.00625,0.43168,0.01032
0.55495,0.00466,0.58438,0.00623,0.43571,0.01038
0.55895,0.00463,0.58837,0.00618,0.43971,0.01041
0.56295,0.00459,0.59239,0.00615,0.44372,0.01046
0.56695,0.00455,0.59639,0.0061,0.44771,0.01049
0.57096,0.0045,0.60038,0.00606,0.4517,0.01056
0.57497,0.00444,0.6044,0.00602,0.45573,0.01064
0.57896,0.00439,0.6084,0.00598,0.45972,0.0107
0.58293,0.00433,0.61242,0.00592,0.46372,0.01077
0.58691,0.00426,0.6164,0.00588,0.46771,0.01084
0.59094,0.0042,0.6204,0.00583,0.47169,0.01095
0.59495,0.00414,0.62438,0.00576,0.47572,0.011
0.59895,0.00398,0.62838,0.0057,0.4797,0.01109
0.60295,0.00403,0.6324,0.00566,0.48371,0.01115
0.60694,0.00394,0.6364,0.00558,0.4877,0.01122
0.61096,0.00389,0.6404,0.00551,0.49171,0.01128
0.61496,0.00384,0.6444,0.00543,0.49573,0.01131
0.61895,0.0038,0.6478,0.00536,0.49973,0.01133
0.62294,0.00375,0.64918,0.00533,0.5037,0.01136
0.62693,0.00371,0.64906,0.00415,0.5077,0.01137
0.63095,0.00367,0.64623,-0.00261,0.51169,0.01132
0.63494,0.00355,0.64073,-0.00264,0.51572,0.01132
0.63894,0.00363,0.63597,-0.0028,0.51971,0.01127
0.64294,0.00357,0.63198,-0.00284,0.52371,0.01123
0.64695,0.00353,0.62796,-0.00286,0.52769,0.01118
0.65096,0.00349,0.62397,-0.00287,0.53172,0.01115
0.65496,0.00345,0.61998,-0.00287,0.53572,0.01107
0.65895,0.00341,0.61598,-0.00288,0.53971,0.01102
0.66294,0.00337,0.61199,-0.00285,0.54369,0.01096
0.66694,0.00333,0.60797,-0.00284,0.54768,0.01088
0.67097,0.00329,0.60397,-0.00282,0.55169,0.01083
0.67495,0.00325,0.59996,-0.00279,0.55571,0.01075
0.67805,0.00304,0.59597,-0.00276,0.5597,0.01065
0.67916,0.00314,0.59197,-0.00273,0.5637,0.01059
0.67917,0.00352,0.58795,-0.00269,0.5677,0.0105
0.67714,-0.00116,0.58396,-0.00265,0.57171,0.01039
0.67314,-0.00129,0.57999,-0.00261,0.57571,0.01027
0.66912,-0.00132,0.576,-0.00256,0.5797,0.01018
0.66511,-0.00132,0.572,-0.00252,0.58368,0.01005
0.66112,-0.00132,0.56798,-0.00248,0.58767,0.00993
0.65711,-0.00132,0.56397,-0.00242,0.59169,0.0098
0.65313,-0.0013,0.55998,-0.00237,0.5957,0.00967
0.64911,-0.0013,0.55598,-0.00232,0.60045,0.00922
0.64511,-0.00129,0.55197,-0.00226,0.60522,0.0093
0.64112,-0.00128,0.54795,-0.0022,0.60923,0.00914
0.63711,-0.00127,0.54397,-0.00215,0.61324,0.00898
0.63312,-0.00127,0.53999,-0.00209,0.61723,0.00883
0.62909,-0.00125,0.53599,-0.00203,0.62121,0.00866
0.6251,-0.00124,0.53198,-0.00198,0.62521,0.00851
0.62111,-0.00124,0.52798,-0.00192,0.62921,0.00835
0.61712,-0.00123,0.52398,-0.00187,0.63322,0.00818
0.61313,-0.00122,0.51999,-0.00181,0.63722,0.00804
0.60911,-0.00121,0.51599,-0.00177,0.64122,0.00788
0.6051,-0.0012,0.51197,-0.00172,0.64523,0.00775
0.6011,-0.00119,0.50797,-0.00167,0.64923,0.00758
0.59711,-0.00118,0.50397,-0.00163,0.65325,0.00744
0.59311,-0.00118,0.49999,-0.00159,0.65724,0.00729
0.58908,-0.00118,0.496,-0.00156,0.66124,0.00715
0.58508,-0.00117,0.49197,-0.00153,0.66523,0.00701
0.5811,-0.00117,0.48796,-0.0015,0.66925,0.00686
0.57712,-0.00117,0.48397,-0.00147,0.67325,0.00673
0.57313,-0.00117,0.47997,-0.00146,0.6772,0.0066
0.56911,-0.00117,0.47598,-0.00143,0.67916,0.00667
0.56511,-0.00117,0.47195,-0.00142,0.67916,0.00684
0.56111,-0.00117,0.46797,-0.00141,0.67627,-5.68E-04
0.55712,-0.00118,0.46397,-0.0014,0.6708,-5.44E-04
0.55311,-0.00117,0.45998,-0.00139,0.66599,-6.09E-04
0.5491,-0.00118,0.45599,-0.00138,0.66126,-7.51E-04
0.54511,-0.00118,0.45196,-0.00138,0.6565,-7.55E-04
0.54112,-0.00119,0.44798,-0.00137,0.65251,-8.35E-04
0.53713,-0.0012,0.44398,-0.00138,0.6485,-9.30E-04
0.53312,-0.0012,0.43998,-0.00138,0.6445,-0.00103
0.52912,-0.00121,0.43596,-0.00138,0.6405,-0.00109
0.52511,-0.00122,0.43195,-0.00139,0.63649,-0.0012
0.52111,-0.00122,0.42796,-0.0014,0.6325,-0.0013
0.51712,-0.00124,0.42398,-0.00139,0.62849,-0.0014
0.5131,-0.00124,0.41999,-0.0014,0.62449,-0.00149
0.50909,-0.00125,0.41599,-0.00142,0.6205,-0.0016
0.50509,-0.00127,0.41197,-0.00142,0.61651,-0.00171
0.50113,-0.00128,0.40797,-0.00143,0.61252,-0.0018
0.49712,-0.00133,0.40397,-0.00144,0.60849,-0.00189
0.49311,-0.00131,0.39996,-0.00146,0.60374,-0.00208
0.4891,-0.00132,0.39595,-0.00147,0.59899,-0.00211
0.4851,-0.00133,0.39194,-0.00148,0.595,-0.00219
0.4811,-0.00135,0.38794,-0.0015,0.59098,-0.00227
0.4771,-0.00136,0.38396,-0.00151,0.58697,-0.00232
0.4731,-0.00138,0.37997,-0.00152,0.58299,-0.00236
0.46909,-0.0014,0.37596,-0.00154,0.579,-0.00241
0.4651,-0.00142,0.37195,-0.00155,0.57502,-0.00243
0.46112,-0.00144,0.36796,-0.00156,0.57101,-0.00243
0.45713,-0.00145,0.36396,-0.00157,0.56699,-0.00245
0.4531,-0.00148,0.35996,-0.00158,0.563,-0.00242
0.4491,-0.0015,0.35595,-0.00159,0.559,-0.0024
0.44511,-0.00152,0.35195,-0.00159,0.555,-0.00237
0.4411,-0.00155,0.34796,-0.00159,0.55099,-0.00233
0.4371,-0.00157,0.34397,-0.00159,0.54699,-0.00228
0.43309,-0.0016,0.33998,-0.00159,0.543,-0.00224
0.42909,-0.00168,0.33596,-0.00159,0.53901,-0.00219
0.42511,-0.00165,0.33196,-0.00159,0.53501,-0.00213
0.42113,-0.00168,0.32796,-0.00159,0.53101,-0.00206
0.41713,-0.00171,0.32395,-0.00159,0.527,-0.002
0.41311,-0.00174,0.31997,-0.00159,0.52301,-0.00193
0.40911,-0.00177,0.31594,-0.00159,0.519,-0.00187
0.40511,-0.00179,0.31195,-0.0016,0.515,-0.0018
0.40111,-0.00182,0.30795,-0.00159,0.51097,-0.00174
0.3971,-0.00185,0.30397,-0.0016,0.50699,-0.00164
0.39309,-0.00186,0.29997,-0.00161,0.50299,-0.00159
0.38909,-0.00189,0.29594,-0.00161,0.49901,-0.0015
0.38511,-0.0019,0.29195,-0.00162,0.49502,-0.00143
0.3811,-0.00191,0.28795,-0.00163,0.491,-0.00136
0.37711,-0.00192,0.28394,-0.00165,0.487,-0.00129
0.37309,-0.00192,0.27994,-0.00165,0.483,-0.00123
0.3691,-0.00193,0.27593,-0.00167,0.479,-0.00116
0.36511,-0.00193,0.27194,-0.00173,0.475,-0.00109
0.36111,-0.00193,0.26796,-0.00171,0.47099,-0.00103
0.35709,-0.00192,0.26397,-0.00173,0.467,-9.78E-04
0.35309,-0.00191,0.25997,-0.00176,0.46301,-9.29E-04
0.3491,-0.0019,0.25595,-0.00178,0.45826,-9.38E-04
0.34511,-0.0019,0.25195,-0.0018,0.45276,-7.83E-04
0.34112,-0.00189,0.24795,-0.00184,0.44799,-7.63E-04
0.33711,-0.00189,0.24396,-0.00187,0.44325,-7.55E-04
0.3331,-0.00189,0.23995,-0.00191,0.4385,-6.46E-04
0.3291,-0.00189,0.23594,-0.00195,0.43449,-6.20E-04
0.3251,-0.00189,0.23194,-0.00199,0.43048,-6.10E-04
0.32111,-0.00194,0.22797,-0.00203,0.42649,-5.68E-04
0.3171,-0.00192,0.22398,-0.00209,0.42252,-5.75E-04
0.31309,-0.00192,0.21998,-0.00214,0.41854,-5.39E-04
0.30909,-0.00194,0.21595,-0.00221,0.41452,-5.47E-04
0.30511,-0.00196,0.21196,-0.00227,0.41051,-5.27E-04
0.30112,-0.00198,0.20795,-0.00234,0.40651,-5.23E-04
0.29709,-0.00201,0.20396,-0.00242,0.4025,-5.21E-04
0.29308,-0.00203,0.19995,-0.00251,0.3985,-5.20E-04
0.2891,-0.00207,0.19593,-0.00261,0.39449,-5.07E-04
0.28509,-0.00211,0.19195,-0.00271,0.39049,-5.11E-04
0.2811,-0.00216,0.18798,-0.00282,0.38649,-5.19E-04
0.27707,-0.00221,0.18399,-0.00296,0.3825,-5.09E-04
0.27308,-0.00232,0.17997,-0.00315,0.37851,-5.14E-04
0.26909,-0.00234,0.17596,-0.00324,0.37449,-5.17E-04
0.26512,-0.00241,0.17197,-0.0034,0.3705,-5.25E-04
0.26113,-0.0025,0.16797,-0.00358,0.36651,-5.25E-04
0.2571,-0.00259,0.16398,-0.00377,0.36251,-5.32E-04
0.25311,-0.00275,0.15996,-0.00397,0.3585,-5.42E-04
0.2491,-0.00281,0.15596,-0.0042,0.35449,-5.46E-04
0.24511,-0.00292,0.15196,-0.00443,0.35049,-5.49E-04
0.2411,-0.00312,0.14798,-0.00467,0.3465,-5.56E-04
0.23708,-0.00321,0.14399,-0.00502,0.34251,-5.67E-04
0.23309,-0.00338,0.13997,-0.00522,0.33852,-5.74E-04
0.2291,-0.0036,0.13598,-0.0055,0.33448,-5.87E-04
0.22512,-0.00373,0.13198,-0.00582,0.33049,-5.89E-04
0.22111,-0.00399,0.12796,-0.00614,0.32649,-5.94E-04
0.2171,-0.00414,0.12397,-0.00646,0.32249,-6.01E-04
0.2131,-0.00442,0.11995,-0.00692,0.3185,-6.20E-04
0.20909,-0.00461,0.11596,-0.00719,0.31449,-6.21E-04
0.2051,-0.00487,0.11197,-0.00755,0.31049,-6.42E-04
0.20109,-0.00511,0.10799,-0.00794,0.30651,-6.38E-04
0.19708,-0.00533,0.10399,-0.0083,0.30252,-6.57E-04
0.19307,-0.00563,0.09996,-0.00878,0.29851,-6.71E-04
0.18911,-0.00583,0.09597,-0.00904,0.2945,-6.79E-04
0.18512,-0.00614,0.09196,-0.00938,0.29049,-6.86E-04
0.18111,-0.00642,0.08796,-0.00966,0.28649,-7.03E-04
0.17711,-0.00664,0.08396,-0.00993,0.28249,-7.12E-04
0.1731,-0.00695,0.07994,-0.01015,0.27849,-7.27E-04
0.1691,-0.00723,0.07595,-0.01039,0.27448,-7.43E-04
0.1651,-0.00745,0.07198,-0.01041,0.27048,-7.51E-04
0.16109,-0.00778,0.06798,-0.01035,0.26651,-7.63E-04
0.15709,-0.00804,0.06397,-0.01017,0.26253,-7.80E-04
0.15311,-0.00824,0.05996,-0.00986,0.25851,-7.92E-04
0.14912,-0.00856,0.05596,-0.00946,0.2545,-8.09E-04
0.14511,-0.00872,0.05196,-0.00901,0.2505,-8.27E-04
