pH ,8.9,pH,9.3,pH,8.8
0.02 M KHCO3,,0.1 M KHCO3,,0.5 M KHCO3,
E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2)
-0.78298,-0.00908,-0.81309,-0.00775,-0.66294,-0.00567
-0.78696,-0.00917,-0.81715,-0.00792,-0.66694,-0.00579
-0.79096,-0.00925,-0.82116,-0.00798,-0.67091,-0.00589
-0.79497,-0.00934,-0.82516,-0.00812,-0.67491,-0.00598
-0.79896,-0.00946,-0.82917,-0.00826,-0.67892,-0.00608
-0.80297,-0.00954,-0.83318,-0.00837,-0.68291,-0.00617
-0.80699,-0.00965,-0.83721,-0.00842,-0.68691,-0.00625
-0.81098,-0.0098,-0.84122,-0.0086,-0.69092,-0.00632
-0.81503,-0.00989,-0.84524,-0.00879,-0.69491,-0.0064
-0.81906,-0.01007,-0.84927,-0.00898,-0.69892,-0.00649
-0.82306,-0.01019,-0.85328,-0.00921,-0.70293,-0.00656
-0.82706,-0.01036,-0.85732,-0.00936,-0.70692,-0.00663
-0.83108,-0.01047,-0.86132,-0.00958,-0.7109,-0.00673
-0.8351,-0.01062,-0.86533,-0.00974,-0.7149,-0.0068
-0.83911,-0.0107,-0.86935,-0.00992,-0.71892,-0.00688
-0.84312,-0.01082,-0.87336,-0.01027,-0.72292,-0.00694
-0.84712,-0.01097,-0.87738,-0.01061,-0.72692,-0.00701
-0.85113,-0.01108,-0.88139,-0.01087,-0.73093,-0.00711
-0.85517,-0.01125,-0.88542,-0.01126,-0.73492,-0.00719
-0.85917,-0.01137,-0.88944,-0.01162,-0.73894,-0.00726
-0.86317,-0.01157,-0.89347,-0.01208,-0.74295,-0.00732
-0.86719,-0.01175,-0.89748,-0.01267,-0.74692,-0.00738
-0.87123,-0.01197,-0.90149,-0.01314,-0.75089,-0.00747
-0.87525,-0.01217,-0.90548,-0.01377,-0.75489,-0.00756
-0.87926,-0.0124,-0.90949,-0.01437,-0.75892,-0.00763
-0.88328,-0.01261,-0.91351,-0.01498,-0.76291,-0.0077
-0.88728,-0.01281,-0.91753,-0.01572,-0.76692,-0.00779
-0.89131,-0.01306,-0.92154,-0.01651,-0.77091,-0.0079
-0.89532,-0.0133,-0.92554,-0.01738,-0.7749,-0.00801
-0.89933,-0.01355,-0.92955,-0.01832,-0.77893,-0.00812
-0.90334,-0.01385,-0.93358,-0.01929,-0.78291,-0.00825
-0.90735,-0.01421,-0.93831,-0.0204,-0.78689,-0.00839
-0.91139,-0.01461,-0.94305,-0.0216,-0.79089,-0.00854
-0.91541,-0.01499,-0.94706,-0.02267,-0.7949,-0.00869
-0.91942,-0.01536,-0.95109,-0.02377,-0.79891,-0.00885
-0.92345,-0.01577,-0.9551,-0.02488,-0.80291,-0.00906
-0.92747,-0.01622,-0.9591,-0.02605,-0.80694,-0.00935
-0.93153,-0.0167,-0.96312,-0.02727,-0.81094,-0.00961
-0.93554,-0.0172,-0.96714,-0.02857,-0.81498,-0.00993
-0.93956,-0.01776,-0.97117,-0.02989,-0.81902,-0.0103
-0.94357,-0.01832,-0.97518,-0.03131,-0.82303,-0.01074
-0.94759,-0.01891,-0.97917,-0.03258,-0.82702,-0.01125
-0.95162,-0.01958,-0.98316,-0.03395,-0.83102,-0.01186
-0.95636,-0.02033,-0.98718,-0.03536,-0.83505,-0.0126
-0.96112,-0.0212,-0.99121,-0.03674,-0.83899,-0.01348
-0.96514,-0.02196,-0.99523,-0.03832,-0.84291,-0.01453
-0.96917,-0.02272,-0.99923,-0.03983,-0.8469,-0.01575
-0.97316,-0.02349,-1.00324,-0.04139,-0.85086,-0.0172
-0.97713,-0.0243,-1.00726,-0.04299,-0.8549,-0.0189
-0.98112,-0.02513,-1.01129,-0.04471,-0.85963,-0.02103
-0.98513,-0.02597,-1.01528,-0.04651,-0.86439,-0.02378
-0.98915,-0.02685,-1.0193,-0.04835,-0.86836,-0.0265
-0.99314,-0.02775,-1.02332,-0.05021,-0.87236,-0.02962
-0.99717,-0.02861,-1.02733,-0.05206,-0.87639,-0.03304
-1.00118,-0.02951,-1.03136,-0.05425,-0.8804,-0.03696
-1.00521,-0.03045,-1.03537,-0.05633,-0.88433,-0.04114
-1.00922,-0.03135,-1.03937,-0.05866,-0.88821,-0.04574
-1.01325,-0.0323,-1.04338,-0.06093,-0.89219,-0.05073
-1.01726,-0.03323,-1.04741,-0.06336,-0.89622,-0.05622
-1.02127,-0.03414,-1.05142,-0.06588,-0.90024,-0.06192
-1.0253,-0.03507,-1.05544,-0.06855,-0.90424,-0.06783
-1.02933,-0.03603,-1.05942,-0.07126,-0.90815,-0.07369
-1.03337,-0.03701,-1.06343,-0.07416,-0.91207,-0.07971
-1.03739,-0.03804,-1.06746,-0.07712,-0.91611,-0.08585
-1.04142,-0.03909,-1.07146,-0.08025,-0.9201,-0.09194
-1.04543,-0.04013,-1.07548,-0.08349,-0.92408,-0.09784
-1.04942,-0.04108,-1.07949,-0.08687,-0.9281,-0.10367
-1.05339,-0.04204,-1.08352,-0.0904,-0.93214,-0.1092
-1.05741,-0.043,-1.08754,-0.09403,-0.93616,-0.11459
-1.06147,-0.04399,-1.09157,-0.09782,-0.94017,-0.11958
-1.06548,-0.04497,-1.09558,-0.10174,-0.94419,-0.12436
