Au(110),,Au(111),,Au(100),
E(V vs. RHE),j (mA/cm2),E(V vs. RHE),j (mA/cm2),E(V vs. RHE),j (mA/cm2)
-0.70831,-3.66468,-0.70839,-0.30043,-0.78408,-0.44588
-0.70929,-3.6797,-0.7094,-0.30417,-0.78502,-0.44823
-0.71031,-3.73011,-0.71042,-0.30637,-0.78604,-0.45023
-0.71131,-3.72077,-0.7114,-0.30784,-0.78697,-0.45268
-0.71232,-3.70866,-0.71242,-0.30992,-0.78792,-0.45903
-0.71331,-3.73049,-0.71343,-0.31329,-0.78895,-0.45941
-0.71432,-3.76871,-0.71443,-0.31623,-0.78988,-0.46249
-0.71531,-3.75,-0.71542,-0.31753,-0.7908,-0.4656
-0.71633,-3.73474,-0.71644,-0.31991,-0.79178,-0.4705
-0.71716,-3.78551,-0.71747,-0.32278,-0.7927,-0.4719
-0.71795,-3.79408,-0.71847,-0.3267,-0.79366,-0.47474
-0.71852,-3.77759,-0.71948,-0.3266,-0.79462,-0.47742
-0.71902,-3.76911,-0.72049,-0.33032,-0.79549,-0.48301
-0.7195,-3.76034,-0.72153,-0.33366,-0.79648,-0.48325
-0.7201,-3.76341,-0.72253,-0.33507,-0.79742,-0.48655
-0.72082,-3.79588,-0.72354,-0.33826,-0.79823,-0.48946
-0.72153,-3.81531,-0.72454,-0.34029,-0.79863,-0.49244
-0.7222,-3.81233,-0.72557,-0.34316,-0.79856,-0.49357
-0.72273,-3.79428,-0.72657,-0.34565,-0.79804,-0.49014
-0.72341,-3.77911,-0.72757,-0.34756,-0.79705,-0.48296
-0.72409,-3.80943,-0.72854,-0.35201,-0.79607,-0.47819
-0.72468,-3.84433,-0.72954,-0.35355,-0.79504,-0.47439
-0.7254,-3.84697,-0.73055,-0.35662,-0.79405,-0.47082
-0.72599,-3.82915,-0.73156,-0.35892,-0.79305,-0.46487
-0.72657,-3.8144,-0.73257,-0.36129,-0.79207,-0.45988
-0.72718,-3.81177,-0.73358,-0.3656,-0.79105,-0.45853
-0.72775,-3.84335,-0.73458,-0.36702,-0.79004,-0.45384
-0.72827,-3.86535,-0.73562,-0.36991,-0.78907,-0.44967
-0.72901,-3.86535,-0.73661,-0.37163,-0.78805,-0.4456
-0.72962,-3.84527,-0.73762,-0.37629,-0.78704,-0.44465
-0.73028,-3.82488,-0.73861,-0.37898,-0.78604,-0.43906
-0.73099,-3.83928,-0.73962,-0.38087,-0.78506,-0.43568
-0.73156,-3.87411,-0.74062,-0.38299,-0.78406,-0.43222
-0.73205,-3.88298,-0.74163,-0.38734,-0.78306,-0.43046
-0.73249,-3.87948,-0.74263,-0.39009,-0.78207,-0.42515
-0.73302,-3.86599,-0.74366,-0.39261,-0.78106,-0.42162
-0.73364,-3.84687,-0.74463,-0.39488,-0.78006,-0.41972
-0.73429,-3.84922,-0.74565,-0.39901,-0.77906,-0.41662
-0.73487,-3.87805,-0.74664,-0.40198,-0.77806,-0.41242
-0.73535,-3.89468,-0.74769,-0.40408,-0.77708,-0.40893
-0.73605,-3.89813,-0.74867,-0.40708,-0.77608,-0.40821
-0.73686,-3.87893,-0.74968,-0.40925,-0.77507,-0.40417
-0.73752,-3.86027,-0.7507,-0.41398,-0.77408,-0.40106
-0.73798,-3.87346,-0.75171,-0.41532,-0.7731,-0.39755
-0.73834,-3.89282,-0.75272,-0.41793,-0.7721,-0.39673
-0.73889,-3.91135,-0.75371,-0.42141,-0.77108,-0.39175
-0.73965,-3.91325,-0.75472,-0.42613,-0.77009,-0.38896
-0.74031,-3.89734,-0.75575,-0.42773,-0.76909,-0.38614
-0.74086,-3.87987,-0.75675,-0.43137,-0.76808,-0.38452
-0.74145,-3.88271,-0.75776,-0.43378,-0.76707,-0.3804
-0.74206,-3.91193,-0.75875,-0.43933,-0.76607,-0.37737
-0.74265,-3.92934,-0.75976,-0.44089,-0.76509,-0.37607
-0.74334,-3.92581,-0.76075,-0.44347,-0.7641,-0.3729
-0.7441,-3.90621,-0.76176,-0.44634,-0.76306,-0.36975
-0.74485,-3.89116,-0.7628,-0.45129,-0.76207,-0.36652
-0.74545,-3.91018,-0.76379,-0.45333,-0.76107,-0.36573
-0.74603,-3.93324,-0.7648,-0.45611,-0.76009,-0.36234
-0.74669,-3.94009,-0.76579,-0.45867,-0.75909,-0.35873
-0.74734,-3.92438,-0.76676,-0.4634,-0.75807,-0.3574
-0.74785,-3.90433,-0.7678,-0.46838,-0.75708,-0.35556
-0.74843,-3.89414,-0.76878,-0.47058,-0.7561,-0.35133
-0.74894,-3.91711,-0.76982,-0.47391,-0.75507,-0.34934
-0.74945,-3.94328,-0.77083,-0.47804,-0.75408,-0.34696
-0.75021,-3.94933,-0.77184,-0.48311,-0.75307,-0.34507
-0.75093,-3.93451,-0.77285,-0.48437,-0.75209,-0.33999
-0.75154,-3.91714,-0.77384,-0.4874,-0.75108,-0.34085
-0.75216,-3.91942,-0.77486,-0.49092,-0.75009,-0.33779
-0.75286,-3.95383,-0.77584,-0.49625,-0.74908,-0.33466
-0.75359,-3.96369,-0.77684,-0.49765,-0.74809,-0.33308
-0.75419,-3.95484,-0.77787,-0.50095,-0.74707,-0.32989
-0.75475,-3.94334,-0.77886,-0.50447,-0.74608,-0.32907
-0.75531,-3.92773,-0.77986,-0.51079,-0.74508,-0.32448
-0.75597,-3.93184,-0.78089,-0.51233,-0.74407,-0.3224
-0.75669,-3.96158,-0.7819,-0.51626,-0.74307,-0.3227
-0.75731,-3.97263,-0.78291,-0.51891,-0.74207,-0.3175
-0.75793,-3.95688,-0.78391,-0.52556,-0.74107,-0.31698
-0.75859,-3.9276,-0.7849,-0.52828,-0.74008,-0.31387
-0.75918,-3.92924,-0.78591,-0.53044,-0.73907,-0.31295
-0.75984,-3.9585,-0.78691,-0.53369,-0.73808,-0.3087
-0.76057,-3.96917,-0.78793,-0.53952,-0.73708,-0.3077
-0.7612,-3.96278,-0.78894,-0.54278,-0.73608,-0.30653
-0.76151,-3.95979,-0.78995,-0.54495,-0.73507,-0.30282
-0.76209,-3.95362,-0.79096,-0.54776,-0.73408,-0.30196
-0.76283,-3.94077,-0.79196,-0.55408,-0.73308,-0.2978
-0.7635,-3.95991,-0.79296,-0.55803,-0.73209,-0.29785
-0.76402,-3.97919,-0.79399,-0.56054,-0.73109,-0.2949
-0.76471,-3.98442,-0.79497,-0.56446,-0.73008,-0.29104
-0.76539,-3.96155,-0.79598,-0.56897,-0.72907,-0.29113
-0.76593,-3.94066,-0.797,-0.57552,-0.72809,-0.28873
-0.76657,-3.95245,-0.79799,-0.57643,-0.72708,-0.28555
-0.76718,-3.98566,-0.79901,-0.57972,-0.72608,-0.28356
-0.76776,-3.9899,-0.79998,-0.58471,-0.72508,-0.28282
-0.76838,-3.97707,-0.80101,-0.5903,-0.72408,-0.28034
-0.76903,-3.96729,-0.80202,-0.592,-0.72309,-0.27771
-0.76974,-3.95763,-0.80303,-0.59622,-0.72209,-0.27579
-0.77048,-3.96477,-0.80401,-0.59928,-0.72109,-0.27502
-0.7711,-3.98501,-0.80503,-0.60742,-0.72009,-0.27165
-0.77177,-3.99592,-0.80603,-0.61011,-0.71909,-0.26968
-0.77246,-3.977,-0.80703,-0.61393,-0.71808,-0.2683
-0.77312,-3.94823,-0.80803,-0.61798,-0.71708,-0.26674
-0.77368,-3.95635,-0.80857,-0.62234,-0.71607,-0.26332
-0.7742,-3.98326,-0.80866,-0.62387,-0.71509,-0.2615
-0.77483,-3.99641,-0.80861,-0.6237,-0.71408,-0.26103
-0.77549,-3.98696,-0.80807,-0.62034,-0.71308,-0.25756
-0.77626,-3.97097,-0.80704,-0.61178,-0.71208,-0.25625
-0.77692,-3.96014,-0.80608,-0.60599,-0.71108,-0.25428
-0.77761,-3.97359,-0.80507,-0.59907,-0.71009,-0.25332
-0.77823,-3.99558,-0.80405,-0.59664,-0.70909,-0.25078
-0.77888,-4.00009,-0.80306,-0.58951,-0.7081,-0.24778
-0.77965,-3.97906,-0.80206,-0.58296,-0.70708,-0.24793
-0.78037,-3.96172,-0.80107,-0.57723,-0.7061,-0.24478
-0.78097,-3.98175,-0.80007,-0.5753,-0.7051,-0.24293
-0.78162,-4.00516,-0.79907,-0.56935,-0.70411,-0.24073
-0.78207,-4.00416,-0.79808,-0.56329,-0.70307,-0.23987
-0.78219,-3.99945,-0.79705,-0.55784,-0.7021,-0.23784
-0.78242,-3.99602,-0.79605,-0.55557,-0.7011,-0.23522
-0.78292,-3.98844,-0.79508,-0.55135,-0.70012,-0.23375
-0.7837,-3.98094,-0.79407,-0.54459,-0.69911,-0.23316
-0.78435,-3.9684,-0.79307,-0.53943,-0.69808,-0.22967
-0.78494,-3.9838,-0.79207,-0.53725,-0.69711,-0.2285
-0.78561,-4.00447,-0.79106,-0.53393,-0.6961,-0.22687
-0.78635,-4.00112,-0.79005,-0.52699,-0.69509,-0.22561
-0.78696,-3.97488,-0.78906,-0.52298,-0.69409,-0.22261
-0.78765,-3.96288,-0.78806,-0.51815,-0.6931,-0.22184
-0.78841,-3.99658,-0.78707,-0.51682,-0.6921,-0.22047
-0.78899,-4.01187,-0.78608,-0.51043,-0.69109,-0.21761
-0.78966,-3.99897,-0.78504,-0.50602,-0.69009,-0.21614
-0.79039,-3.98881,-0.78409,-0.50214,-0.6891,-0.21423
-0.79101,-3.97949,-0.78307,-0.50095,-0.68811,-0.21324
-0.79158,-3.97219,-0.78206,-0.49478,-0.68709,-0.20983
-0.79221,-3.98955,-0.78107,-0.49035,-0.68608,-0.20995
-0.79276,-4.01389,-0.78009,-0.48576,-0.68509,-0.20815
-0.7934,-4.01376,-0.7791,-0.48465,-0.68411,-0.20602
-0.79397,-3.98968,-0.77808,-0.47938,-0.6831,-0.20512
-0.79446,-3.97119,-0.77708,-0.47494,-0.68209,-0.20221
-0.79508,-3.97493,-0.77605,-0.47076,-0.6811,-0.2013
-0.79572,-4.00341,-0.77508,-0.46887,-0.6801,-0.19943
-0.79633,-4.01609,-0.77407,-0.46598,-0.67909,-0.19763
-0.79702,-4.00619,-0.77306,-0.46044,-0.67809,-0.19645
-0.79755,-3.99131,-0.77208,-0.45677,-0.67708,-0.19424
-0.79804,-3.97707,-0.77106,-0.45508,-0.6761,-0.19255
-0.79865,-3.97595,-0.77007,-0.45191,-0.67509,-0.19188
-0.79931,-3.99801,-0.76904,-0.44658,-0.67409,-0.18959
-0.8,-4.00847,-0.76806,-0.44251,-0.67308,-0.18736
-0.80086,-3.99975,-0.76706,-0.4401,-0.67209,-0.18694
-0.80155,-3.98148,-0.76606,-0.43798,-0.67109,-0.18475
-0.8021,-3.96745,-0.76508,-0.43255,-0.67009,-0.18364
-0.80272,-3.98901,-0.76407,-0.4289,-0.66908,-0.18127
-0.80337,-4.01665,-0.76306,-0.42609,-0.66809,-0.18066
-0.80404,-4.01276,-0.76205,-0.4245,-0.6671,-0.17898
-0.80469,-3.99204,-0.76107,-0.41926,-0.66611,-0.17684
-0.80528,-3.9775,-0.76006,-0.41575,-0.66511,-0.17502
-0.80596,-3.97796,-0.75905,-0.41252,-0.6641,-0.1743
-0.80664,-4.00604,-0.75803,-0.41163,-0.66308,-0.17241
-0.80746,-4.01458,-0.75705,-0.40681,-0.6621,-0.17061
-0.80817,-4.0007,-0.75604,-0.40305,-0.66108,-0.16916
-0.80855,-3.99042,-0.75504,-0.39985,-0.66008,-0.16845
-0.80865,-3.98766,-0.75404,-0.39894,-0.65907,-0.16642
-0.80854,-3.98595,-0.75304,-0.39508,-0.6581,-0.16459
-0.808,-3.95958,-0.75204,-0.39128,-0.6571,-0.1641
-0.80699,-3.95075,-0.75104,-0.388,-0.65607,-0.16214
-0.80601,-3.93208,-0.75004,-0.387,-0.65508,-0.16054
-0.80501,-3.86942,-0.74903,-0.3835,-0.6541,-0.1587
-0.80402,-3.83569,-0.74804,-0.37963,-0.65311,-0.15799
-0.80302,-3.8373,-0.74703,-0.37613,-0.65209,-0.15602
-0.80201,-3.79548,-0.74604,-0.37467,-0.65109,-0.15441
-0.801,-3.74554,-0.74505,-0.37228,-0.65011,-0.15305
-0.79999,-3.72555,-0.74403,-0.36782,-0.64911,-0.15237
-0.799,-3.72147,-0.74305,-0.36477,-0.64809,-0.15033
-0.79801,-3.66988,-0.74203,-0.36262,-0.64709,-0.14864
-0.79702,-3.63335,-0.74103,-0.36085,-0.6461,-0.14813
-0.79601,-3.63893,-0.74003,-0.3564,-0.6451,-0.14652
-0.79502,-3.6023,-0.73904,-0.35328,-0.64409,-0.14487
-0.79403,-3.56001,-0.73804,-0.35142,-0.64311,-0.14313
-0.79299,-3.53692,-0.73706,-0.34983,-0.64209,-0.14246
-0.79201,-3.5309,-0.73604,-0.34574,-0.64111,-0.14075
-0.791,-3.49117,-0.73502,-0.34286,-0.6401,-0.13913
-0.79,-3.44442,-0.73404,-0.33996,-0.6391,-0.13775
-0.78902,-3.45017,-0.73304,-0.3391,-0.63809,-0.13704
-0.788,-3.4272,-0.73204,-0.33517,-0.63709,-0.13507
-0.78701,-3.38646,-0.73104,-0.33222,-0.63611,-0.13381
-0.786,-3.35392,-0.73003,-0.32946,-0.63509,-0.1328
-0.78499,-3.35743,-0.72905,-0.32855,-0.6341,-0.13175
-0.78401,-3.32874,-0.72804,-0.32511,-0.63309,-0.1299
-0.78301,-3.2841,-0.72705,-0.32201,-0.63209,-0.12849
-0.78203,-3.26506,-0.72604,-0.31933,-0.6311,-0.12782
-0.78101,-3.27227,-0.72505,-0.3184,-0.63009,-0.12629
-0.78002,-3.22975,-0.72403,-0.31547,-0.62909,-0.12476
-0.77902,-3.19398,-0.72302,-0.31225,-0.62808,-0.12338
-0.778,-3.1865,-0.72204,-0.30933,-0.62709,-0.12272
-0.77701,-3.17858,-0.72103,-0.30819,-0.6261,-0.12074
-0.77601,-3.13503,-0.72001,-0.30581,-0.62507,-0.11962
-0.77503,-3.10547,-0.71903,-0.30264,-0.62409,-0.11839
-0.77403,-3.10994,-0.71802,-0.30014,-0.62308,-0.11767
-0.77302,-3.0851,-0.71701,-0.29829,-0.62208,-0.11598
-0.77203,-3.04791,-0.71603,-0.29708,-0.62109,-0.11473
-0.77101,-3.03426,-0.71503,-0.29327,-0.62009,-0.11377
-0.77,-3.03097,-0.71404,-0.29057,-0.61908,-0.11264
-0.769,-2.99813,-0.71301,-0.28882,-0.6181,-0.11112
-0.768,-2.96303,-0.71203,-0.28748,-0.6171,-0.10989
-0.76702,-2.95985,-0.71102,-0.2841,-0.61608,-0.10912
-0.76601,-2.94819,-0.71005,-0.28191,-0.61507,-0.10762
-0.76502,-2.90741,-0.70902,-0.27935,-0.61408,-0.10631
-0.76402,-2.89092,-0.70802,-0.27889,-0.61308,-0.10503
-0.76301,-2.89342,-0.70703,-0.27554,-0.61209,-0.10445
-0.76201,-2.86509,-0.70603,-0.27301,-0.61108,-0.10283
-0.76102,-2.83052,-0.70503,-0.27044,-0.61008,-0.10184
-0.76002,-2.82423,-0.70401,-0.26959,-0.60907,-0.10071
-0.75903,-2.8186,-0.70303,-0.26708,-0.60807,-0.09984
-0.75802,-2.7816,-0.70204,-0.26435,-0.60708,-0.09833
-0.75702,-2.75653,-0.70105,-0.26189,-0.60606,-0.0972
-0.75601,-2.75762,-0.70002,-0.26103,-0.60506,-0.09641
-0.75503,-2.74018,-0.69903,-0.25879,-0.60406,-0.09518
-0.75401,-2.7048,-0.69803,-0.25605,-0.60309,-0.09391
-0.75301,-2.69405,-0.69703,-0.25361,-0.60207,-0.09268
-0.75201,-2.69226,-0.69602,-0.25242,-0.60107,-0.09207
-0.75101,-2.66088,-0.69502,-0.25066,-0.6001,-0.09066
-0.75001,-2.63356,-0.69404,-0.24765,-0.5991,-0.08967
-0.74902,-2.63364,-0.69304,-0.24566,-0.5981,-0.0885
-0.74802,-2.61847,-0.69203,-0.24386,-0.59708,-0.08785
-0.74702,-2.58773,-0.69104,-0.24289,-0.5961,-0.08636
-0.74602,-2.56933,-0.69003,-0.23979,-0.59509,-0.08547
-0.74503,-2.57294,-0.68903,-0.23759,-0.59408,-0.08438
-0.74402,-2.54716,-0.68803,-0.23598,-0.59157,-0.08163
-0.74302,-2.51916,-0.68704,-0.23501,-0.59058,-0.08057
-0.74201,-2.51268,-0.68603,-0.23203,-0.5896,-0.08005
-0.741,-2.50655,-0.68503,-0.23031,-0.58858,-0.07866
-0.74001,-2.477,-0.68402,-0.22782,-0.58756,-0.0777
-0.73901,-2.45349,-0.68302,-0.22709,-0.58656,-0.07684
-0.73801,-2.45547,-0.68206,-0.22473,-0.58557,-0.07598
-0.73701,-2.43647,-0.68103,-0.22226,-0.58456,-0.07476
-0.736,-2.40768,-0.68003,-0.22037,-0.58357,-0.07378
-0.73502,-2.39476,-0.67901,-0.21939,-0.58258,-0.0732
-0.73399,-2.39459,-0.67803,-0.21741,-0.58159,-0.07206
-0.733,-2.37009,-0.67704,-0.21503,-0.58058,-0.07107
-0.732,-2.34395,-0.67601,-0.21292,-0.57958,-0.07016
-0.73098,-2.34514,-0.67502,-0.21201,-0.57856,-0.06948
-0.72999,-2.33064,-0.674,-0.2103,-0.57758,-0.06832
-0.729,-2.3023,-0.67303,-0.20767,-0.5766,-0.06753
-0.728,-2.29113,-0.67202,-0.20579,-0.57558,-0.06652
-0.72699,-2.28652,-0.67102,-0.2046,-0.57458,-0.06584
-0.72598,-2.26555,-0.67001,-0.20325,-0.57358,-0.06477
-0.72498,-2.2405,-0.66902,-0.2006,-0.57258,-0.06384
-0.72399,-2.23783,-0.66802,-0.19892,-0.57158,-0.06323
-0.72297,-2.22798,-0.66701,-0.19697,-0.57058,-0.06227
-0.72197,-2.20319,-0.666,-0.19632,-0.56957,-0.06134
-0.72097,-2.18487,-0.66501,-0.19373,-0.56857,-0.06055
-0.71996,-2.18395,-0.66401,-0.19179,-0.56758,-0.05986
-0.71899,-2.16674,-0.66301,-0.19015,-0.56658,-0.05899
-0.71798,-2.14036,-0.66201,-0.18944,-0.56558,-0.05814
-0.71697,-2.13302,-0.661,-0.18709,-0.56458,-0.0572
-0.71598,-2.12912,-0.66002,-0.18529,-0.56359,-0.05672
-0.71496,-2.10579,-0.65903,-0.18324,-0.56258,-0.0556
-0.71397,-2.08604,-0.65803,-0.18255,-0.56158,-0.05501
-0.71296,-2.08697,-0.65702,-0.18057,-0.56057,-0.05416
-0.71197,-2.07136,-0.65603,-0.17848,-0.55958,-0.05348
-0.71098,-2.04693,-0.65504,-0.17663,-0.55859,-0.05264
-0.70996,-2.03551,-0.65403,-0.17587,-0.55758,-0.05181
-0.70896,-2.03122,-0.65303,-0.17416,-0.55657,-0.05131
-0.70798,-2.01233,-0.65202,-0.17213,-0.55557,-0.05045
-0.70697,-1.98904,-0.65102,-0.1703,-0.55457,-0.04977
-0.70596,-1.98467,-0.65003,-0.16914,-0.55356,-0.04893
-0.70494,-1.97747,-0.64902,-0.16793,-0.55257,-0.04848
-0.70396,-1.95206,-0.64804,-0.16564,-0.55157,-0.04764
-0.70296,-1.93709,-0.64703,-0.16383,-0.55058,-0.04698
-0.70193,-1.93639,-0.64603,-0.1627,-0.54959,-0.0462
-0.70095,-1.92074,-0.64504,-0.16159,-0.54858,-0.04577
-0.69995,-1.89909,-0.644,-0.15933,-0.54759,-0.04482
-0.69895,-1.88953,-0.643,-0.158,-0.5466,-0.04429
-0.69793,-1.88685,-0.642,-0.15604,-0.5456,-0.0436
-0.69694,-1.86392,-0.64102,-0.15554,-0.54459,-0.04308
-0.69594,-1.84415,-0.64001,-0.15341,-0.54359,-0.0423
-0.69495,-1.84292,-0.63903,-0.15165,-0.54257,-0.0417
-0.69393,-1.82882,-0.638,-0.15008,-0.54157,-0.04126
-0.69295,-1.80676,-0.63701,-0.1494,-0.54058,-0.04047
-0.69194,-1.79548,-0.63601,-0.14745,-0.53958,-0.03996
-0.69093,-1.79209,-0.63503,-0.14579,-0.53857,-0.03925
-0.68991,-1.77402,-0.63401,-0.1441,-0.53758,-0.03889
-0.68892,-1.75263,-0.63304,-0.1433,-0.53658,-0.03813
-0.68792,-1.75061,-0.63202,-0.14181,-0.53556,-0.03763
-0.68693,-1.74009,-0.63101,-0.14008,-0.53456,-0.03707
-0.68593,-1.71947,-0.63002,-0.13847,-0.53356,-0.0365
-0.6849,-1.70452,-0.62902,-0.13766,-0.53256,-0.03592
-0.68393,-1.70226,-0.62801,-0.13626,-0.53158,-0.03532
-0.68291,-1.68785,-0.627,-0.13433,-0.53058,-0.0349
-0.68191,-1.66608,-0.62602,-0.13286,-0.52957,-0.03443
-0.68091,-1.65314,-0.625,-0.13177,-0.52856,-0.03375
-0.67989,-1.65102,-0.62402,-0.13077,-0.52758,-0.03331
-0.67892,-1.62909,-0.623,-0.12892,-0.52658,-0.03296
-0.67789,-1.60985,-0.62201,-0.12731,-0.52558,-0.03228
-0.67689,-1.61113,-0.62101,-0.12618,-0.52457,-0.03187
-0.6759,-1.59604,-0.62002,-0.12521,-0.52357,-0.0313
-0.67489,-1.58282,-0.61901,-0.12342,-0.52256,-0.03099
-0.67391,-1.56424,-0.61803,-0.12209,-0.52158,-0.03045
-0.67292,-1.56075,-0.61701,-0.12073,-0.52057,-0.02992
-0.67189,-1.55063,-0.61604,-0.11991,-0.51957,-0.02955
-0.67091,-1.52271,-0.61502,-0.11827,-0.51858,-0.02914
-0.6699,-1.51741,-0.61402,-0.11678,-0.51759,-0.02856
-0.6689,-1.51305,-0.61302,-0.11544,-0.51658,-0.02817
-0.66791,-1.49096,-0.61204,-0.11468,-0.5156,-0.02781
-0.66691,-1.47683,-0.61102,-0.11312,-0.51459,-0.02731
-0.6659,-1.46849,-0.61001,-0.11174,-0.51357,-0.02692
-0.66489,-1.46087,-0.60901,-0.1103,-0.51256,-0.0265
-0.66389,-1.43987,-0.60801,-0.10957,-0.51157,-0.02622
-0.66291,-1.42599,-0.60702,-0.10816,-0.51057,-0.02566
-0.66191,-1.42573,-0.60603,-0.1067,-0.50959,-0.02537
-0.6609,-1.40737,-0.60502,-0.10532,-0.50857,-0.02495
-0.6599,-1.38904,-0.60401,-0.10446,-0.50755,-0.02458
-0.65887,-1.38297,-0.60302,-0.1034,-0.50657,-0.02418
-0.65789,-1.37355,-0.60202,-0.10189,-0.50558,-0.02383
-0.65689,-1.35581,-0.60101,-0.10062,-0.50457,-0.02352
-0.65589,-1.33837,-0.60001,-0.09963,-0.50357,-0.02311
-0.65488,-1.33529,-0.59902,-0.09872,-0.5026,-0.02275
-0.6539,-1.32178,-0.59802,-0.09714,-0.50158,-0.02242
-0.65289,-1.30021,-0.59702,-0.09587,-0.50059,-0.02215
-0.65189,-1.29283,-0.59602,-0.09493,-0.49958,-0.02167
-0.65088,-1.28621,-0.59499,-0.09396,-0.49859,-0.02143
-0.64988,-1.26882,-0.59401,-0.09251,-0.49759,-0.02109
-0.64889,-1.25169,-0.593,-0.09134,-0.49658,-0.02086
-0.64788,-1.24375,-0.59201,-0.09013,-0.49559,-0.02045
-0.64688,-1.23835,-0.59103,-0.0895,-0.49459,-0.02014
-0.64589,-1.21576,-0.59,-0.08808,-0.49358,-0.01987
-0.64488,-1.20246,-0.58905,-0.08686,-0.49258,-0.01959
-0.64389,-1.19956,-0.58803,-0.08574,-0.49158,-0.01925
-0.64289,-1.18286,-0.58702,-0.08507,-0.49058,-0.01887
-0.64189,-1.16501,-0.58525,-0.08288,-0.48958,-0.01869
-0.64091,-1.15445,-0.58349,-0.08094,-0.48857,-0.01842
-0.6399,-1.14889,-0.58251,-0.08019,-0.48759,-0.01814
-0.63889,-1.13053,-0.58152,-0.07889,-0.48659,-0.01786
-0.6379,-1.1144,-0.5805,-0.07785,-0.48559,-0.01756
-0.63688,-1.11163,-0.57952,-0.07683,-0.48457,-0.01731
-0.6359,-1.09783,-0.57853,-0.07609,-0.48359,-0.01707
-0.63488,-1.08087,-0.57749,-0.07491,-0.48259,-0.01678
-0.6339,-1.06853,-0.57649,-0.07395,-0.48159,-0.01662
-0.63289,-1.06203,-0.5755,-0.07275,-0.48057,-0.01623
-0.6319,-1.04684,-0.57448,-0.07227,-0.47959,-0.01605
-0.63087,-1.02716,-0.57351,-0.07105,-0.47858,-0.01586
-0.62987,-1.02244,-0.5725,-0.07006,-0.47758,-0.01564
-0.6289,-1.01202,-0.57151,-0.0691,-0.47659,-0.01538
-0.62789,-0.99484,-0.57052,-0.06829,-0.47559,-0.01515
-0.62688,-0.97967,-0.56951,-0.06744,-0.47457,-0.01486
-0.6259,-0.97405,-0.56852,-0.06636,-0.47359,-0.01469
-0.62488,-0.9629,-0.56752,-0.06542,-0.47258,-0.01447
-0.62388,-0.94392,-0.56651,-0.06458,-0.47157,-0.01425
-0.62289,-0.93463,-0.56551,-0.06388,-0.47057,-0.01409
-0.62187,-0.92796,-0.56451,-0.06272,-0.46958,-0.01384
-0.62089,-0.91127,-0.56351,-0.06193,-0.46857,-0.01356
-0.61911,-0.89427,-0.56249,-0.06099,-0.46759,-0.01348
-0.6174,-0.86981,-0.56151,-0.06038,-0.46658,-0.01323
-0.61636,-0.85415,-0.5605,-0.05938,-0.46557,-0.01305
-0.61539,-0.84718,-0.55951,-0.0585,-0.46456,-0.01287
-0.61438,-0.83615,-0.5585,-0.05762,-0.46357,-0.0127
-0.61338,-0.82017,-0.55751,-0.05706,-0.46257,-0.01253
-0.61238,-0.8091,-0.55652,-0.0561,-0.46157,-0.01222
-0.61138,-0.80203,-0.55551,-0.05535,-0.46059,-0.01218
-0.61038,-0.78809,-0.55452,-0.0544,-0.45959,-0.01195
-0.60937,-0.77229,-0.55352,-0.05389,-0.45859,-0.0118
-0.60837,-0.76496,-0.55253,-0.05304,-0.45757,-0.01162
-0.60736,-0.75447,-0.55152,-0.05225,-0.45655,-0.01149
-0.60638,-0.73984,-0.55052,-0.05138,-0.45556,-0.01138
-0.60539,-0.72651,-0.54949,-0.05089,-0.45457,-0.01117
-0.60436,-0.72038,-0.54851,-0.05005,-0.45355,-0.01095
-0.60339,-0.70808,-0.54753,-0.04928,-0.45256,-0.01091
-0.60237,-0.69252,-0.5465,-0.04856,-0.45159,-0.01072
-0.60137,-0.68365,-0.54553,-0.04793,-0.45058,-0.01062
-0.60037,-0.67472,-0.5445,-0.04726,-0.44962,-0.01046
-0.59935,-0.6615,-0.5435,-0.04654,-0.4486,-0.01035
-0.59838,-0.64827,-0.54251,-0.04574,-0.4476,-0.0102
-0.59737,-0.64065,-0.54153,-0.04519,-0.4466,-0.01004
-0.59638,-0.63123,-0.5405,-0.04459,-0.44559,-0.00995
-0.59537,-0.61623,-0.53951,-0.04388,-0.4446,-0.00972
-0.59436,-0.60557,-0.5385,-0.04316,-0.4436,-0.00958
-0.59335,-0.59864,-0.5375,-0.04256,-0.44259,-0.00951
-0.59238,-0.5854,-0.53651,-0.04203,-0.44159,-0.00936
-0.59137,-0.57273,-0.53551,-0.04137,-0.44058,-0.0092
-0.59037,-0.56511,-0.5345,-0.04067,-0.43961,-0.00911
-0.58937,-0.55561,-0.53352,-0.04005,-0.4386,-0.00897
-0.58836,-0.54352,-0.53252,-0.0396,-0.43758,-0.00889
-0.58736,-0.53202,-0.53152,-0.03886,-0.43657,-0.00872
-0.58636,-0.5254,-0.53049,-0.03833,-0.43557,-0.0086
-0.58537,-0.51455,-0.52949,-0.03762,-0.4346,-0.00855
-0.58438,-0.5016,-0.5285,-0.03717,-0.43359,-0.00834
-0.58334,-0.49358,-0.5275,-0.03671,-0.43257,-0.00825
-0.58234,-0.48481,-0.5265,-0.03594,-0.43075,-0.00797
-0.58135,-0.47401,-0.52548,-0.03547,-0.42907,-0.0079
-0.58033,-0.4626,-0.52447,-0.03493,-0.42805,-0.00777
-0.57935,-0.45495,-0.52349,-0.03451,-0.42708,-0.00772
