Au(110),,Au(111),,Au(100),
E(V vs. RHE),j (mA/cm2),E(V vs. RHE),j (mA/cm2),E(V vs. RHE),j (mA/cm2)
0.08369,-0.00213,0.08374,-6.95E-04,-0.00617,-0.00104
0.08269,-0.00212,0.08275,-7.04E-04,-0.00718,-0.00104
0.08169,-0.0021,0.08174,-6.96E-04,-0.00817,-0.00104
0.0807,-0.00213,0.08075,-7.06E-04,-0.00918,-0.00105
0.07971,-0.00211,0.07974,-6.85E-04,-0.01018,-0.00105
0.07869,-0.00211,0.07875,-7.14E-04,-0.01117,-0.00105
0.07771,-0.00209,0.07776,-6.92E-04,-0.01219,-0.00104
0.0767,-0.00212,0.07675,-7.06E-04,-0.01318,-0.00104
0.07569,-0.0021,0.07574,-6.97E-04,-0.01416,-0.00105
0.07469,-0.0021,0.07475,-7.09E-04,-0.01518,-0.00104
0.0737,-0.00211,0.07375,-6.88E-04,-0.01616,-0.00104
0.07269,-0.00211,0.07274,-7.18E-04,-0.01718,-0.00105
0.07168,-0.0021,0.07173,-6.94E-04,-0.01818,-0.00104
0.07068,-0.00209,0.07073,-7.11E-04,-0.01918,-0.00104
0.06967,-0.0021,0.06971,-6.97E-04,-0.0202,-0.00105
0.06868,-0.00209,0.06873,-6.98E-04,-0.02118,-0.00103
0.06769,-0.00209,0.06774,-7.08E-04,-0.02217,-0.00105
0.06667,-0.00209,0.06674,-6.91E-04,-0.02318,-0.00104
0.06568,-0.00208,0.06574,-7.11E-04,-0.02417,-0.00105
0.06469,-0.00209,0.06473,-6.92E-04,-0.02518,-0.00104
0.06368,-0.00209,0.06374,-7.02E-04,-0.02617,-0.00105
0.06268,-0.00209,0.06275,-6.98E-04,-0.02716,-0.00104
0.0617,-0.00208,0.06174,-7.01E-04,-0.02816,-0.00104
0.0607,-0.00207,0.06074,-6.96E-04,-0.02917,-0.00105
0.0597,-0.00208,0.05972,-7.07E-04,-0.03017,-0.00104
0.05868,-0.00208,0.05873,-6.99E-04,-0.03117,-0.00105
0.05767,-0.00207,0.05771,-7.03E-04,-0.03216,-0.00105
0.05669,-0.00208,0.05673,-6.94E-04,-0.03318,-0.00105
0.0557,-0.00208,0.05573,-7.02E-04,-0.03416,-0.00105
0.05468,-0.00207,0.05473,-6.99E-04,-0.03516,-0.00104
0.0537,-0.00207,0.05374,-7.04E-04,-0.03617,-0.00105
0.05268,-0.00208,0.05274,-6.97E-04,-0.03717,-0.00105
0.0517,-0.00206,0.05175,-7.03E-04,-0.03814,-0.00104
0.05068,-0.00207,0.05074,-6.95E-04,-0.03917,-0.00105
0.04968,-0.00206,0.04972,-7.04E-04,-0.04017,-0.00105
0.0487,-0.00206,0.04875,-6.96E-04,-0.04115,-0.00105
0.0477,-0.00207,0.04774,-7.06E-04,-0.04216,-0.00105
0.04669,-0.00205,0.04672,-6.90E-04,-0.04317,-0.00105
0.0457,-0.00206,0.04574,-7.12E-04,-0.04419,-0.00105
0.04471,-0.00207,0.04474,-6.87E-04,-0.04514,-0.00105
0.04371,-0.00206,0.04373,-7.10E-04,-0.04616,-0.00104
0.04271,-0.00207,0.04273,-6.95E-04,-0.04717,-0.00106
0.04171,-0.00206,0.04173,-7.02E-04,-0.04818,-0.00105
0.0407,-0.00207,0.04073,-6.98E-04,-0.04917,-0.00105
0.03968,-0.00206,0.03973,-7.08E-04,-0.05018,-0.00105
0.03872,-0.00205,0.03873,-6.92E-04,-0.05116,-0.00105
0.03771,-0.00206,0.03774,-7.04E-04,-0.05215,-0.00106
0.0367,-0.00206,0.03675,-6.84E-04,-0.05316,-0.00105
0.03571,-0.00204,0.03574,-7.18E-04,-0.05416,-0.00105
0.0347,-0.00206,0.03473,-6.87E-04,-0.05517,-0.00106
0.0337,-0.00206,0.03374,-7.12E-04,-0.05616,-0.00105
0.03269,-0.00206,0.03274,-6.93E-04,-0.05718,-0.00105
0.03169,-0.00205,0.03174,-6.99E-04,-0.05817,-0.00106
0.0307,-0.00205,0.03072,-7.05E-04,-0.05918,-0.00106
0.0297,-0.00205,0.02974,-6.97E-04,-0.06015,-0.00106
0.0287,-0.00206,0.02874,-7.01E-04,-0.06117,-0.00106
0.02771,-0.00205,0.02773,-7.07E-04,-0.06218,-0.00106
0.02669,-0.00205,0.02672,-6.93E-04,-0.06316,-0.00106
0.02568,-0.00205,0.02574,-7.03E-04,-0.06416,-0.00106
0.02469,-0.00205,0.02473,-6.98E-04,-0.06516,-0.00106
0.0237,-0.00204,0.02374,-7.02E-04,-0.06615,-0.00105
0.0227,-0.00205,0.02275,-7.01E-04,-0.06714,-0.00106
0.02169,-0.00205,0.02175,-7.01E-04,-0.06814,-0.00105
0.02069,-0.00205,0.02075,-7.03E-04,-0.06916,-0.00107
0.01968,-0.00205,0.01975,-6.91E-04,-0.07014,-0.00105
0.01869,-0.00205,0.01876,-7.18E-04,-0.07116,-0.00107
0.0177,-0.00205,0.01775,-6.93E-04,-0.07216,-0.00106
0.01669,-0.00204,0.01675,-7.10E-04,-0.07315,-0.00106
0.01568,-0.00205,0.01573,-7.00E-04,-0.07416,-0.00106
0.01469,-0.00204,0.01474,-7.01E-04,-0.07516,-0.00107
0.01369,-0.00205,0.01376,-7.04E-04,-0.07617,-0.00106
0.01269,-0.00204,0.01275,-7.01E-04,-0.07717,-0.00107
0.01169,-0.00205,0.01175,-7.03E-04,-0.07815,-0.00106
0.01067,-0.00205,0.01075,-7.11E-04,-0.07917,-0.00107
0.0097,-0.00204,0.00974,-6.98E-04,-0.08015,-0.00106
0.00868,-0.00204,0.00877,-7.00E-04,-0.08113,-0.00107
0.0077,-0.00206,0.00772,-7.16E-04,-0.08215,-0.00107
0.00667,-0.00203,0.00674,-7.00E-04,-0.08316,-0.00107
0.0057,-0.00204,0.00572,-7.10E-04,-0.08415,-0.00106
0.0047,-0.00204,0.00474,-7.01E-04,-0.08514,-0.00107
0.00369,-0.00204,0.00375,-7.01E-04,-0.08614,-0.00107
0.00268,-0.00205,0.00275,-7.09E-04,-0.08714,-0.00107
0.00168,-0.00205,0.00175,-6.95E-04,-0.08816,-0.00106
6.82E-04,-0.00205,7.52E-04,-7.11E-04,-0.08917,-0.00107
-3.08E-04,-0.00203,-2.67E-04,-6.99E-04,-0.09016,-0.00109
-0.00131,-0.00204,-0.00125,-7.06E-04,-0.09115,-0.00107
-0.00231,-0.00204,-0.00225,-7.00E-04,-0.09216,-0.00107
-0.00331,-0.00204,-0.00327,-7.13E-04,-0.09314,-0.00107
-0.00431,-0.00203,-0.00425,-7.01E-04,-0.09413,-0.00107
-0.00529,-0.00204,-0.00525,-7.05E-04,-0.09513,-0.00108
-0.0063,-0.00204,-0.00626,-7.05E-04,-0.09615,-0.00107
-0.00731,-0.00204,-0.00727,-7.03E-04,-0.09715,-0.00109
-0.00829,-0.00204,-0.00825,-7.04E-04,-0.09815,-0.00108
-0.00929,-0.00205,-0.00926,-7.09E-04,-0.09914,-0.00108
-0.01032,-0.00202,-0.01024,-7.01E-04,-0.10013,-0.00108
-0.0113,-0.00205,-0.01125,-7.21E-04,-0.10114,-0.00109
-0.0123,-0.00203,-0.01227,-6.95E-04,-0.10214,-0.00108
-0.0133,-0.00204,-0.01326,-7.13E-04,-0.10313,-0.00108
-0.01429,-0.00205,-0.01427,-7.05E-04,-0.10414,-0.00109
-0.01528,-0.00205,-0.01524,-7.06E-04,-0.10514,-0.00108
-0.01628,-0.00204,-0.01624,-7.12E-04,-0.10613,-0.00109
-0.0173,-0.00206,-0.01725,-7.19E-04,-0.10713,-0.00109
-0.01829,-0.00204,-0.0183,-7.89E-04,-0.10813,-0.00109
-0.01929,-0.00205,-0.01924,-6.53E-04,-0.10913,-0.0011
-0.02029,-0.00205,-0.02028,-7.47E-04,-0.11012,-0.00108
-0.0213,-0.00205,-0.02123,-6.78E-04,-0.11114,-0.00109
