Ar,sat,pCO2(atm),0.1,pCO2(atm),0.2,pCO2(atm),0.3,pCO2(atm),0.5,pCO2(atm),0.6,pCO2(atm),1
pH,9.3,pH,7.76,pH,7.41,pH,7.29,pH,7.08,pH,7,pH,6.81
E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2)
-0.40502,-7.86E-05,-0.5117,-0.00244,-0.57574,-0.00325,-0.52652,-0.00209,-0.63026,-0.00319,-0.53753,-0.00198,-0.69397,-0.01445
-0.40101,-1.13E-04,-0.50772,-0.00237,-0.57176,-0.0032,-0.52252,-0.00203,-0.62628,-0.00314,-0.53354,-0.00193,-0.695,-0.01477
-0.39703,-5.16E-05,-0.50371,-0.00231,-0.56775,-0.00313,-0.51849,-0.00196,-0.62227,-0.0031,-0.52954,-0.00185,-0.69598,-0.0151
-0.39305,1.63E-05,-0.49969,-0.0022,-0.56375,-0.00308,-0.5145,-0.0019,-0.61824,-0.00301,-0.52555,-0.00179,-0.69697,-0.01542
-0.38905,1.16E-05,-0.49571,-0.00216,-0.55973,-0.00297,-0.51053,-0.00181,-0.61425,-0.00284,-0.52152,-0.00174,-0.69798,-0.01589
-0.38504,7.23E-05,-0.4917,-0.00211,-0.55573,-0.00288,-0.50654,-0.00173,-0.61025,-0.0027,-0.51752,-0.00168,-0.69898,-0.0161
-0.38103,1.08E-04,-0.48771,-0.00202,-0.55175,-0.00281,-0.50252,-0.00166,-0.60625,-0.00266,-0.51353,-0.00164,-0.69997,-0.01646
-0.37703,1.76E-04,-0.4837,-0.00195,-0.54778,-0.00275,-0.49851,-0.00158,-0.60226,-0.00265,-0.50955,-0.00161,-0.70097,-0.01682
-0.37303,2.37E-04,-0.47968,-0.00189,-0.54378,-0.00269,-0.49452,-0.00153,-0.59823,-0.00266,-0.50556,-0.00158,-0.70197,-0.01719
-0.36903,2.50E-04,-0.47569,-0.0018,-0.53976,-0.00258,-0.49053,-0.00148,-0.59424,-0.00265,-0.50153,-0.00155,-0.70297,-0.01764
-0.36503,2.80E-04,-0.47172,-0.00175,-0.53575,-0.00252,-0.48652,-0.00143,-0.59025,-0.00261,-0.49754,-0.00152,-0.70399,-0.01799
-0.36103,3.15E-04,-0.46773,-0.0017,-0.53175,-0.00246,-0.48251,-0.00137,-0.58627,-0.00256,-0.49353,-0.00149,-0.70498,-0.01837
-0.35704,3.58E-04,-0.46373,-0.00165,-0.52775,-0.00242,-0.4785,-0.0013,-0.58225,-0.00248,-0.48953,-0.00147,-0.70597,-0.01884
-0.35307,3.83E-04,-0.45972,-0.00158,-0.52375,-0.00233,-0.4745,-0.00123,-0.57823,-0.00245,-0.48554,-0.00144,-0.70697,-0.01925
-0.34908,4.37E-04,-0.45571,-0.00154,-0.51973,-0.00226,-0.47053,-0.00118,-0.57424,-0.00238,-0.48151,-0.00141,-0.708,-0.01965
-0.34504,4.89E-04,-0.45171,-0.00148,-0.51573,-0.0022,-0.46655,-0.00112,-0.57023,-0.00231,-0.47751,-0.00137,-0.70972,-0.02048
-0.34105,5.42E-04,-0.44772,-0.00143,-0.51176,-0.00215,-0.46252,-0.00106,-0.56624,-0.00225,-0.47353,-0.00133,-0.71147,-0.02132
-0.33705,5.71E-04,-0.44372,-0.00138,-0.50777,-0.00209,-0.45852,-9.95E-04,-0.56224,-0.00221,-0.46955,-0.00129,-0.71246,-0.02179
-0.33305,6.15E-04,-0.43971,-0.00134,-0.50376,-0.00201,-0.45451,-9.42E-04,-0.55821,-0.00218,-0.46555,-0.00124,-0.71345,-0.02242
-0.32906,5.94E-04,-0.43572,-0.00128,-0.49974,-0.00194,-0.45051,-8.96E-04,-0.55422,-0.00214,-0.46154,-0.00119,-0.71446,-0.02282
-0.32502,6.61E-04,-0.43175,-0.00123,-0.49576,-0.00189,-0.44576,-8.39E-04,-0.55024,-0.00209,-0.45753,-0.00111,-0.71546,-0.0233
-0.32104,7.17E-04,-0.42776,-0.00118,-0.49175,-0.00182,-0.44098,-7.94E-04,-0.54626,-0.00204,-0.45353,-0.00107,-0.71646,-0.02395
-0.31705,7.26E-04,-0.42373,-0.00112,-0.48776,-0.00176,-0.43699,-7.32E-04,-0.54225,-0.00201,-0.44954,-0.00101,-0.71747,-0.0244
-0.31306,7.58E-04,-0.41974,-0.00107,-0.48374,-0.0017,-0.43302,-6.76E-04,-0.53823,-0.00195,-0.44555,-9.75E-04,-0.71848,-0.0249
-0.30905,7.86E-04,-0.41572,-0.00102,-0.47972,-0.00163,-0.42902,-6.25E-04,-0.53423,-0.00192,-0.44153,-9.36E-04,-0.71947,-0.0256
-0.30504,8.37E-04,-0.41171,-9.40E-04,-0.47573,-0.00161,-0.42502,-5.80E-04,-0.53022,-0.00187,-0.43678,-8.97E-04,-0.72047,-0.02609
-0.30103,8.54E-04,-0.40772,-8.75E-04,-0.47175,-0.00154,-0.42101,-5.46E-04,-0.52623,-0.00185,-0.43205,-8.65E-04,-0.72146,-0.02672
-0.29704,9.25E-04,-0.4037,-8.33E-04,-0.46777,-0.00149,-0.41701,-4.92E-04,-0.52222,-0.00181,-0.42806,-8.31E-04,-0.72249,-0.02735
-0.29304,9.24E-04,-0.3997,-7.87E-04,-0.46375,-0.00144,-0.413,-4.33E-04,-0.5182,-0.00178,-0.42404,-7.84E-04,-0.72346,-0.02792
-0.28905,0.00103,-0.39496,-7.28E-04,-0.45973,-0.00138,-0.40901,-3.86E-04,-0.51422,-0.00173,-0.42004,-7.18E-04,-0.72446,-0.02868
-0.28501,0.00104,-0.39022,-6.65E-04,-0.45574,-0.00131,-0.40498,-3.29E-04,-0.51023,-0.0017,-0.41602,-6.49E-04,-0.72545,-0.02922
-0.28103,0.00106,-0.38622,-6.12E-04,-0.45174,-0.00125,-0.40097,-2.60E-04,-0.50624,-0.00167,-0.41202,-5.94E-04,-0.72646,-0.02997
-0.27703,0.0011,-0.38221,-5.59E-04,-0.44774,-0.00118,-0.39698,-2.39E-04,-0.50222,-0.00164,-0.40803,-5.49E-04,-0.72745,-0.03062
-0.27305,0.00109,-0.3782,-4.98E-04,-0.44374,-0.00114,-0.393,-2.01E-04,-0.49822,-0.00159,-0.40401,-5.08E-04,-0.72846,-0.03127
-0.26905,0.00114,-0.3742,-4.40E-04,-0.43973,-0.00108,-0.38902,-1.63E-04,-0.49423,-0.00153,-0.40001,-4.72E-04,-0.72947,-0.0321
-0.26502,0.00121,-0.37021,-3.81E-04,-0.43574,-0.00102,-0.38501,-1.17E-04,-0.49023,-0.00149,-0.39602,-4.21E-04,-0.73048,-0.0327
-0.26102,0.00123,-0.36621,-3.28E-04,-0.43177,-9.53E-04,-0.381,-7.61E-05,-0.48623,-0.00145,-0.39205,-3.72E-04,-0.73147,-0.03355
-0.25702,0.0013,-0.36219,-2.67E-04,-0.42702,-8.89E-04,-0.37699,-3.41E-05,-0.48222,-0.00142,-0.38805,-3.02E-04,-0.73248,-0.03417
-0.25302,0.00135,-0.3582,-2.04E-04,-0.42224,-8.50E-04,-0.373,1.58E-05,-0.47821,-0.00138,-0.38402,-2.18E-04,-0.73347,-0.03505
-0.249,0.00139,-0.35423,-1.44E-04,-0.41824,-7.63E-04,-0.36901,6.17E-05,-0.47422,-0.00134,-0.38002,-1.70E-04,-0.73444,-0.03576
-0.24498,0.00145,-0.35024,-1.05E-04,-0.41423,-7.06E-04,-0.36499,1.15E-04,-0.47024,-0.0013,-0.37601,-1.20E-04,-0.73546,-0.03668
-0.24099,0.00146,-0.34622,-4.09E-05,-0.41024,-6.58E-04,-0.36099,1.63E-04,-0.46625,-0.00127,-0.37202,-7.26E-05,-0.73648,-0.0374
-0.23701,0.0015,-0.34221,1.44E-05,-0.40623,-6.06E-04,-0.357,2.18E-04,-0.46223,-0.00123,-0.36803,-1.53E-05,-0.73747,-0.03837
-0.23303,0.00156,-0.33822,7.64E-05,-0.40221,-5.74E-04,-0.35303,2.72E-04,-0.45823,-0.00119,-0.364,4.69E-05,-0.73848,-0.03913
-0.229,0.00161,-0.33422,1.39E-04,-0.39822,-5.32E-04,-0.34903,3.21E-04,-0.45423,-0.00112,-0.36001,9.24E-05,-0.73945,-0.0401
-0.225,0.00166,-0.33023,1.90E-04,-0.39423,-4.64E-04,-0.34501,3.75E-04,-0.45023,-0.00111,-0.35603,1.71E-04,-0.74046,-0.04098
-0.221,0.00173,-0.32621,2.49E-04,-0.39024,-3.78E-04,-0.34102,4.32E-04,-0.44624,-0.00106,-0.35204,2.20E-04,-0.74146,-0.04187
-0.217,0.00178,-0.32221,3.02E-04,-0.38624,-3.55E-04,-0.33701,4.83E-04,-0.4422,-0.00101,-0.34805,2.78E-04,-0.74247,-0.04287
-0.213,0.00184,-0.31823,4.08E-04,-0.38224,-3.01E-04,-0.33302,5.37E-04,-0.43822,-9.66E-04,-0.34402,3.37E-04,-0.74345,-0.04369
-0.20821,0.00195,-0.31422,4.38E-04,-0.37823,-2.54E-04,-0.32901,5.89E-04,-0.43423,-9.11E-04,-0.34003,3.91E-04,-0.74445,-0.0448
-0.20349,0.00204,-0.31023,4.99E-04,-0.37422,-2.06E-04,-0.32499,6.44E-04,-0.42951,-8.92E-04,-0.33604,4.44E-04,-0.74544,-0.04574
-0.1995,0.00213,-0.30622,5.71E-04,-0.37023,-1.51E-04,-0.321,7.04E-04,-0.42474,-8.32E-04,-0.33204,5.06E-04,-0.74646,-0.04669
-0.19551,0.00219,-0.30221,6.37E-04,-0.36623,-8.40E-05,-0.31702,7.64E-04,-0.42074,-7.88E-04,-0.32803,5.66E-04,-0.74745,-0.04785
-0.1915,0.00237,-0.29821,7.10E-04,-0.36221,-2.83E-05,-0.31301,8.21E-04,-0.41673,-7.37E-04,-0.32402,6.16E-04,-0.74844,-0.04892
-0.18749,0.00244,-0.29421,7.79E-04,-0.35822,2.57E-05,-0.30902,8.82E-04,-0.41272,-7.09E-04,-0.32003,6.85E-04,-0.74946,-0.04991
-0.1835,0.00258,-0.29023,8.63E-04,-0.35426,7.52E-05,-0.305,9.54E-04,-0.40873,-6.61E-04,-0.31604,7.62E-04,-0.75048,-0.05109
-0.1795,0.00267,-0.2862,9.32E-04,-0.35025,1.36E-04,-0.301,0.00105,-0.40471,-6.27E-04,-0.31205,8.31E-04,-0.75146,-0.0522
-0.17549,0.00284,-0.28221,0.00101,-0.34624,1.95E-04,-0.297,0.00111,-0.4007,-5.83E-04,-0.30805,9.13E-04,-0.75246,-0.05327
-0.17148,0.00297,-0.27822,0.0011,-0.34224,2.57E-04,-0.293,0.00118,-0.39671,-5.22E-04,-0.30402,9.98E-04,-0.75346,-0.05449
-0.16748,0.00313,-0.27422,0.00119,-0.33824,3.19E-04,-0.289,0.00127,-0.39273,-4.72E-04,-0.30002,0.00109,-0.75447,-0.0557
-0.16348,0.00332,-0.27023,0.00129,-0.33424,3.74E-04,-0.28497,0.00134,-0.38874,-4.25E-04,-0.29602,0.00118,-0.75546,-0.05692
-0.15951,0.00351,-0.26621,0.0014,-0.33025,4.45E-04,-0.28097,0.00143,-0.38473,-3.73E-04,-0.29202,0.00128,-0.75647,-0.05815
-0.15551,0.00372,-0.2622,0.0015,-0.32622,5.05E-04,-0.27698,0.00153,-0.38072,-3.19E-04,-0.28801,0.00138,-0.75745,-0.05937
-0.1515,0.00402,-0.25819,0.00161,-0.32222,5.62E-04,-0.27298,0.00163,-0.37673,-2.74E-04,-0.284,0.00148,-0.75846,-0.0608
-0.14749,0.00421,-0.25418,0.00173,-0.31824,6.30E-04,-0.26898,0.00175,-0.37272,-2.28E-04,-0.28,0.00159,-0.75948,-0.06209
-0.14349,0.00447,-0.24868,0.00194,-0.31425,7.05E-04,-0.26497,0.00187,-0.36874,-1.75E-04,-0.27527,0.00179,-0.76046,-0.06338
-0.1395,0.00475,-0.24467,0.00208,-0.31025,7.83E-04,-0.26021,0.00202,-0.36471,-1.22E-04,-0.27053,0.00191,-0.76144,-0.0648
-0.1355,0.00504,-0.24068,0.00225,-0.30623,8.60E-04,-0.25547,0.00221,-0.36071,-6.70E-05,-0.26651,0.00206,-0.76246,-0.06624
-0.13149,0.00535,-0.2367,0.0024,-0.30223,9.70E-04,-0.25148,0.00236,-0.35673,-1.63E-05,-0.26252,0.0022,-0.76347,-0.06766
-0.12748,0.00566,-0.23272,0.00258,-0.29822,0.00103,-0.24745,0.00252,-0.35275,4.68E-05,-0.25852,0.00236,-0.76447,-0.06921
-0.12348,0.00608,-0.22869,0.00277,-0.29423,0.00113,-0.24344,0.0027,-0.34875,1.04E-04,-0.25451,0.00252,-0.76546,-0.07077
-0.11951,0.00635,-0.22469,0.00298,-0.29024,0.00123,-0.23947,0.00293,-0.34473,1.76E-04,-0.25051,0.00271,-0.76646,-0.07223
-0.11553,0.0067,-0.22069,0.0032,-0.2862,0.00132,-0.23549,0.00311,-0.34074,2.70E-04,-0.24649,0.0029,-0.76747,-0.07386
-0.11151,0.00705,-0.21669,0.00344,-0.28221,0.00143,-0.23149,0.00332,-0.33674,3.16E-04,-0.2425,0.0031,-0.76846,-0.07543
-0.1075,0.00735,-0.21269,0.00374,-0.27821,0.00155,-0.22747,0.00357,-0.33274,3.91E-04,-0.23852,0.00332,-0.76947,-0.07707
-0.10351,0.00777,-0.20866,0.00398,-0.27421,0.00166,-0.22348,0.00385,-0.32875,4.66E-04,-0.23453,0.0036,-0.77046,-0.07879
-0.0995,0.00804,-0.20467,0.0043,-0.27021,0.00178,-0.21948,0.00413,-0.32472,5.40E-04,-0.23054,0.00381,-0.77147,-0.08053
-0.0955,0.00834,-0.20069,0.00464,-0.26619,0.00192,-0.21548,0.00448,-0.32073,6.27E-04,-0.22652,0.00409,-0.77244,-0.08229
-0.09149,0.00862,-0.1967,0.00501,-0.26145,0.0021,-0.21148,0.00482,-0.31674,7.12E-04,-0.22251,0.00439,-0.77346,-0.08392
-0.08749,0.00886,-0.19271,0.00546,-0.25669,0.00231,-0.20745,0.0052,-0.31274,8.02E-04,-0.21851,0.00472,-0.77447,-0.08573
-0.0835,0.00907,-0.18869,0.00587,-0.25271,0.00247,-0.20347,0.00561,-0.30875,8.87E-04,-0.21451,0.00508,-0.77546,-0.08765
-0.07952,0.00927,-0.18469,0.00636,-0.24869,0.0027,-0.19949,0.00608,-0.30473,9.82E-04,-0.2105,0.00551,-0.77647,-0.08953
-0.07553,0.00943,-0.18068,0.0069,-0.24468,0.00286,-0.19549,0.00664,-0.30073,0.00107,-0.2065,0.00588,-0.77747,-0.0915
-0.07151,0.00966,-0.17668,0.00754,-0.2407,0.00308,-0.19149,0.00716,-0.29673,0.00117,-0.2025,0.00632,-0.77847,-0.09353
-0.06751,0.00966,-0.17268,0.00816,-0.23671,0.00332,-0.18747,0.00777,-0.29274,0.00127,-0.19852,0.0068,-0.77948,-0.09557
-0.06352,0.00974,-0.16867,0.00892,-0.23273,0.00358,-0.18349,0.0085,-0.28874,0.00139,-0.19453,0.00737,-0.78047,-0.09754
-0.05952,0.00979,-0.16468,0.0097,-0.22871,0.00386,-0.17948,0.00922,-0.28472,0.0015,-0.19052,0.00791,-0.78149,-0.0997
-0.05551,0.00981,-0.1607,0.01063,-0.22469,0.0042,-0.17549,0.01009,-0.28071,0.00162,-0.18651,0.00853,-0.78247,-0.10181
-0.05149,0.00982,-0.15671,0.01157,-0.22069,0.0045,-0.17148,0.01096,-0.27673,0.00175,-0.18252,0.00924,-0.78348,-0.10391
-0.0475,0.0098,-0.15271,0.0127,-0.2167,0.00487,-0.16747,0.012,-0.27198,0.00193,-0.17852,0.00994,-0.78447,-0.10612
-0.04352,0.00975,-0.14869,0.01387,-0.21271,0.00528,-0.16347,0.01307,-0.26722,0.00214,-0.17452,0.01073,-0.78547,-0.1084
-0.03953,0.0097,-0.14469,0.01525,-0.20868,0.00571,-0.1595,0.01432,-0.26322,0.00232,-0.1705,0.01163,-0.78646,-0.11076
-0.03553,0.0096,-0.14069,0.0167,-0.20467,0.00624,-0.1555,0.01565,-0.25922,0.0025,-0.16651,0.0125,-0.78746,-0.11296
-0.03152,0.0095,-0.1367,0.01832,-0.20069,0.00675,-0.15149,0.01708,-0.25522,0.00272,-0.16252,0.01354,-0.78845,-0.1155
-0.02753,0.00939,-0.13194,0.02033,-0.19671,0.00732,-0.14748,0.01873,-0.25123,0.00295,-0.15854,0.01456,-0.78942,-0.11789
-0.02353,0.00927,-0.1272,0.02271,-0.19271,0.00802,-0.14275,0.02063,-0.2472,0.00319,-0.15455,0.01577,-0.79037,-0.12012
-0.01951,0.00911,-0.12323,0.02492,-0.18869,0.00869,-0.13801,0.02299,-0.2432,0.00345,-0.15053,0.01699,-0.79139,-0.12263
-0.01552,0.00896,-0.11924,0.02734,-0.1847,0.00953,-0.13401,0.02516,-0.23922,0.00374,-0.14651,0.01828,-0.79238,-0.12538
-0.0115,0.00881,-0.11524,0.02998,-0.1807,0.01037,-0.12999,0.02746,-0.23523,0.00409,-0.14177,0.01981,-0.79328,-0.12782
-0.00751,0.00865,-0.11121,0.0329,-0.1767,0.01138,-0.12599,0.02997,-0.23124,0.00439,-0.13705,0.02163,-0.79427,-0.13032
-0.00354,0.00847,-0.10721,0.03596,-0.17269,0.01241,-0.12204,0.0327,-0.22722,0.00476,-0.13304,0.02321,-0.79521,-0.13309
4.62E-04,0.00831,-0.10322,0.03926,-0.16866,0.01365,-0.11804,0.03557,-0.22321,0.00516,-0.12903,0.02489,-0.7961,-0.13573
0.00447,0.00817,-0.09922,0.04286,-0.16467,0.01496,-0.11401,0.03868,-0.21922,0.0056,-0.12504,0.0266,-0.79705,-0.13819
0.00849,0.008,-0.09521,0.04663,-0.1607,0.01641,-0.11001,0.04193,-0.21522,0.00613,-0.12107,0.02843,-0.79799,-0.14103
0.01246,0.00786,-0.0912,0.05071,-0.15672,0.01801,-0.10602,0.04543,-0.21121,0.00661,-0.11708,0.0303,-0.79898,-0.14393
0.01648,0.00771,-0.08721,0.05495,-0.15197,0.02006,-0.102,0.04906,-0.20719,0.00718,-0.11306,0.03219,-0.7999,-0.14677
0.02048,0.00756,-0.08323,0.05941,-0.14721,0.02239,-0.098,0.05283,-0.20319,0.0078,-0.10904,0.03411,-0.8008,-0.14926
0.02448,0.00742,-0.07924,0.06408,-0.14322,0.02461,-0.09399,0.05674,-0.19922,0.00855,-0.10505,0.03603,-0.80175,-0.1523
0.02848,0.00714,-0.07521,0.06893,-0.13923,0.0271,-0.08999,0.06073,-0.19523,0.00926,-0.10104,0.03793,-0.80269,-0.15539
0.03249,0.00724,-0.07121,0.07384,-0.13523,0.02977,-0.08602,0.06482,-0.19122,0.01012,-0.09705,0.0398,-0.80367,-0.15864
0.03649,0.00704,-0.06721,0.07891,-0.1312,0.03274,-0.08202,0.06895,-0.18722,0.011,-0.09303,0.04162,-0.80466,-0.16192
0.04049,0.00692,-0.06321,0.08403,-0.12721,0.03594,-0.07803,0.07305,-0.18322,0.01198,-0.08903,0.04339,-0.80569,-0.1655
0.0445,0.00681,-0.05921,0.08919,-0.12323,0.03942,-0.07401,0.07712,-0.17922,0.01313,-0.08505,0.04504,-0.80669,-0.16914
0.04851,0.0067,-0.0552,0.09428,-0.11925,0.04318,-0.07002,0.08111,-0.17523,0.01431,-0.08106,0.04657,-0.80768,-0.17243
0.05251,0.00658,-0.0512,0.09933,-0.11524,0.04723,-0.06602,0.08495,-0.17121,0.01559,-0.07707,0.04807,-0.80864,-0.17586
0.05652,0.00649,-0.04724,0.10429,-0.11122,0.05161,-0.06203,0.08866,-0.16721,0.01706,-0.07304,0.0494,-0.80959,-0.17949
0.06051,0.00638,-0.04325,0.10911,-0.10723,0.05625,-0.05801,0.09206,-0.16247,0.01878,-0.06904,0.05054,-0.81049,-0.18258
0.06452,0.00629,-0.03923,0.11363,-0.10323,0.06126,-0.054,0.09522,-0.15775,0.02083,-0.06504,0.05165,-0.8114,-0.1859
0.06851,0.00618,-0.03522,0.11807,-0.09922,0.06649,-0.05001,0.0981,-0.15376,0.02274,-0.06105,0.05256,-0.81233,-0.18965
0.07249,0.00609,-0.03122,0.12217,-0.09522,0.07197,-0.04604,0.10057,-0.14973,0.02478,-0.05705,0.05346,-0.8133,-0.19377
0.07648,0.006,-0.02722,0.12593,-0.09121,0.07771,-0.04204,0.1027,-0.14574,0.02704,-0.05302,0.05418,-0.8143,-0.1973
0.08047,0.00592,-0.02322,0.12935,-0.08724,0.08363,-0.03802,0.10449,-0.14174,0.02949,-0.04902,0.05484,-0.81605,-0.20382
0.08449,0.00584,-0.01921,0.13252,-0.08325,0.08985,-0.03403,0.10576,-0.13775,0.03206,-0.04505,0.0556,-0.81779,-0.21195
0.08849,0.00576,-0.0152,0.1353,-0.07925,0.09608,-0.03002,0.10683,-0.13374,0.0348,-0.04107,0.05618,-0.81876,-0.21619
0.09248,0.00569,-0.01122,0.13766,-0.07523,0.10246,-0.02603,0.10737,-0.12973,0.03777,-0.03705,0.05682,-0.81962,-0.22002
0.09649,0.00564,-0.00724,0.13975,-0.07124,0.10883,-0.02204,0.10763,-0.12573,0.04086,-0.03305,0.05763,-0.82051,-0.2242
0.10048,0.00558,-0.00323,0.14146,-0.06724,0.11526,-0.018,0.10756,-0.12176,0.0441,-0.02905,0.05833,-0.82154,-0.22842
0.1045,0.00551,7.79E-04,0.14266,-0.06325,0.12153,-0.014,0.10729,-0.11777,0.04752,-0.02505,0.05926,-0.82243,-0.23263
0.1085,0.00546,0.00478,0.14382,-0.05923,0.12765,-0.01002,0.10674,-0.11376,0.05109,-0.02105,0.0602,-0.82343,-0.23767
0.11247,0.00541,0.00878,0.14442,-0.05524,0.13368,-0.00604,0.10604,-0.10974,0.05465,-0.01705,0.06135,-0.82438,-0.24209
0.11645,0.00537,0.01277,0.1447,-0.05124,0.13933,-0.00204,0.1052,-0.10575,0.0584,-0.01304,0.06254,-0.82534,-0.24627
0.12045,0.00534,0.01678,0.14478,-0.04727,0.14477,0.00198,0.1041,-0.10175,0.06212,-0.00904,0.064,-0.82632,-0.25121
0.12448,0.0053,0.02079,0.14467,-0.04327,0.14966,0.00598,0.10325,-0.09774,0.06582,-0.00506,0.06552,-0.82726,-0.25643
0.12847,0.00527,0.02478,0.14428,-0.03924,0.1542,0.00998,0.10251,-0.09373,0.06946,-0.00106,0.06721,-0.82827,-0.26128
0.13246,0.00525,0.02879,0.14359,-0.03526,0.15827,0.01397,0.10184,-0.08973,0.07307,0.00297,0.06905,-0.8292,-0.26625
0.13647,0.00523,0.03279,0.1429,-0.03125,0.16187,0.01797,0.10122,-0.08575,0.07646,0.00698,0.07102,-0.83011,-0.27106
0.14047,0.00521,0.03679,0.14182,-0.02725,0.16485,0.02199,0.10081,-0.08176,0.07974,0.01096,0.07316,-0.83105,-0.27607
0.14449,0.0052,0.0408,0.14042,-0.02325,0.16725,0.02599,0.10053,-0.07776,0.08268,0.01497,0.07542,-0.83202,-0.28112
0.14848,0.0052,0.04481,0.13925,-0.01924,0.16911,0.03,0.10023,-0.07372,0.08537,0.01896,0.07785,-0.83287,-0.28644
0.15245,0.0052,0.04881,0.13776,-0.01524,0.17065,0.034,0.10044,-0.06974,0.08771,0.02298,0.08043,-0.83372,-0.29183
0.15644,0.0052,0.0528,0.1363,-0.01126,0.17134,0.038,0.10078,-0.06574,0.08971,0.02698,0.08312,-0.83467,-0.29651
0.16045,0.00522,0.05681,0.13461,-0.00726,0.17153,0.04202,0.10131,-0.06173,0.09129,0.03098,0.08592,-0.83556,-0.3012
0.16447,0.00524,0.06081,0.13295,-0.00324,0.17142,0.04601,0.10219,-0.05773,0.09246,0.03498,0.08895,-0.83642,-0.30635
0.16846,0.00526,0.0648,0.13138,7.58E-04,0.17094,0.05001,0.10309,-0.05373,0.09328,0.03898,0.09199,-0.8374,-0.31266
0.17246,0.0053,0.06877,0.12928,0.00476,0.17003,0.05402,0.10432,-0.04974,0.09377,0.04299,0.0953,-0.83841,-0.31774
0.17645,0.00533,0.07278,0.12776,0.00876,0.16854,0.05803,0.10566,-0.04576,0.09379,0.04698,0.0987,-0.83929,-0.32341
0.18047,0.00538,0.07679,0.1258,0.01274,0.16674,0.06203,0.1072,-0.04177,0.09357,0.05099,0.10222,-0.84015,-0.32888
0.18447,0.00543,0.08079,0.12409,0.01677,0.16468,0.06603,0.10895,-0.03776,0.09309,0.05499,0.10584,-0.84104,-0.33507
0.18846,0.00549,0.08479,0.12209,0.02078,0.16265,0.07,0.11089,-0.03376,0.0924,0.05899,0.10964,-0.84195,-0.34027
0.19242,0.00555,0.08881,0.12046,0.02478,0.16027,0.074,0.11306,-0.02977,0.09148,0.063,0.1136,-0.84285,-0.34645
0.19641,0.00563,0.0928,0.11848,0.02877,0.15796,0.07801,0.11534,-0.02576,0.0904,0.06699,0.11769,-0.84375,-0.3533
0.20043,0.0057,0.09681,0.11676,0.03277,0.15556,0.08201,0.11776,-0.02176,0.08955,0.07098,0.1219,-0.84467,-0.35905
0.20444,0.00576,0.10082,0.11483,0.0368,0.15317,0.086,0.12045,-0.01775,0.08867,0.07497,0.1263,-0.84552,-0.36407
0.20844,0.00584,0.10481,0.11321,0.04079,0.15113,0.09002,0.12323,-0.01374,0.08787,0.07899,0.13079,-0.84638,-0.37031
0.21245,0.00589,0.10879,0.11134,0.04478,0.14872,0.09401,0.12618,-0.00974,0.08718,0.08299,0.13542,-0.84719,-0.37685
0.21644,0.00595,0.11279,0.1096,0.04879,0.14703,0.09803,0.12917,-0.00578,0.0863,0.08699,0.14031,-0.84809,-0.38254
0.22044,0.00598,0.1168,0.10804,0.05279,0.14495,0.10203,0.1324,-0.00178,0.08605,0.09099,0.14519,-0.84898,-0.38784
0.22445,0.006,0.1208,0.10611,0.0568,0.14356,0.10602,0.1357,0.00226,0.08589,0.095,0.15038,-0.84993,-0.39487
0.22843,0.006,0.12479,0.10461,0.0608,0.14177,0.11,0.13919,0.00625,0.08589,0.09902,0.15561,-0.85087,-0.40238
0.23241,0.00598,0.1288,0.1029,0.06479,0.14066,0.114,0.14278,0.01026,0.08613,0.10301,0.16112,-0.85186,-0.4084
0.23642,0.00592,0.1328,0.10121,0.06878,0.13968,0.11801,0.14653,0.01425,0.08674,0.10698,0.16677,-0.85279,-0.41546
0.24043,0.00586,0.1368,0.09977,0.07276,0.13886,0.12201,0.1503,0.01825,0.08733,0.11097,0.17258,-0.8537,-0.42315
0.24443,0.00577,0.14081,0.0981,0.07678,0.13816,0.12601,0.15428,0.02226,0.08828,0.115,0.17856,-0.85467,-0.43125
0.24842,0.00569,0.14481,0.09664,0.08079,0.13786,0.13001,0.15833,0.02626,0.08938,0.11898,0.18476,-0.8556,-0.43825
0.25242,0.00559,0.14879,0.09522,0.08478,0.1377,0.13402,0.16248,0.03027,0.09077,0.12299,0.19107,-0.85648,-0.44601
0.25642,0.00551,0.15279,0.09355,0.0888,0.13775,0.13802,0.1667,0.03427,0.0923,0.12698,0.19763,-0.85733,-0.4539
0.26044,0.00543,0.1568,0.09221,0.09279,0.138,0.142,0.17112,0.03826,0.09403,0.13248,0.20679,-0.85819,-0.46108
0.26444,0.00536,0.1608,0.09085,0.09681,0.13857,0.14599,0.1756,0.04228,0.09608,0.13649,0.21388,-0.85908,-0.4675
0.26841,0.0053,0.16479,0.08927,0.10082,0.13914,0.14999,0.18013,0.04628,0.09824,0.14048,0.22114,-0.85994,-0.47422
0.2724,0.00526,0.1688,0.08802,0.10479,0.13997,0.154,0.18474,0.05028,0.10058,0.14446,0.22869,-0.86076,-0.48132
0.27639,0.00522,0.17279,0.0866,0.10877,0.14101,0.158,0.18949,0.05428,0.1032,0.14847,0.23645,-0.8617,-0.48816
