Voltage,Cdl
-1.222024656,49.84562379
-1.213031252,50.72833904
-1.19322043,51.96857375
-1.18421436,52.50041959
-1.171591927,52.8590474
-1.155359467,53.21989189
-1.137309326,53.23097531
-1.120592361,52.67106467
-1.11108437,51.79970993
-1.098840358,50.14056152
-1.086604262,48.70070649
-1.081151219,47.65142327
-1.075698176,46.60214005
-1.066628772,45.37963881
-1.062987077,44.50468195
-1.057534034,43.45539873
-1.043442257,40.61317439
-1.037526877,39.25715751
-1.027972969,37.11390114
-1.021148749,35.58300373
-1.010242664,33.48443729
-1.002984607,32.43626242
-0.992135522,31.91660835
-0.981305437,31.9232584
-0.968695671,32.63275562
-0.960607941,33.60263405
-0.952526545,34.74794719
-0.945357155,36.15585822
-0.939986447,37.3872262
-0.932817057,38.79513723
-0.927899185,40.0700868
-0.921632303,41.47744366
-0.915827757,43.19153417
-0.911384889,45.12408681
-0.900649805,47.76225747
-0.895329763,50.39710311
-0.888185707,52.50675297
-0.882848249,54.65915316
-0.875708943,56.90037905
-0.86857122,59.18546362
-0.862796759,61.73286899
-0.854302109,63.93106746
-0.845334038,65.51552154
-0.836346968,66.57367149
-0.819227834,67.37365693
-0.800718522,67.16572405
-0.783969891,65.72863987
-0.773070139,63.80550814
-0.762170387,61.88237641
-0.751264302,59.78380997
-0.744006245,58.7356351
-0.737655445,57.81848208
-0.731301479,56.81361171
-0.723128248,55.41512159
-0.712237996,53.75514192
-0.705872946,52.44326081
-0.696803542,51.22075956
-0.689551818,50.34801939
-0.67912232,48.9509147
-0.653286867,45.80888384
-0.626091321,42.49224952
-0.519302568,34.44378648
-0.495800967,33.44944535
-0.450624947,32.07367624
-0.419914373,31.39077923
-0.394631508,31.0554266
-0.347694807,30.90880879
