Voltage,dlcaps 
-1.247098519,44.39163107
-1.238105115,45.27434632
-1.227313031,46.33360461
-1.218319627,47.21631986
-1.205741528,48.80299062
-1.19494311,49.68681421
-1.184138359,50.3952031
-1.173320941,50.75272256
-1.162490856,50.75937262
-1.149836757,50.24082689
-1.137150991,48.84510762
-1.129873934,47.27062862
-1.122596877,45.69614962
-1.117124834,44.12056228
-1.109866777,43.0723874
-1.102577054,41.14703899
-1.097105011,39.57145164
-1.089834287,38.17240735
-1.082550897,36.42249364
-1.077078854,34.8469063
-1.071613144,33.44675367
-1.066141101,31.87116632
-1.062467739,30.11903593
-1.052470494,28.19535003
-1.046102278,26.79575157
-1.038825221,25.22127257
-1.031554497,23.82222827
-1.026076121,22.07120622
-1.018830731,21.37390076
-1.007943646,19.80163845
-0.993446532,18.23159281
-0.977169738,17.36439435
-0.962754958,18.07499992
-0.950164193,19.31080127
-0.94298847,20.54327759
-0.935812747,21.77575391
-0.928649691,23.35909965
-0.921944222,25.117603
-0.914336246,26.87666053
-0.907204856,29.33717981
-0.901846814,30.9194172
-0.898306453,32.85141567
-0.892954745,34.60908777
-0.887634703,37.24393341
-0.884107009,39.52680129
-0.875189606,42.51473303
-0.869882231,45.50044809
-0.862763508,48.31183678
-0.8574118,50.06950888
-0.852085425,52.52891981
-0.844941369,54.63856967
-0.835998632,56.92476258
-0.828854576,59.03441244
-0.825295215,60.44010678
-0.819918173,61.49604005
-0.810943769,62.90505942
-0.801956699,63.96320938
-0.780296529,63.97650948
-0.762214721,63.11041936
-0.75493133,61.36050566
-0.737262775,59.44153021
-0.725924436,57.86954498
-0.711853243,55.59748343
-0.696860542,52.79967193
-0.682338095,50.52788747
-0.667828315,48.60697242
-0.660563924,47.38336284
-0.644236463,45.11268672
-0.627902669,42.66657589
-0.607952512,40.04724704
-0.588002356,37.42791819
-0.564915592,35.42455041
-0.53188225,32.90097439
-0.501127342,30.99003442
-0.4744638,29.90991554
-0.437875847,28.9236099
-0.403542578,27.89206015
-0.369234642,27.56224924
-0.333121693,27.23354666
