Voltage,Cdl
-1.252006891,42.85352944
-1.227262364,44.93012695
-1.205238024,47.35593137
-1.182765598,49.86973023
-1.163437697,51.9868614
-1.13917134,54.80877934
-1.128391922,56.21890705
-1.112197462,57.63235979
-1.099587697,58.34185701
-1.086962098,58.61276747
-1.06888979,58.00982941
-1.052606662,56.96719624
-1.039939896,56.0977811
-1.02547445,55.40490901
-1.011015336,54.88747162
-0.998373904,54.71979531
-0.978544082,55.4337259
-0.965953317,56.66952724
-0.956985246,58.25398132
-0.946212162,59.83954374
-0.937263092,61.95030194
-0.93146013,63.70825113
-0.923852154,65.46730866
-0.914000576,67.57862103
-0.903240159,69.51505287
-0.892479741,71.4514847
-0.883499004,72.68506937
-0.872719586,74.09519708
-0.856483959,74.36832422
-0.836600303,73.5910598
-0.82210319,72.02101416
-0.808041496,70.01210468
-0.794856976,67.30090219
-0.777576341,63.62730258
-0.763934234,60.74094247
-0.747578273,57.68081017
-0.732127985,54.70784104
-0.713074002,51.91252331
-0.687232217,48.59505774
-0.666385887,46.15171777
-0.645552223,44.05924721
-0.62429264,42.66879257
-0.593531399,40.5824179
-0.562776492,38.67147793
-0.528424223,37.11362406
-0.503119191,36.16424995
-0.477820493,35.39031056
-0.443506224,34.88506493
-0.383934424,34.74620551
