Voltage,Current,a_K⁺,c_K⁺,γ_K⁺,a_H⁺,c_H⁺,γ_H⁺,a_HCO₃⁻,c_HCO₃⁻,γ_HCO₃⁻,a_CO₃²⁻,c_CO₃²⁻,γ_CO₃²⁻,a_CO₂,c_CO₂,γ_CO₂,a_OH⁻,c_OH⁻,γ_OH⁻,a_CO,c_CO,γ_CO
-1.5,-104.9126578204035,5.016882154448637e6,3.0098642493947447,1666.813430359022,0.0008423003434549723,5.053357071124305e-10,1666.813430359022,0.0007561975837085055,4.536786000972075e-10,1666.813430359022,4.257950405263675e-8,2.5545452944583825e-14,1666.813430359022,4.364715560331203e-5,2.6185987470661722e-11,1666.813430359022,0.011553459419206736,6.931465279061369e-9,1666.813430359022,20.28804696670424,1.2171756356879311e-5,1666.813430359022
-1.4932890167170314,-104.92192894788435,4.743397221248706e6,3.0097601402675433,1576.0050635885743,0.0007961883738614352,5.051940455372071e-10,1576.0050635885743,0.0007995915444484942,5.073534107992132e-10,1576.0050635885743,4.750737113532221e-8,3.0144174173620735e-14,1576.0050635885743,5.263037778119302e-5,3.339480246424671e-11,1576.0050635885743,0.010972115510588746,6.961979859128856e-9,1576.0050635885743,20.288418627572455,1.2873320712165472e-5,1576.0050635885743
-1.4865780334340628,-104.93069314104245,4.485570186058308e6,3.0096503739140696,1490.395769866383,0.0007527309564735939,5.05054410172593e-10,1490.395769866383,0.0008453461662560474,5.67195763264837e-10,1490.395769866383,5.3008506740400575e-8,3.5566731878977953e-14,1490.395769866383,6.34561060706709e-5,4.2576681545707736e-11,1490.395769866383,0.01042212598275321,6.992858000185799e-9,1490.395769866383,20.28876823480799,1.3613007125367054e-5,1490.395769866383
-1.4731560668681258,-104.94680115426726,4.0132135207797675e6,3.0094127129124044,1333.5537208174812,0.0006731541363961765,5.04782166543337e-10,1333.5537208174812,0.0009444219407985241,7.08199396886377e-10,1333.5537208174812,6.599174125491574e-8,4.9485626431653736e-14,1333.5537208174812,9.221813641927539e-5,6.91521721095306e-11,1333.5537208174812,0.00940925712873979,7.055776592915826e-9,1333.5537208174812,20.289403874488592,1.5214538085538085e-5,1333.5537208174812
-1.4597341003021886,-104.96116246725467,3.5930138864621343e6,3.009148818663641,1194.0299742495909,0.0006024125176479001,5.045204313455337e-10,1194.0299742495909,0.0010544510759172639,8.831026847378368e-10,1194.0299742495909,8.212413273767312e-8,6.877895405371668e-14,1194.0299742495909,0.00013396285470732442,1.1219387921271888e-10,1194.0299742495909,0.00850194383160027,7.120377222475898e-9,1194.0299742495909,20.289957536645293,1.6992837679302713e-5,1194.0299742495909
-1.4447654443146336,-104.97529833126532,3.1786023983899555e6,3.0088202874795797,1056.4281328522277,0.0005326955329495119,5.04242093128757e-10,1056.4281328522277,0.0011914579472929888,1.12781732163474e-9,1056.4281328522277,1.0472761964173764e-7,9.913369057958139e-14,1056.4281328522277,0.00020306409011484585,1.922176093196207e-10,1056.4281328522277,0.007600606753826786,7.1946273650494995e-9,1056.4281328522277,20.29047919673104,1.9206681993548595e-5,1056.4281328522277
-1.4322915643250045,-104.98567118130407,2.871862417284096e6,3.008516115544694,954.5777077428562,0.0004811279568802491,5.040217815455787e-10,954.5777077428562,0.0013183361977104934,1.3810674469109081e-9,954.5777077428562,1.2814446902764778e-7,1.342420506871582e-13,954.5777077428562,0.0002870823350486338,3.0074276061553273e-10,954.5777077428562,0.006928784176548994,7.25848102291476e-9,954.5777077428562,20.29083388776708,2.1256345840869998e-5,954.5777077428562
-1.4218966643336468,-104.99338430555225,2.640166898067139e6,3.0082395568078124,877.6451636281079,0.00044219868045643353,5.038467694944311e-10,877.6451636281079,0.0014337233070616164,1.6336024699717258e-9,877.6451636281079,1.5151201052588983e-7,1.7263470113542528e-13,877.6451636281079,0.0003830018719771465,4.3639717718474115e-10,877.6451636281079,0.006418409269315769,7.31321670227479e-9,877.6451636281079,20.291069222522925,2.3119900916039267e-5,877.6451636281079
-1.4132342476741822,-104.99917815274371,2.462201420556798e6,3.007991831785997,818.5532269530348,0.00041231121952268665,5.037072800475849e-10,818.5532269530348,0.0015371038304252274,1.877830029632783e-9,818.5532269530348,1.7412223624453189e-7,2.127195037672514e-13,818.5532269530348,0.0004869094189640919,5.94841487311159e-10,818.5532269530348,0.006024541727348692,7.3599877551937815e-9,818.5532269530348,20.291218846167993,2.4789125713546567e-5,818.5532269530348
-1.4060155671246282,-105.0035656069937,2.323601014496511e6,3.0077726517335828,772.5321304312221,0.00038904391550107116,5.035957731413832e-10,772.5321304312221,0.001628591795864631,2.1081217618166408e-9,772.5321304312221,1.954500127635818e-7,2.5299920231729774e-13,772.5321304312221,0.0005946536904904952,7.697462242231447e-10,772.5321304312221,0.005716608159831632,7.399832233049855e-9,772.5321304312221,20.2913073367285,2.6265972038473055e-5,772.5321304312221
-1.4,-105.00691082516771,2.214414655844034e6,3.00758069198506,736.2777204100479,0.00037072053689352367,5.035063897995744e-10,736.2777204100479,0.0017087339431452301,2.3207736643091707e-9,736.2777204100479,2.1514932448376564e-7,2.9221218912334415e-13,736.2777204100479,0.0007023783730239142,9.539584772886318e-10,736.2777204100479,0.005473253089526867,7.433680169595112e-9,736.2777204100479,20.29135294518939,2.7559373837753405e-5,736.2777204100479
-1.3939844328753717,-105.00996572831235,2.1106498914532964e6,3.0073798842970194,701.8235050630009,0.0003533123284498477,5.034204837840701e-10,701.8235050630009,0.001792587178102275,2.5541851550574087e-9,701.8235050630009,2.3677630070649658e-7,3.3737299904944303e-13,701.8235050630009,0.0008295488858561404,1.1819907425039489e-9,701.8235050630009,0.005241322747441761,7.468149341865175e-9,701.8235050630009,20.291369965842886,2.8912354487217385e-5,701.8235050630009
-1.3879688657507434,-105.01271959824845,2.0120251604782029e6,3.0071698537449,669.0759944845086,0.00033677161474937936,5.033383614500263e-10,669.0759944845086,0.0018803114860285886,2.8103107891014382e-9,669.0759944845086,2.605122492966981e-7,3.893612256966572e-13,669.0759944845086,0.000979662580575774,1.4642022560240825e-9,669.0759944845086,0.005020261660581786,7.503275714516794e-9,669.0759944845086,20.291354952136732,3.032742934944223e-5,669.0759944845086
-1.3759377315014871,-105.01726100630269,1.829144636393355e6,3.0067205531146897,608.3520580249891,0.0003061148895514717,5.031870699102616e-10,608.3520580249891,0.0020680462903880535,3.399423513256373e-9,608.3520580249891,3.151193147686605e-7,5.179884091979458e-13,608.3520580249891,0.0013659534707126794,2.245333853471686e-9,608.3520580249891,0.004608666769480906,7.575657398847161e-9,608.3520580249891,20.29121141912096,3.33543893728185e-5,608.3520580249891
-1.3639065972522306,-105.02035865601266,1.663809409230707e6,3.0062294994336627,553.4538895131421,0.00027841868205904504,5.030566906015642e-10,553.4538895131421,0.0022733549464220965,4.107577866011391e-9,553.4538895131421,3.8077327425499065e-7,6.879945763683154e-13,553.4538895131421,0.0019039152053320662,3.4400611169376494e-9,553.4538895131421,0.004234569543493826,7.651169544076848e-9,553.4538895131421,20.290878466213936,3.666227458273579e-5,553.4538895131421
-1.3518754630029741,-105.02173717520851,1.5142607773026198e6,3.005693153528414,503.7975268782888,0.00025338667600764746,5.029533939511826e-10,503.7975268782888,0.002497775664877432,4.9578958442979085e-9,503.7975268782888,4.5961105411994853e-7,9.122931924018452e-13,503.7975268782888,0.0026528303808507664,5.2656677322111134e-9,503.7975268782888,0.00389445988078935,7.730208413131418e-9,503.7975268782888,20.29029390678747,4.027469930730595e-5,503.7975268782888
-1.3374203780638525,-105.0205293913542,1.3532478015060683e6,3.0049834620322544,450.33452549881054,0.0002264633352863231,5.028780217006063e-10,450.33452549881054,0.002795060877664128,6.2066324463313e-9,450.33452549881054,5.753688422986369e-7,1.2776476368569183e-12,450.33452549881054,0.003949973470466692,8.771198402102362e-9,450.33452549881054,0.003526336413917143,7.830482040015067e-9,450.33452549881054,20.289133051774687,4.505347003830439e-5,450.33452549881054
-1.3253744739479179,-105.01640921642168,1.2329886695398758e6,3.004332775570602,410.40349443503266,0.00020638025789101043,5.028715902507517e-10,410.40349443503266,0.0030680271469160835,7.475636022884195e-9,410.40349443503266,6.929510727037671e-7,1.6884628959061217e-12,410.40349443503266,0.005501641352752433,1.3405444708325576e-8,410.40349443503266,0.0032500228728672043,7.91909161821644e-9,410.40349443503266,20.287634038507864,4.9433385226010595e-5,410.40349443503266
-1.3153362205179724,-105.01013309738012,1.1414678698008927e6,3.003745951035369,380.01478434201033,0.00019111708105278773,5.029201202887514e-10,380.01478434201033,0.003314593757012899,8.722275799748336e-9,380.01478434201033,8.083802199543804e-7,2.1272336058032008e-12,380.01478434201033,0.007249097779565034,1.90758309367272e-8,380.01478434201033,0.0030389413589471926,7.996902973680543e-9,380.01478434201033,20.285878485842886,5.3381813870656554e-5,380.01478434201033
-1.3069710093263511,-105.00238931741413,1.0707315634589102e6,3.0032238566949823,356.5273900818168,0.00017933673181708517,5.030096895947616e-10,356.5273900818168,0.0035343277136171197,9.913201094608897e-9,356.5273900818168,9.185537178872644e-7,2.5763903235498186e-12,356.5273900818168,0.009120569989688477,2.5581681080927518e-8,356.5273900818168,0.0028753231610566385,8.064802988619758e-9,356.5273900818168,20.283956365678875,5.689312218347113e-5,356.5273900818168
-1.3,-104.99378607841344,1.0153558258202628e6,3.0027645215928063,338.1403431800475,0.000170127617121694,5.031272385948553e-10,338.1403431800475,0.003727974464522815,1.1024932516076035e-8,338.1403431800475,1.0212984637400473e-6,3.0203389933754302e-12,338.1403431800475,0.011042659781103636,3.265703132981035e-8,338.1403431800475,0.0027469502425929407,8.12369862986236e-9,338.1403431800475,20.281955702764566,5.9980881050816103e-5,338.1403431800475
-1.293028990673649,-104.98282461338329,963026.0901124453,3.002282057507508,320.7646955436121,0.0001614384935001906,5.032925871925982e-10,320.7646955436121,0.003931744797915439,1.2257411281662909e-8,320.7646955436121,1.1350690125812033e-6,3.538634483004929e-12,320.7646955436121,0.013367985886363442,4.1675365375569805e-8,320.7646955436121,0.0026254134928356985,8.184858026181187e-9,320.7646955436121,20.279512888982357,6.322239688695758e-5,320.7646955436121
-1.2860579813472979,-104.96904275054115,913566.2696157129,3.0017754120967295,304.34197906151485,0.0001532410033134172,5.03515827116454e-10,304.34197906151485,0.004146192292371967,1.362346497567436e-8,304.34197906151485,1.260984052507278e-6,4.143312915279436e-12,304.34197906151485,0.016180679004924467,5.3166109567993453e-8,304.34197906151485,0.0025103468609236055,8.248441009237848e-9,304.34197906151485,20.27653713553323,6.662418769194784e-5,304.34197906151485
-1.2790869720209468,-104.95188178190637,866810.8823125109,3.001243491662166,288.8172468247315,0.00014550878240866022,5.038091873265522e-10,288.8172468247315,0.004371916733006989,1.5137311850563005e-8,288.8172468247315,1.4002652309380166e-6,4.848274285322602e-12,288.8172468247315,0.01958229077152793,6.780166692542232e-8,288.8172468247315,0.0024014040163127036,8.314614320002827e-9,288.8172468247315,20.272918929637406,7.019289586241368e-5,288.8172468247315
-1.2721159626945957,-104.93066712661565,822604.3888354447,3.00068515987772,274.1388532974137,0.0001382173752335331,5.04187471316154e-10,274.1388532974137,0.004609572093843499,1.6814734717090857e-8,274.1388532974137,1.5542443031143947e-6,5.669551340204202e-12,274.1388532974137,0.02369535820051173,8.643560704912046e-8,274.1388532974137,0.002298256822129487,8.383550140687664e-9,274.1388532974137,20.268526271160404,7.393525590176395e-5,274.1388532974137
-1.2628212835927943,-104.8946457351363,767375.8940958357,2.9998975867470947,255.80069715910906,0.00012914236842862605,5.048554201097388e-10,255.80069715910906,0.004946256911458758,1.9336369941095847e-8,255.80069715910906,1.7849349461388357e-6,6.977834564026223e-12,255.80069715910906,0.030545879789441864,1.194128089902828e-7,255.80069715910906,0.002169206588416816,8.480065193362474e-9,255.80069715910906,20.26118537885414,7.920692009002462e-5,255.80069715910906
-1.2512715905475413,-104.83412374106156,704217.639044157,2.998846168067862,234.8295309518594,0.00011882891173491349,5.060220120240059e-10,234.8295309518594,0.005398889310434838,2.2990674505676303e-8,234.8295309518594,2.117338769627801e-6,9.016492776889548e-12,234.8295309518594,0.04186096965946232,1.7826109642080715e-7,234.8295309518594,0.002021388401920974,8.607896944338588e-9,234.8295309518594,20.249028268635282,8.622862800329137e-5,234.8295309518594
-1.2416468463431638,-104.76625133426803,655836.6165368448,2.997904398937255,218.76502024858974,0.00011099482675935388,5.073700842722794e-10,218.76502024858974,0.005808023973807232,2.654914376716802e-8,218.76502024858974,2.4385395836733308e-6,1.1146844138529733e-11,218.76502024858974,0.054409919462391466,2.487139827041989e-7,218.76502024858974,0.0019079844951380314,8.721615973933708e-9,218.76502024858974,20.235529573862646,9.24989267062365e-5,218.76502024858974
-1.2336262261728492,-104.69408188881046,618239.2559423416,2.997071255136244,206.2811335842721,0.00010496260018639992,5.088327679929077e-10,206.2811335842721,0.006173470253289652,2.992745941435115e-8,206.2811335842721,2.74092109188228e-6,1.3287308656186585e-11,206.2811335842721,0.06767531290587737,3.2807320635665385e-7,206.2811335842721,0.0018197435145236812,8.821667221351878e-9,206.2811335842721,20.22126010291961,9.802767587884431e-5,206.2811335842721
