Voltage,Current,a_K⁺,c_K⁺,γ_K⁺,a_H⁺,c_H⁺,γ_H⁺,a_HCO₃⁻,c_HCO₃⁻,γ_HCO₃⁻,a_CO₃²⁻,c_CO₃²⁻,γ_CO₃²⁻,a_CO₂,c_CO₂,γ_CO₂,a_OH⁻,c_OH⁻,γ_OH⁻,a_CO,c_CO,γ_CO
-1.5,-106.5300262330341,5034.595442589403,3.009870602637401,1672.6949783747632,7.911774868340853e-7,7.911774810188798e-7,1.0000000073500646,6.794130505407947e-7,6.794130455470651e-7,1.0000000073500643,4.0272332622335934e-11,4.0272332326331704e-11,1.0000000073500643,4.4435210177779306e-8,4.4435209851177656e-8,1.0000000073500643,2.7837216750042638e-8,2.7837216545437307e-8,1.0000000073500643,0.01922212346966995,0.019222123328386107,1.0000000073500643
-1.4932890167170314,-106.52997160739346,4760.039610680321,3.0097668172518404,1581.5310287149157,7.480475970935026e-7,7.480475916372131e-7,1.0000000072940407,7.185884572583708e-7,7.185884520169575e-7,1.0000000072940405,4.505032245916002e-11,4.505032213056114e-11,1.0000000072940407,5.3576004970812907e-8,5.3576004580027354e-8,1.0000000072940405,2.86604050243543e-8,2.8660404815304145e-8,1.0000000072940407,0.019222113521965366,0.01922211338175849,1.0000000072940407
-1.4865780334340628,-106.52990574855623,4501.209841775245,3.0096573902985497,1495.5887857151533,7.07387413861926e-7,7.073874087417244e-7,1.000000007238186,7.598959938094828e-7,7.598959883092143e-7,1.000000007238186,5.037833394071364e-11,5.037833357606589e-11,1.000000007238186,6.459097790831325e-8,6.459097744079173e-8,1.000000007238186,2.9525384287879795e-8,2.952538407416957e-8,1.000000007238186,0.019222101567313188,0.019222101428180045,1.0000000072381858
-1.4731560668681258,-106.52973068237357,4027.034431387278,3.009420457952469,1338.1428376834945,6.328964298321846e-7,6.328964253215411e-7,1.0000000071269854,8.493451725927836e-7,8.49345166539513e-7,1.0000000071269854,6.293593565639655e-11,6.293593520785307e-11,1.0000000071269852,9.385333203709734e-8,9.385333136820603e-8,1.0000000071269854,3.138916703614145e-8,3.138916681243131e-8,1.0000000071269854,0.01922206988694494,0.019222069749949527,1.0000000071269854
-1.4597341003021886,-106.52947647418173,3605.2383648311907,3.0091573639382383,1198.089009247702,5.666325334099139e-7,5.666325294341561e-7,1.0000000070164659,9.486876116451301e-7,9.486876049886959e-7,1.0000000070164659,7.851795354567299e-11,7.851795299475445e-11,1.0000000070164659,1.3631999769391349e-7,1.363199967374289e-7,1.0000000070164656,3.344644537273266e-8,3.344644513805682e-8,1.0000000070164659,0.019222023975036664,0.01922202384016599,1.0000000070164659
-1.4447654443146336,-106.52905554352571,3189.274196221113,3.0088298177099,1059.971613365808,5.012841168414234e-7,5.012841133855614e-7,1.0000000068940187,1.0723927772759608e-6,1.0723927698828652e-6,1.0000000068940185,1.003268836838018e-10,1.003268829921464e-10,1.0000000068940185,2.0660966965219558e-7,2.0660966822782471e-7,1.0000000068940185,3.5993003323169646e-8,3.599300307503322e-8,1.0000000068940185,0.019221947995231196,0.019221947862714733,1.0000000068940185
-1.4322915643250045,-106.5285436529404,2881.4001893071827,3.008526547985213,957.7446445459602,4.5291711125959216e-7,4.529171081830925e-7,1.000000006792633,1.1869572206513843e-6,1.1869572125888199e-6,1.0000000067926327,1.2290338192236257e-10,1.22903381087525e-10,1.0000000067926331,2.9206606024415576e-7,2.920660582602582e-7,1.000000006792633,3.833889904753909e-8,3.8338898787117023e-8,1.000000006792633,0.0192218555821746,0.019221855451607598,1.0000000067926327
-1.4218966643336468,-106.52795920136995,2648.85743098445,3.0082508024148145,880.5307818278088,4.1638553865291904e-7,4.1638553585955446e-7,1.0000000067086015,1.29114920000017e-6,1.2911491913383647e-6,1.0000000067086015,1.4542141819219777e-10,1.4542141721662347e-10,1.0000000067086012,3.8962155899614585e-7,3.8962155638233013e-7,1.0000000067086015,4.0463576940429687e-8,4.046357666897568e-8,1.0000000067086015,0.019221750029230933,0.019221749900279875,1.0000000067086015
-1.4132342476741822,-106.52732605215779,2470.2470398202413,3.008003800584211,821.2247070101683,3.883276028659851e-7,3.883276002879195e-7,1.0000000066388937,1.384502130222946e-6,1.3845021210313836e-6,1.0000000066388937,1.6720259778974086e-10,1.672025966797006e-10,1.0000000066388937,4.952963935202798e-7,4.952963902320598e-7,1.0000000066388937,4.236097358215256e-8,4.236097330092257e-8,1.0000000066388937,0.01922163563714018,0.019221635509529787,1.0000000066388937
-1.4060155671246282,-106.52666951421405,2331.1480994176513,3.007785256640599,775.0380763623115,3.6647756994038043e-7,3.664775675285822e-7,1.0000000065810255,1.4671180618819564e-6,1.4671180522268148e-6,1.0000000065810257,1.8774370223770417e-10,1.8774370100215811e-10,1.0000000065810253,6.048692306825883e-7,6.048692267019285e-7,1.0000000065810255,4.4035701675278494e-8,4.403570138547842e-8,1.0000000065810255,0.019221516979589376,0.019221516853092084,1.0000000065810255
