Voltage,Capacitance
-0.9975,0.16726806496308866
-0.987,0.1674667973497468
-0.9765,0.16766409884433342
-0.966,0.16785986927642105
-0.9555,0.16805400637864842
-0.945,0.16824640532125956
-0.9345,0.1684369590787549
-0.924,0.16862555837077187
-0.9135,0.16881209136676567
-0.903,0.1689964439643976
-0.8925,0.16917849979758426
-0.882,0.16935814053292697
-0.8715,0.16953524483082072
-0.861,0.1697096895617034
-0.8505,0.16988134940720823
-0.84,0.17005009614573519
-0.8295,0.170215800419371
-0.819,0.17037832911570572
-0.8085,0.1705375483188054
-0.798,0.17069332042873864
-0.7875,0.1708455062976455
-0.777,0.1709939645500036
-0.7665,0.1711385510608232
-0.756,0.17127911886627434
-0.7455,0.17141551919619413
-0.735,0.17154760010962278
-0.7245,0.17167520730554386
-0.714,0.17179818351892306
-0.7035,0.1719163685967584
-0.693,0.1720295992080345
-0.6825,0.1721377089941578
-0.672,0.17224052789782673
-0.6615,0.17233788262183136
-0.651,0.1724295958563382
-0.6405,0.17251548630831115
-0.63,0.1725953682521486
-0.6195,0.17266905163709767
-0.609,0.17273634136866223
-0.5985,0.1727970367965126
-0.588,0.17285093243640803
-0.5775,0.17289781619883593
-0.567,0.17293746991747794
-0.5565,0.17296966842356154
-0.546,0.17299417915922488
-0.5355,0.17301076196366005
-0.525,0.17301916810180673
-0.5145,0.17301913992642803
-0.504,0.1730104101305141
-0.4935,0.1729927013682797
-0.483,0.1729657249852079
-0.4725,0.17292918112948863
-0.462,0.17288275698398858
-0.4515,0.1728261272461451
-0.441,0.17275895179247325
-0.4305,0.1726808760557641
-0.42,0.17259152937446065
-0.4095,0.17249052460019398
-0.399,0.17237745649364977
-0.3885,0.1722519017445523
-0.378,0.17211341687625725
-0.3675,0.17196153783108348
-0.357,0.17179577913126187
-0.3465,0.17161563226342214
-0.336,0.171420566013325
-0.3255,0.1712100242441672
-0.315,0.17098342558169444
-0.3045,0.1707401636531769
-0.294,0.17047960506832993
-0.2835,0.1702010904468254
-0.273,0.16990393391161374
-0.2625,0.16958742396253057
-0.252,0.1692508232355172
-0.2415,0.16889337109360358
-0.231,0.16851428493995513
-0.2205,0.1681127637829377
-0.21,0.167687991272647
-0.1995,0.16723914175807708
-0.189,0.16676538665598428
-0.1785,0.16626590236157313
-0.168,0.16573988201484813
-0.1575,0.16518654750108386
-0.147,0.16460516648608703
-0.1365,0.16399507167613736
-0.126,0.16335568466911699
-0.1155,0.1626865449105841
-0.105,0.16198734296826722
-0.0945,0.1612579612528947
-0.084,0.16049852062764713
-0.0735,0.1597094346948713
-0.063,0.15889147148069604
-0.0525,0.15804582409684187
-0.042,0.15717418828900542
-0.0315,0.15627884758128568
-0.021,0.15536276349779887
-0.0105,0.15442966947609715
0.0,0.15348416328709452
0.0,0.15348416328709452
0.0105,0.15253179298267
0.021,0.15157913025469483
0.0315,0.15063382066308334
0.042,0.14970460181087247
0.0525,0.1488012756426134
0.063,0.14793462597193982
0.0735,0.14711626777248743
0.084,0.14635842143327984
0.0945,0.14567360889406952
0.105,0.14507427683489726
0.1155,0.1445723591839837
0.126,0.1441788009074428
0.1365,0.14390307798234359
0.147,0.14375274769424726
0.1575,0.1437330714590667
0.168,0.14384674454057372
0.1785,0.14409376184166667
0.189,0.14447143183098954
0.1995,0.1449745375005449
0.21,0.1455956271600306
0.2205,0.14632540368049451
0.231,0.14715317611640327
0.2415,0.14806733485956888
0.252,0.14905581245304445
0.2625,0.15010650309482676
0.273,0.15120761877953498
0.2835,0.15234797245085308
0.294,0.15351718586357338
0.3045,0.15470582505758973
0.315,0.15590547336359617
0.3255,0.15710875120665546
0.336,0.15830929604790378
0.3465,0.1595017117137637
0.357,0.16068149794774833
0.3675,0.16184496841820106
0.378,0.16298916323598256
0.3885,0.16411176117225867
0.399,0.1652109947978403
0.4095,0.1662855714169159
0.42,0.16733459990189714
0.4305,0.16835752583259367
0.441,0.1693540731377563
0.4515,0.17032419386976694
0.462,0.17126802403184815
0.4725,0.17218584661582437
0.483,0.173078059302334
0.4935,0.17394514767635205
0.504,0.17478766300066395
0.5145,0.17560620340181798
0.525,0.1764013984691809
0.5355,0.17717389670234007
0.546,0.1779243556887522
0.5565,0.1786534332794132
0.567,0.17936178166713668
0.5775,0.18005004211757436
0.588,0.1807188409924665
0.5985,0.18136878684987812
0.609,0.1820004685125498
0.6195,0.18261445331319015
0.63,0.183211286356455
0.6405,0.1837914898802917
0.651,0.18435556329438052
0.6615,0.18490398320719637
0.672,0.1854372036792784
0.6825,0.18595565691892357
0.693,0.1864597540818247
0.7035,0.18694988567907744
0.714,0.18742642259275688
0.7245,0.18788971723582293
0.735,0.18834010407725588
0.7455,0.18877790085608526
0.756,0.18920340967232274
0.7665,0.18961691762728328
0.777,0.19001869784679437
0.7875,0.19040901092670648
0.798,0.19078810520059553
0.8085,0.1911562181136639
0.819,0.19151357689761728
0.8295,0.1918603994954804
0.84,0.19219689556704278
0.8505,0.1925232668555099
0.861,0.19283970854988564
0.8715,0.1931464093714308
0.882,0.19344355301709193
0.8925,0.1937313180139233
0.903,0.1940098791039513
0.9135,0.19427940727956283
0.924,0.1945400708044942
0.9345,0.1947920351419441
0.945,0.1950354641999663
0.9555,0.19527052013718071
0.966,0.1954973640336255
0.9765,0.19571615629182526
0.987,0.19592705697457635
0.9975,0.19613022610359687
1.008,0.19632582356876593
1.0185,0.19651401012760195
1.029,0.19669494675383925
1.0395,0.19686879551755743
1.05,0.19703571914608808
1.0605,0.19719588128297438
1.071,0.19734944682742173
1.0815,0.1974965815970675
1.092,0.19763745241874187
