Voltage,Capacitance
-0.9975,0.16694971325503793
-0.987,0.16715245924669997
-0.9765,0.16735398185613315
-0.966,0.16755418872999028
-0.9555,0.16775298790988602
-0.945,0.16795028783073152
-0.9345,0.16814598899045352
-0.924,0.16833999331888894
-0.9135,0.16853219851287182
-0.903,0.1687225039964657
-0.8925,0.16891080102221512
-0.882,0.16909698180078703
-0.8715,0.16928093875795414
-0.861,0.16946255659927578
-0.8505,0.16964172251499043
-0.84,0.1698183190640412
-0.8295,0.16999223012098552
-0.819,0.1701633329920238
-0.8085,0.17033150603223968
-0.798,0.1704966260804297
-0.7875,0.17065856385473088
-0.777,0.17081719415890095
-0.7665,0.17097238597274522
-0.756,0.17112400761437607
-0.7455,0.17127192510679734
-0.735,0.17141600285097702
-0.7245,0.17155610429420154
-0.714,0.171692086916031
-0.7035,0.17182381227165422
-0.693,0.1719511358463932
-0.6825,0.17207391211360168
-0.672,0.17219199343748715
-0.6615,0.17230522991240615
-0.651,0.17241347038454702
-0.6405,0.17251655725469828
-0.63,0.17261433655241243
-0.6195,0.17270664755208998
-0.609,0.17279332778147305
-0.5985,0.17287421193029617
-0.588,0.17294913153526048
-0.5775,0.17301791597590377
-0.567,0.17308038702784634
-0.5565,0.17313636902854812
-0.546,0.17318567833130016
-0.5355,0.17322812833925338
-0.525,0.17326352804686307
-0.5145,0.17329168194163413
-0.504,0.17331239038659296
-0.4935,0.17332544636955438
-0.483,0.17333064104646523
-0.4725,0.17332775769568487
-0.462,0.17331657454960903
-0.4515,0.17329686376771347
-0.441,0.17326839119619075
-0.4305,0.17323091552140513
-0.42,0.17318419213013803
-0.4095,0.17312796457780166
-0.399,0.1730619729622962
-0.3885,0.1729859495974706
-0.378,0.1728996197933319
-0.3675,0.1728027021080658
-0.357,0.17269490745125404
-0.3465,0.17257594422948053
-0.336,0.17244550894385258
-0.3255,0.17230329650119725
-0.315,0.1721489972963952
-0.3045,0.17198229576020907
-0.294,0.17180287616269663
-0.2835,0.1716104197199697
-0.273,0.17140461297721066
-0.2625,0.17118513949254677
-0.252,0.17095169185549208
-0.2415,0.17070397571983253
-0.231,0.17044170019964167
-0.2205,0.17016460138047362
-0.21,0.16987243260019325
-0.1995,0.1695649811765676
-0.189,0.16924206440699363
-0.1785,0.1689035472736411
-0.168,0.16854935253107772
-0.1575,0.16817945717645388
-0.147,0.1677939254365879
-0.1365,0.16739290596645695
-0.126,0.16697665630963088
-0.1155,0.16654555290693263
-0.105,0.1661001143779539
-0.0945,0.16564102360977495
-0.084,0.16516913625974627
-0.0735,0.1646855214362808
-0.063,0.16419147114907218
-0.0525,0.16368852481518648
-0.042,0.1631784991959484
-0.0315,0.1626635001640564
-0.021,0.16214594622851464
-0.0105,0.1616285746895707
0.0,0.16111446052138878
0.0,0.16111446052138878
0.0105,0.16060700465489464
0.021,0.16010993020107445
0.0315,0.15962725395918254
0.042,0.15916326225384747
0.0525,0.15872244932740864
0.063,0.15830945901643134
0.0735,0.1579289981055304
0.084,0.15758575011189102
0.0945,0.15728426071989765
0.105,0.15702882101620297
0.1155,0.1568233622464138
0.126,0.15667132073217405
0.1365,0.15657554249502714
0.147,0.1565381877591948
0.1575,0.15656065345232006
0.168,0.1566435329557192
0.1785,0.15678658843311377
0.189,0.1569887787737645
0.1995,0.15724827921295703
0.21,0.15756256227003607
0.2205,0.15792848536061443
0.231,0.15834238551996893
0.2415,0.15880020443885534
0.252,0.15929759507975205
0.2625,0.1598300516095566
0.273,0.1603929978243046
0.2835,0.16098189717848183
0.294,0.16159233495693232
0.3045,0.1622200770366386
0.315,0.16286113354982423
0.3255,0.16351179071508876
0.336,0.16416864042058388
0.3465,0.16482858889634716
0.357,0.16548886257107542
0.3675,0.16614700703777852
0.378,0.16680086629965174
0.3885,0.1674485769789097
0.399,0.16808854459170186
0.4095,0.16871942383270278
0.42,0.16934009660393712
0.4305,0.16994964927311007
0.441,0.17054735543885202
0.4515,0.17113264674482875
0.462,0.17170510180707088
0.4725,0.17226442402359932
0.483,0.17281042560247928
0.4935,0.1733430123796592
0.504,0.17386217100269497
0.5145,0.1743679535937126
0.525,0.17486047270129368
0.5355,0.17533988592804972
0.546,0.17580639049274982
0.5565,0.17626021526898072
0.567,0.17670161423469222
0.5775,0.17713086218409946
0.588,0.17754824470320174
0.5985,0.17795406443102402
0.609,0.17834862725066292
0.6195,0.17873224453582304
0.63,0.1791052295796458
0.6405,0.17946789560255305
0.651,0.1798205549992382
0.6615,0.1801635127357537
0.672,0.18049707550635286
0.6825,0.18082154052453947
0.693,0.18113719993481658
0.7035,0.18144433910696756
0.714,0.18174323625663735
0.7245,0.18203416319056975
0.735,0.18231737992702168
0.7455,0.18259314473828558
0.756,0.18286170392040058
0.7665,0.18312329681566264
0.777,0.18337815518187917
0.7875,0.18362650256995017
0.798,0.1838685560928699
0.8085,0.18410452133660327
0.819,0.18433460262257118
0.8295,0.18455899274655296
0.84,0.18477787799592305
0.8505,0.18499144085387664
0.861,0.18519985261200578
0.8715,0.18540328150185026
0.882,0.18560188700417202
0.8925,0.18579582722805243
0.903,0.18598524886032086
0.9135,0.18617029546058594
0.924,0.18635110834552826
0.9345,0.1865278177562435
0.945,0.18670055294378596
0.9555,0.1868694364595691
0.966,0.1870345899948611
0.9765,0.18719612528583784
0.987,0.1873541525440614
0.9975,0.18750878076123634
1.008,0.18766010950299616
1.0185,0.18780823820646608
1.029,0.18795326152953873
1.0395,0.18809527171093077
1.05,0.1882343562628619
1.0605,0.1883706001562513
1.071,0.18850408596254864
1.0815,0.1886348920834835
1.092,0.1887630949579111
