Voltage,Current
-0.0020000000000000018,6.9455696996835925e-15
-0.0044000000000000705,2.638281627515543e-15
-0.007280000000000064,-1.688497274746263e-14
-0.010735999999999968,1.1546412558401002e-14
-0.014883199999999874,-5.505543893109294e-15
-0.019859840000000184,2.9366238434989165e-15
-0.025831808000000178,-1.296163848442305e-14
-0.03299816960000013,1.3232567370909021e-14
-0.041597803519999865,8.100238583222528e-15
-0.05191736422399984,2.986463509443565e-15
-0.06430083706880008,2.1879460561579045e-15
-0.07916100448255992,-1.1442206699624864e-14
-0.09699320537907208,-1.0449154011308427e-14
-0.1169932053790721,2.3821445069463645e-15
-0.136993205379072,8.445178394664385e-15
-0.1569932053790719,1.0714387382775835e-15
-0.17699320537907182,5.200401142445639e-15
-0.19699320537907217,-1.020188011076033e-14
-0.21699320537907196,-6.438449157589263e-15
-0.23699320537907198,-3.9865831861890426e-15
-0.256993205379072,-5.682128133890635e-15
-0.2769932053790718,1.2217536434791124e-15
-0.29699320537907203,-3.460089097092955e-14
-0.31699320537907205,-1.371577338171346e-13
-0.33699320537907207,-4.654395039604686e-13
-0.3569932053790723,-1.5522129244951637e-12
-0.3769932053790721,-5.338837020224257e-12
-0.3969932053790721,-1.8225135295090293e-11
-0.4169932053790717,-6.234820684095959e-11
-0.43699320537907194,-2.1351595730400913e-10
-0.4569932053790724,-7.319323497821295e-10
-0.47699320537907264,-2.511259113808035e-9
-0.4969932053790722,-8.622921310983885e-9
-0.5169932053790725,-2.9625995834526832e-8
-0.536993205379072,-1.0181477746147652e-7
-0.5569932053790723,-3.497996714987276e-7
-0.5769932053790725,-1.2000951609598886e-6
-0.5969932053790721,-4.102360646944855e-6
-0.6169932053790725,-1.3910196988341655e-5
-0.6369932053790721,-4.6375367638383165e-5
-0.6569932053790724,-0.0001495349428255858
-0.6769932053790726,-0.00045374285233425854
-0.6969932053790728,-0.0012500838993797295
-0.7169932053790724,-0.003039065944282761
-0.736993205379072,-0.0065128022325428294
-0.7569932053790722,-0.012630897929642074
-0.7769932053790727,-0.02293651126202168
-0.7969932053790729,-0.04005582522894168
-0.8169932053790725,-0.06837666631429355
-0.8369932053790721,-0.11503103283192306
-0.8569932053790723,-0.19133542724459332
-0.8769932053790725,-0.31474579117817447
-0.8969932053790721,-0.5107883934102336
-0.9169932053790717,-0.8132163036461754
-0.9369932053790719,-1.259914978574051
-0.9569932053790724,-1.8832527069407594
-0.976993205379072,-2.697522258768879
-0.9969932053790715,-3.6899179437164307
-1.0169932053790718,-4.819404968219388
-1.036993205379072,-6.021169070399768
-1.0569932053790716,-7.210762730929422
-1.0769932053790712,-8.283934843189675
-1.0969932053790714,-9.112299538357373
-1.1169932053790717,-9.542085059666412
-1.1369932053790712,-9.42246844419337
-1.1569932053790708,-8.717948101709124
-1.1769932053790713,-7.66046543600928
-1.1969932053790715,-6.621203924145817
-1.183006794620929,-5.538685033056108
-1.1630067946209295,-4.7630795569948585
-1.143006794620929,-4.13784500544328
-1.1230067946209288,-3.577695330839577
-1.1030067946209292,-3.0475822331934386
-1.0830067946209296,-2.535027463039335
-1.0630067946209294,-2.0432147966917595
-1.0430067946209292,-1.5855298377907578
-1.0230067946209296,-1.1789311623229604
-1.00300679462093,-0.8372153554481558
-0.9830067946209297,-0.5663829215634392
-0.9630067946209294,-0.36370318093266846
-0.9430067946209297,-0.22014863069225302
-0.9230067946209302,-0.12411124764723305
-0.9030067946209299,-0.06416538230371456
-0.8830067946209297,-0.03003971823416182
-0.8630067946209301,-0.01271835788712397
-0.8430067946209305,-0.0049329081167943725
-0.8230067946209303,-0.0017895080784253354
-0.8030067946209299,-0.0006184946867071645
-0.7830067946209304,-0.00020467361171007593
-0.7630067946209308,-6.25354461291882e-5
-0.7430067946209304,-1.3767023121587848e-5
-0.7230067946209302,3.891205123335428e-6
-0.7030067946209306,1.1580968163413896e-5
-0.6830067946209311,1.64130070860459e-5
-0.6630067946209308,2.082001043009593e-5
-0.6430067946209305,2.5704478589847192e-5
-0.6230067946209309,3.1483476396023883e-5
-0.6030067946209313,3.843260084721387e-5
-0.5830067946209311,4.679767021016006e-5
-0.5630067946209307,5.682799088133408e-5
-0.5430067946209312,6.87803566182114e-5
-0.5230067946209316,8.29078453553452e-5
-0.5030067946209313,9.943531615974324e-5
-0.4830067946209311,0.00011851853454471033
-0.4630067946209315,0.00014018127336189328
-0.44300679462093195,0.0001642233262551403
-0.4230067946209316,0.00019009286764043568
-0.40300679462093136,0.00021672236985158502
-0.3830067946209318,0.00024234681186445647
-0.3630067946209322,0.0002643772701682076
-0.34300679462093187,0.0002795396605241496
-0.3230067946209316,0.0002847871587739471
-0.30300679462093205,0.0002798912059980454
-0.2830067946209325,0.0002718398322408649
-0.26300679462093224,0.00027616866286435214
-0.2430067946209319,0.00030882268442791825
-0.2230067946209323,0.0003789486278000205
-0.20300679462093274,0.0004926732058552052
-0.1830067946209324,0.0006591354313916881
-0.16300679462093215,0.0008935798273200735
-0.14300679462093258,0.0012191079864147648
-0.123006794620933,0.0016686048115525057
-0.10300679462093276,0.0022872545750772656
-0.08300679462093252,0.00313549621425375
-0.06300679462093295,0.004291828744266981
-0.043006794620933375,0.005854285548610783
-0.023006794620933135,0.007938658525066264
-0.0030067946209326735,0.010671052426440581
0.0169932053790669,0.014172961169815071
