Voltage,Capacitance
-0.9975,0.16693783362775605
-0.987,0.16714086627900304
-0.9765,0.167342690371719
-0.966,0.16754321779721693
-0.9555,0.16774235635619306
-0.945,0.1679400144474763
-0.9345,0.1681360940991583
-0.924,0.16833049909292797
-0.9135,0.16852312890086596
-0.903,0.16871387874511923
-0.8925,0.16890264464636262
-0.882,0.16908931951248318
-0.8715,0.16927379507564178
-0.861,0.1694559579179522
-0.8505,0.16963569466066364
-0.84,0.16981289185480364
-0.8295,0.1699874300770121
-0.819,0.17015919195922935
-0.8085,0.17032805520705852
-0.798,0.1704938974594894
-0.7875,0.17065659173032266
-0.777,0.1708160120525437
-0.7665,0.17097203063365374
-0.756,0.1711245148083851
-0.7455,0.17127333312244586
-0.735,0.17141835028183783
-0.7245,0.17155943148938757
-0.714,0.17169643872605445
-0.7035,0.17182923212816226
-0.693,0.1719576704770076
-0.6825,0.17208160790566085
-0.672,0.17220089958025486
-0.6615,0.17231539791717765
-0.651,0.17242495255864743
-0.6405,0.17252941020590162
-0.63,0.17262861562117315
-0.6195,0.1727224134828731
-0.609,0.1728106417858699
-0.5985,0.17289313981205812
-0.588,0.17296974180874836
-0.5775,0.173040277178238
-0.567,0.17310457468278084
-0.5565,0.17316245891491056
-0.546,0.17321375174378373
-0.5355,0.1732582681074346
-0.525,0.1732958212680158
-0.5145,0.17332622086141392
-0.504,0.17334926995127287
-0.4935,0.1733647695750795
-0.483,0.1733725130392827
-0.4725,0.1733722904148638
-0.462,0.17336388325517316
-0.4515,0.1733470705297946
-0.441,0.17332162526279005
-0.4305,0.17328731133775532
-0.42,0.17324388941419855
-0.4095,0.17319111176750113
-0.399,0.17312872715447014
-0.3885,0.17305647389387335
-0.378,0.17297408760108546
-0.3675,0.17288129552622822
-0.357,0.17277781656444002
-0.3465,0.17266336669513604
-0.336,0.1725376552363933
-0.3255,0.17240038748977948
-0.315,0.17225126134057245
-0.3045,0.17208997331541465
-0.294,0.1719162197258428
-0.2835,0.17172969205142552
-0.273,0.1715300867410896
-0.2625,0.17131710066647932
-0.252,0.17109043677965285
-0.2415,0.17084980598519595
-0.231,0.1705949329722234
-0.2205,0.17032555927262716
-0.21,0.17004144470728066
-0.1995,0.1697423792769437
-0.189,0.16942818485521371
-0.1785,0.16909872647796753
-0.168,0.1687539190892151
-0.1575,0.16839373583557582
-0.147,0.16801822256273802
-0.1365,0.16762750557480777
-0.126,0.16722181156308968
-0.1155,0.16680147944481138
-0.105,0.16636697563257585
-0.0945,0.16591891477152343
-0.084,0.1654580771635883
-0.0735,0.16498543224469087
-0.063,0.16450215219718234
-0.0525,0.16400964077512015
-0.042,0.16350954688937325
-0.0315,0.16300378286135397
-0.021,0.16249454513797557
-0.0105,0.16198432185504652
0.0,0.1614759010314104
0.0,0.1614759010314104
0.0105,0.16097236460010933
0.021,0.1604770893420815
0.0315,0.15999371655389671
0.042,0.15952612547220912
0.0525,0.15907838644607653
0.063,0.15865470649231717
0.0735,0.15825935192073648
0.084,0.15789656335279956
0.0945,0.15757046633001204
