Voltage,Current
-1.5,-106.22076923115914
-1.4932890167170314,-106.23000218714452
-1.4865780334340628,-106.23872956292401
-1.4731560668681258,-106.25476743607122
-1.4597341003021886,-106.26906220764653
-1.4447654443146336,-106.28312624728278
-1.4322915643250045,-106.29343930864746
-1.4218966643336468,-106.3011011077332
-1.4132342476741822,-106.30684998445429
-1.4060155671246282,-106.31119759533685
-1.4,-106.31450737294522
-1.3939844328753717,-106.31752423713945
-1.3879688657507434,-106.32023684761886
-1.3759377315014871,-106.32468304119627
-1.3639065972522306,-106.32766210985966
-1.3518754630029741,-106.32888842121139
-1.3374203780638525,-106.32743293591179
-1.3253744739479179,-106.32302840798863
-1.3153362205179724,-106.31643942660924
-1.3069710093263511,-106.30836522555268
-1.3,-106.29942561558752
-1.293028990673649,-106.28805979652732
-1.2860579813472979,-106.27379133477034
-1.2790869720209468,-106.25604434404413
-1.2721159626945957,-106.23412356705374
-1.2628212835927943,-106.19693018349368
-1.2512715905475413,-106.13447997406185
-1.2416468463431638,-106.06447711279009
-1.2336262261728492,-105.99006307832636
-1.2269423760309204,-105.91426295607782
-1.2213725009126464,-105.83968818045726
-1.2167309383140847,-105.76838165929638
-1.21286296948195,-105.7017833116515
-1.2096396621218377,-105.64077747863627
-1.2069535726550775,-105.58578428276101
-1.2047151647661107,-105.53686571064063
-1.2028498248586383,-105.49382760632378
-1.2012953749357447,-105.45630763757411
-1.2,-105.42384557406517
-1.1987046250642552,-105.3902585345252
-1.1974092501285103,-105.3555095418348
-1.1948185002570209,-105.28237220510489
-1.189637000514042,-105.12040045843106
-1.1792740010280842,-104.72350104010536
-1.1689110015421262,-104.20674007064633
-1.1585480020561683,-103.53756449167305
-1.1447306694082244,-102.33917738040721
-1.1270350199720038,-100.12262277743162
-1.11228864544182,-97.50081311242349
-1.1,-94.63952047591438
-1.0877113545581802,-91.05631173774978
-1.0754227091163604,-86.66965317316405
-1.0631340636745406,-81.43376996884403
-1.0508454182327207,-75.35780194595667
-1.038104160388061,-68.2587241849037
-1.0274864455175112,-61.84991144149927
-1.018638349792053,-56.283631121346524
-1.0112649366875046,-51.570929803187205
-1.0051204257670476,-47.64450515079583
-1.0,-44.4040932828226
-0.9948795742329525,-41.21680003277215
-0.989759148465905,-38.1044071712882
-0.9846387226988574,-35.08707354055713
-0.9769580840482862,-30.77806871321944
-0.9654371260724294,-24.89559254433625
-0.9481556891086441,-17.557127887259995
-0.9291050868239058,-11.550413595873612
-0.9132295849199572,-8.00160599363327
-0.9,-5.844251901610672
-0.8867704150800428,-4.244550537861929
-0.8735408301600855,-3.0675980972577754
-0.8603112452401283,-2.2065057866561513
-0.8451979635867095,-1.5056346760453858
-0.8326035622088606,-1.089706376676215
-0.8221082277273197,-0.8293850100384527
-0.8133621156593691,-0.6588111007735128
-0.8060736889360769,-0.5425870485512806
-0.8,-0.4607335019413399
-0.7939263110639232,-0.39048827816806886
-0.7878526221278462,-0.33022198602180997
-0.7817789331917693,-0.2785311140962226
-0.7757052442556923,-0.2342099427491461
-0.7676069923409231,-0.18481588059465848
-0.7568093231212308,-0.13303907487324412
-0.744471785716187,-0.08924726545109057
-0.7341905045453171,-0.06241985616787396
-0.7256227702362589,-0.04537496520354391
-0.718482991645377,-0.03421555366627266
-0.7125331761529754,-0.026712303195385558
-0.7075749965759741,-0.021541143288717673
-0.7034431802618064,-0.017893620212232442
-0.7,-0.015264694407843178
-0.6965568197381935,-0.012971899022258558
-0.693113639476387,-0.010981980580479776
-0.6862272789527742,-0.0077861650548063386
-0.6793409184291613,-0.005446544783394637
-0.6690113776437421,-0.003116922663648525
-0.6586818368583227,-0.0017452010965020505
-0.644909115811097,-0.0007851963555464216
-0.6271428721935202,-0.00027235420926010863
-0.6123376691788728,-0.00011104115544952488
-0.6,-5.2257629255216236e-5
-0.5876623308211272,-2.451058608905162e-5
-0.5753246616422544,-1.1472358735485255e-5
-0.5629869924633816,-5.3630173863796125e-6
-0.5506493232845088,-2.50529174592659e-6
-0.5343449211541751,-9.158223323158348e-7
-0.520757919378897,-3.95873419843244e-7
-0.5094354178994986,-1.9680600979319193e-7
-0.5,-1.0993869581734076e-7
-0.49056458210050136,-6.142078132840222e-8
-0.4811291642010027,-3.4319685001638255e-8
-0.47169374630150407,-1.91797428743822e-8
-0.4622583284020054,-1.0720898514567964e-8
-0.44967777120267394,-4.937851568794647e-9
-0.4336861190718579,-1.8440831499131478e-9
-0.42035974229617784,-8.121469283922662e-10
-0.4092544283164445,-4.100563628470844e-10
-0.4,-2.3223157929929607e-10
-0.39074557168355556,-1.315602398847415e-10
-0.3814911433671111,-7.474258574699219e-11
-0.37223671505066663,-4.239731387112353e-11
-0.36298228673422217,-2.3895703109261968e-11
-0.3506430489789629,-1.138433790115445e-11
-0.3341907319719506,-4.161424816983157e-12
-0.3155412418054321,-1.3950135839155592e-12
-0.3,-5.34772399078207e-13
-0.2844587581945679,-2.4402817336327056e-13
-0.2689175163891358,-1.303235478151187e-13
-0.2533762745837037,-3.5506526271973245e-14
-0.23619404610370373,-9.125069607085847e-14
-0.2218755223703704,-7.218355767996182e-14
-0.20994341925925927,2.1603026674373193e-14
-0.2,-2.804150725746343e-13
-0.19005658074074075,-6.360625151467235e-14
-0.1801131614814815,-1.0644056612775288e-13
-0.17016974222222223,-6.675586486767528e-14
-0.15525461333333335,-1.1426370017502948e-13
-0.13746773333333334,-2.1229789491010032e-13
-0.12264533333333334,-1.568461917736267e-13
-0.11029333333333334,-2.516738481053562e-13
-0.1,-3.0248698767626034e-13
-0.08970666666666667,-1.4083907911707913e-13
-0.07941333333333334,-3.709294940985116e-13
-0.06912,-6.052060651476613e-14
-0.053680000000000005,-8.020232794124753e-14
-0.0364,-1.5764288309327682e-13
-0.022,-5.0250892464880374e-14
-0.01,-1.4309006281107725e-13
