Voltage,K⁺,H⁺,HCO₃⁻,CO₃²⁻,CO₂,OH⁻,CO
-1.2213725009126464,565.1931753391779,9.656919980448545e-8,6.779908997755274e-6,3.2717841147700544e-9,9.438728833191186e-5,1.6950196816048055e-6,0.020192557399673346
-1.2167309383140847,546.3942153437288,9.363870514700756e-8,7.026419513763934e-6,3.4968545982463405e-9,0.00010703935896214808,1.6507296586575482e-6,0.020178983685786345
-1.21286296948195,531.2411408242156,9.129785750882271e-8,7.239554821902211e-6,3.69530168535239e-9,0.00011885639110938582,1.6149817276130696e-6,0.020166320139734198
-1.2096396621218377,518.9582806580744,8.941638349743623e-8,7.422817665657842e-6,3.8685676235065615e-9,0.00012968440121395762,1.58596671941161e-6,0.02015472923565177
-1.2069535726550775,508.9555697619745,8.789601632262627e-8,7.579646692342481e-6,4.018632005744275e-9,0.00013944956005333372,1.5623078239066577e-6,0.020144286876694145
-1.2047151647661107,500.778195001949,8.666176360490175e-8,7.713307457086758e-6,4.147740821933971e-9,0.0001481404039307837,1.542943030457307e-6,0.020135002132551632
-1.2028498248586383,494.07155518172857,8.565579265570394e-8,7.826824966438848e-6,4.2582134482005655e-9,0.0001557904185843016,1.5270434174020188e-6,0.020126836292055666
-1.2012953749357447,488.55642075592533,8.483308068862565e-8,7.922947773044723e-6,4.352313461413534e-9,0.00016246283534343534,1.5139553371839695e-6,0.020119719326337306
-1.2,484.01101909797757,8.415827710004738e-8,8.00413516242562e-6,4.4321685020892965e-9,0.00016823837064357825,1.5031588033259544e-6,0.0201135630534961
-1.1987046250642552,479.51104624299296,8.349325171125946e-8,8.086330596582189e-6,4.513348729901138e-9,0.00017421671666802835,1.492460831578756e-6,0.02010719458334082
-1.1974092501285103,475.05602035419327,8.283797806472272e-8,8.169555039204978e-6,4.595870580296635e-9,0.0001804048436022318,1.4818598994781417e-6,0.020100606925772993
-1.1948185002570209,466.2789087628551,8.155659102617823e-8,8.339178182448408e-6,4.765004551796754e-9,0.00019343947741184004,1.4609430413403658e-6,0.02008674503117718
-1.189637000514042,449.2434334631614,7.910991628547268e-8,8.691772277798594e-6,5.120085803926915e-9,0.00022235919266365789,1.4202062602524821e-6,0.020056059458793234
-1.1792740010280842,417.14759390770706,7.467852095507372e-8,9.45622604217307e-6,5.9009798064816404e-9,0.00029356120602450715,1.3427702404130411e-6,0.01998091857311101
-1.1689110015421262,387.5061726591275,7.086388433885302e-8,1.0313042433297535e-5,6.782145921327647e-9,0.00038703352515759743,1.270032014557289e-6,0.01988314579916921
-1.1585480020561683,360.1202341039904,6.767578412286838e-8,1.1282132476721694e-5,7.769046350907314e-9,0.0005094134347927042,1.2011371625204818e-6,0.019756581117971773
-1.1447306694082244,326.8015431585466,6.44367332676814e-8,1.2793405094086847e-5,9.252747060046136e-9,0.0007323853767443071,1.1137185109994373e-6,0.019529963078460073
-1.1270350199720038,288.89809830694304,6.21054749938361e-8,1.5212883923857875e-5,1.1416012014425836e-8,0.001157485567740569,1.0060318912101594e-6,0.019110781018176346
-1.11228864544182,260.92468914068724,6.190693561536326e-8,1.7787340297992697e-5,1.3391232577576863e-8,0.001680835363963269,9.17197318770382e-7,0.018614819145187866
-1.1,239.83910089356033,6.31326497702101e-8,2.0434979093084522e-5,1.508638053856989e-8,0.0022762341927730395,8.42359561297163e-7,0.018073361054324652
-1.0877113545581802,220.5759666386176,6.582526030899358e-8,2.363751361395041e-5,1.6737562361735485e-8,0.0030558173612486336,7.66182240277145e-7,0.01739501863856091
-1.0754227091163604,202.9664593870911,7.024503111047439e-8,2.7480677458990125e-5,1.8235368183156603e-8,0.004059053739982377,6.886862215934931e-7,0.01656418477661813
-1.0631340636745406,186.858523219029,7.674861576657137e-8,3.2029155314446974e-5,1.9453521941534378e-8,0.0053233200984264635,6.104657273390194e-7,0.015571956582833885
-1.0508454182327207,172.11541232282718,8.582995255809318e-8,3.731106530106916e-5,2.026481803757749e-8,0.006877127207442372,5.326111611130805e-7,0.014419743210221414
-1.038104160388061,158.13934286718765,9.87070290984651e-8,4.353963947349378e-5,2.05636916336921e-8,0.008805335149929431,4.5382312223926417e-7,0.013072333277915942
-1.0274864455175112,147.42390035708252,1.1289320587996909e-7,4.9258638526092015e-5,2.0342034172379234e-8,0.010646770595843572,3.909609932372003e-7,0.011854694452592695
