Voltage,K⁺,H⁺,HCO₃⁻,CO₃²⁻,CO₂,OH⁻,CO
-1.3939844328753717,3.0074244117678535,4.97879201219196e-10,2.7512252505283467e-9,3.611305005736685e-13,1.1331806158171268e-9,7.450264292030716e-9,2.950223049601907e-5
-1.3879688657507434,3.007216472556943,4.977990511053957e-10,3.027233171539007e-9,4.1680035843468427e-13,1.403781703041384e-9,7.485197887584405e-9,3.094680000350687e-5
-1.3759377315014871,3.006771630927079,4.976506864612696e-10,3.662112801491849e-9,5.545492522588776e-13,2.152814448139538e-9,7.557164666140476e-9,3.40369656692037e-5
-1.3639065972522306,3.006285429062134,4.975215672980432e-10,4.425335736935249e-9,7.366338320738778e-13,3.2985222942985156e-9,7.632217696812924e-9,3.741409383714873e-5
-1.3518754630029741,3.005754358805523,4.974173521712312e-10,5.341836214856105e-9,9.768980998079407e-13,5.0493421785748196e-9,7.710746519273119e-9,4.110233396115662e-5
-1.3374203780638525,3.0050516132661254,4.973369494243805e-10,6.6878471524413054e-9,1.368314082479166e-12,8.411526426045179e-9,7.810329466354873e-9,4.5981709826508816e-5
-1.3253744739479179,3.004407263408132,4.973218008857637e-10,8.055766626827287e-9,1.8084969196258547e-12,1.2856617583719409e-8,7.89828907444705e-9,5.045414548746521e-5
-1.3153362205179724,3.0038261295383792,4.973587692302107e-10,9.399609712544369e-9,2.2786921402580486e-12,1.8295925791631493e-8,7.975500639053069e-9,5.4486242545286725e-5
-1.3069710093263511,3.00330908029929,4.974348109521311e-10,1.0683399838957506e-8,2.760069194641151e-12,2.4537020719952372e-8,8.042856752014623e-9,5.80721743527407e-5
-1.3,3.0028541707493153,4.975377056582226e-10,1.1881809670792434e-8,3.2359092149035013e-12,3.132479021907686e-8,8.101266552063805e-9,6.122573305353101e-5
-1.293028990673649,3.0023763425444585,4.976846512903151e-10,1.3210352734179638e-8,3.7914864294654925e-12,3.997699788366566e-8,8.161909121973209e-9,6.453651406941865e-5
-1.2860579813472979,3.001874552253261,4.978849680675154e-10,1.468282886475925e-8,4.439720810181599e-12,5.1001812630033226e-8,8.224943333703354e-9,6.801121560136112e-5
-1.2790869720209468,3.001347715423892,4.98149953109491e-10,1.631452410288378e-8,5.1955360540818734e-12,6.504469280753058e-8,8.290535412761665e-9,7.165667230380924e-5
-1.2721159626945957,3.000794705328201,4.984932852584489e-10,1.8122393378439853e-8,6.0761495916831516e-12,8.292507886270753e-8,8.358857653440531e-9,7.547982462310046e-5
-1.2628212835927943,3.0000146154186536,4.991020179001994e-10,2.08397945060046e-8,7.479140808460852e-12,1.1457103825615066e-7,8.454506128517328e-9,8.086588769502124e-5
-1.2512715905475413,2.9989731473415318,5.001691948409489e-10,2.477692776012181e-8,9.665791394886967e-12,1.7104967934959984e-7,8.581192611951494e-9,8.804119215882178e-5
