Voltage,Current
-1.5,-2.506140209038071
-1.4932890167170314,-2.7936141631898557
-1.4865780334340628,-3.1104936337677604
-1.4731560668681258,-3.851890656385296
-1.4597341003021886,-4.842743966021152
-1.4447654443146336,-6.243593469048364
-1.4322915643250045,-7.608891751110301
-1.4218966643336468,-8.917577869877409
-1.4132342476741822,-10.144934961618272
-1.4060155671246282,-11.268230136209116
-1.4,-12.277415684055528
-1.3939844328753717,-13.35438833617595
-1.3879688657507434,-14.49943104481781
-1.3759377315014871,-16.98949122186217
-1.3639065972522306,-19.726090990265583
-1.3518754630029741,-22.662312727984414
-1.3374203780638525,-26.340041285045732
-1.3253744739479179,-29.388302553030524
-1.3153362205179724,-31.793777691366078
-1.3069710093263511,-33.61975282243835
-1.3,-34.964286280695426
-1.293028990673649,-36.10533888006344
-1.2860579813472979,-37.00569866952265
-1.2790869720209468,-37.63325582373161
-1.2721159626945957,-37.96350668934128
-1.2628212835927943,-37.9174514483291
-1.2512715905475413,-37.086616169028304
-1.2416468463431638,-35.78667344774229
-1.2336262261728492,-34.340189777432855
-1.2269423760309204,-32.927013145401276
-1.2213725009126464,-31.63357775483439
-1.2167309383140847,-30.492233372738582
-1.21286296948195,-29.50670856249098
-1.2096396621218377,-28.66698069062539
-1.2069535726550775,-27.95741743035565
-1.2047151647661107,-27.3609990185421
-1.2028498248586383,-26.86136764492528
-1.2012953749357447,-26.44371406638134
-1.2,-26.09506335371822
-1.1987046250642552,-25.746088533613555
-1.1974092501285103,-25.396996204433755
-1.1948185002570209,-24.699255843545515
-1.189637000514042,-23.310791957525833
-1.1792740010280842,-20.598704125926037
-1.1689110015421262,-18.028976026654234
-1.1585480020561683,-15.648586752356014
-1.1447306694082244,-12.81374789829003
-1.1270350199720038,-9.77322195437592
-1.11228864544182,-7.720975813578045
-1.1,-6.309391292671955
-1.0877113545581802,-5.134777805140773
-1.0754227091163604,-4.1644022777248
-1.0631340636745406,-3.367422932154084
-1.0508454182327207,-2.715996623731311
-1.038104160388061,-2.168193767651249
-1.0274864455175112,-1.7942090609289592
-1.018638349792053,-1.5308082172448676
-1.0112649366875046,-1.3402607891417804
-1.0051204257670476,-1.1992408578700333
-1.0,-1.0928444778359772
-0.9948795742329525,-0.9956672390055183
-0.989759148465905,-0.9069414446622502
-0.9846387226988574,-0.8259587826751545
-0.9769580840482862,-0.7175892553572959
-0.9654371260724294,-0.5806833186049342
-0.9481556891086441,-0.42209251447812757
-0.9291050868239058,-0.2964351812947862
-0.9132295849199572,-0.2205366573438551
-0.9,-0.17221641276252062
-0.8867704150800428,-0.13437840347742705
-0.8735408301600855,-0.10476498503776183
-0.8603112452401283,-0.08159672091851218
-0.8451979635867095,-0.061235334731075154
-0.8326035622088606,-0.04812402929160058
-0.8221082277273197,-0.0393036260546609
-0.8133621156593691,-0.03314870537110239
-0.8060736889360769,-0.028720814423575828
-0.8,-0.02545369234193858
-0.7939263110639232,-0.022525950988977826
-0.7878526221278462,-0.01990020289687731
-0.7817789331917693,-0.017543174101932648
-0.7757052442556923,-0.015425354092613273
-0.7676069923409231,-0.012929161547358053
-0.7568093231212308,-0.010100976468751768
-0.744471785716187,-0.007454717980372799
-0.7341905045453171,-0.0056526026997330385
-0.7256227702362589,-0.00439731198858419
-0.718482991645377,-0.0035084672236419877
-0.7125331761529754,-0.0028702235105685842
-0.7075749965759741,-0.00240567608263819
-0.7034431802618064,-0.0020629087520893773
-0.7,-0.0018065380480036478
-0.6965568197381935,-0.0015754294829250354
-0.693113639476387,-0.001368218508231997
-0.6862272789527742,-0.0010196029845443901
-0.6793409184291613,-0.0007483289492387032
-0.6690113776437421,-0.000458636084983138
-0.6586818368583227,-0.00027388035887037146
-0.644909115811097,-0.00013350626105858673
-0.6271428721935202,-5.096035414332347e-5
-0.6123376691788728,-2.2394588759422186e-5
-0.6,-1.1191415164532283e-5
-0.5876623308211272,-5.564275304316424e-6
-0.5753246616422544,-2.75672399431084e-6
-0.5629869924633816,-1.362316559450205e-6
-0.5506493232845088,-6.719612261705498e-7
-0.5343449211541751,-2.6349142990051845e-7
-0.520757919378897,-1.2058096120207996e-7
-0.5094354178994986,-6.28019062712158e-8
-0.5,-3.644454231745959e-8
-0.49056458210050136,-2.1138640985859747e-8
-0.4811291642010027,-1.2255112252287275e-8
-0.47169374630150407,-7.101709203291133e-9
-0.4622583284020054,-4.113468009913007e-9
-0.44967777120267394,-1.9848482933861394e-9
-0.4336861190718579,-7.851683977239175e-10
-0.42035974229617784,-3.621809523337714e-10
-0.4092544283164445,-1.8999160401265287e-10
-0.4,-1.1097405985766548e-10
-0.39074557168355556,-6.473917534300686e-11
-0.3814911433671111,-3.7858575035547496e-11
-0.37223671505066663,-2.2040781748069796e-11
-0.36298228673422217,-1.2895759461904614e-11
-0.3506430489789629,-6.3468491296637506e-12
-0.3341907319719506,-2.353157794444546e-12
-0.3155412418054321,-8.716720861128053e-13
-0.3,-3.660076221593862e-13
-0.2844587581945679,-1.4922547785803008e-13
-0.2689175163891358,-5.1476287475932833e-14
-0.2533762745837037,-3.4358727307456373e-14
-0.23619404610370373,1.78748249548393e-15
-0.2218755223703704,3.48036924485698e-15
-0.20994341925925927,7.483239819265872e-15
-0.2,-1.3344365112625325e-16
-0.19005658074074075,1.2597116581176565e-14
-0.1801131614814815,-1.6357162808365585e-14
-0.17016974222222223,-1.477086337722167e-14
-0.15525461333333335,-1.3464919320176883e-14
-0.13746773333333334,-2.204011049936896e-14
-0.12264533333333334,-2.483460571499972e-14
-0.11029333333333334,1.005342080656878e-13
-0.1,8.532811646448035e-15
-0.08970666666666667,-3.991577346756761e-14
-0.07941333333333334,3.148715481546486e-14
-0.06912,4.2578201768305325e-14
-0.053680000000000005,5.067796003496206e-14
-0.0364,7.330342286583385e-15
-0.022,3.6163648461894304e-14
-0.01,7.044839116133989e-15
