Voltage,Current
-0.0012000000000000899,8.464055726395432e-15
-0.0025199999999998557,-1.083636034815771e-14
-0.003972000000000309,-1.2237255373413272e-15
-0.005569200000000052,-2.7608452179975594e-15
-0.0073261199999997695,-9.422406015719097e-16
-0.009258731999999936,-7.659426215814645e-15
-0.011384605199999953,-5.632134770694172e-15
-0.013723065720000038,-1.561325658054893e-14
-0.016295372292000065,2.757636156873547e-15
-0.01912490952120005,1.2610223359440218e-14
-0.022237400473320124,8.121553155986044e-15
-0.025661140520652048,-1.830993638231456e-14
-0.02942725457271711,-2.1052166190166313e-14
-0.0335699800299889,6.875489692876017e-16
-0.038126978032988035,-9.125863206965924e-15
-0.04313967583628653,-2.696738431533823e-14
-0.04865364341991518,-1.2251920652869924e-15
-0.05471900776190708,2.182589430315898e-16
-0.06139090853809748,2.4044629183993838e-15
-0.06872999939190727,1.8858563786543576e-15
-0.07680299933109824,1.7741437689572873e-14
-0.08568329926420759,-2.1037244388647012e-14
-0.09545162919062877,-1.1471047293550287e-14
-0.10619679210969157,8.667075834724539e-15
-0.11801647132066084,3.61565043528858e-15
-0.13001647132066052,6.300428606713798e-15
-0.14201647132066064,-5.2890589237361646e-15
-0.15401647132066076,7.938909209296877e-15
-0.16601647132066044,1.469844742546791e-14
-0.17801647132066056,1.1937286768438887e-14
-0.19001647132066068,3.265575613165052e-15
-0.2020164713206607,2.5685972875431904e-14
-0.21401647132066093,1.6293614708992243e-14
-0.22601647132066072,8.582151761395798e-15
-0.23801647132066073,-1.7584945490372518e-16
-0.25001647132066074,-1.4019440283875907e-14
-0.2620164713206605,1.0038349618592663e-15
-0.27401647132066076,1.3166796109178146e-14
-0.28601647132066077,-2.038980422303631e-14
-0.2980164713206608,-4.640700882060576e-14
-0.310016471320661,-8.957289863324435e-14
-0.3220164713206608,-1.9185568641947837e-13
-0.3340164713206608,-3.8133403826269764e-13
-0.3460164713206608,-7.917709342702129e-13
-0.3580164713206606,-1.6552287621396604e-12
-0.37001647132066084,-3.485406030625049e-12
-0.38201647132066086,-7.26975538244573e-12
-0.39401647132066087,-1.516652992479789e-11
-0.4060164713206611,-3.173571016225297e-11
-0.4180164713206609,-6.640879751733035e-11
-0.43001647132066134,-1.3895237794826702e-10
-0.44201647132066113,-2.908540260660893e-10
-0.4540164713206607,-6.091713398289664e-10
-0.46601647132066115,-1.276135593304367e-9
-0.47801647132066094,-2.674266954739128e-9
-0.49001647132066073,-5.605826272281644e-9
-0.5020164713206612,-1.1753729239166802e-8
-0.514016471320661,-2.464875509258774e-8
-0.5260164713206608,-5.169738684019055e-8
-0.5380164713206612,-1.0843115550406094e-7
-0.5500164713206608,-2.2740042569686734e-7
-0.5620164713206606,-4.767484351135425e-7
-0.574016471320661,-9.988755262739656e-7
-0.5860164713206615,-2.090497706005659e-6
-0.5980164713206613,-4.3670455557584655e-6
-0.6100164713206611,-9.095878113709843e-6
-0.6220164713206615,-1.8857997170209444e-5
-0.6340164713206613,-3.882069638515787e-5
-0.6460164713206609,-7.90651812507431e-5
-0.6580164713206613,-0.00015851899186138875
-0.6700164713206611,-0.0003108076195377258
-0.6820164713206609,-0.0005913019968637747
-0.6940164713206614,-0.001082790413322548
-0.7060164713206611,-0.0018963662671627139
-0.7180164713206609,-0.0031675297895724652
-0.7300164713206614,-0.005054270809526289
-0.742016471320661,-0.007746113526571919
-0.7540164713206607,-0.011486865729593197
-0.7660164713206612,-0.016607085269891395
-0.7780164713206617,-0.02356223648415568
-0.7900164713206614,-0.03297645816842147
-0.8020164713206612,-0.04569470186829458
-0.814016471320661,-0.06284644492570236
-0.8260164713206606,-0.08592326715646154
-0.838016471320661,-0.11687099225905051
-0.8500164713206608,-0.1581938368023352
-0.8620164713206606,-0.21305973871541634
-0.8740164713206611,-0.28537966025093103
-0.8860164713206609,-0.37981382007410436
-0.8980164713206606,-0.5016483500059433
-0.9100164713206602,-0.6564984491063258
-0.92201647132066,-0.8498321732008928
-0.9340164713206605,-1.0863687764181076
-0.9460164713206602,-1.3694677979901502
-0.95801647132066,-1.7006539017640918
-0.9700164713206605,-2.0793899886068643
-0.9820164713206603,-2.5031273503809963
-0.9940164713206598,-2.96757211160278
-1.0060164713206596,-3.467056590348927
-1.0180164713206594,-3.994904824274589
-1.0300164713206599,-4.543714787783429
-1.0420164713206597,-5.1055190336521274
-1.0540164713206595,-5.671813482649659
-1.06601647132066,-6.233456399649062
-1.0780164713206595,-6.780439191819045
-1.0900164713206593,-7.301522620936115
-1.102016471320659,-7.783721655606195
-1.1140164713206588,-8.21161756235099
-1.1260164713206593,-8.566496980721727
-1.138016471320659,-8.825421666124951
-1.1500164713206587,-8.96067406716791
-1.162016471320659,-8.940958530389992
-1.174016471320659,-8.737716988234558
-1.1860164713206587,-8.341686724889893
-1.1980164713206585,-7.787773969967792
-1.1899835286793419,-6.755330803020114
-1.1779835286793414,-5.954470559621912
-1.1659835286793416,-5.339342091365467
-1.1539835286793418,-4.824562292751896
-1.1419835286793414,-4.372213881668144
-1.1299835286793416,-3.961689046339163
-1.117983528679342,-3.5807388758771306
-1.1059835286793422,-3.221955215840896
-1.0939835286793425,-2.8811013944939763
-1.081983528679342,-2.5561792634667184
-1.0699835286793422,-2.2468151227152653
-1.0579835286793424,-1.9537880660416818
-1.045983528679342,-1.6786214607259549
-1.0339835286793422,-1.4232037754528424
-1.0219835286793426,-1.1894314288792571
-1.0099835286793428,-0.9788857080945551
-0.997983528679343,-0.7925701395756566
-0.9859835286793426,-0.6307404761402933
-0.9739835286793429,-0.49285207507304407
-0.9619835286793431,-0.3776283805394678
-0.9499835286793427,-0.2832261580131578
-0.937983528679343,-0.20744966607487583
-0.9259835286793432,-0.14795735013918998
-0.9139835286793434,-0.10241497867890044
-0.9019835286793436,-0.06857603010570854
-0.8899835286793432,-0.04430530203464894
-0.8779835286793435,-0.027588819455154436
-0.8659835286793438,-0.016571351033217756
-0.8539835286793434,-0.009627513992336023
-0.8419835286793436,-0.0054324658352126335
-0.8299835286793438,-0.00299136293712627
-0.817983528679344,-0.0016147596105766657
-0.8059835286793443,-0.0008576213936747935
-0.7939835286793439,-0.0004490551091623006
-0.7819835286793434,-0.00023160841866704494
-0.7699835286793437,-0.00011692014211834457
-0.7579835286793439,-5.667573168951264e-5
-0.7459835286793435,-2.4952654874059695e-5
-0.733983528679343,-8.029092383302248e-6
-0.7219835286793432,1.2909066258393728e-6
-0.7099835286793434,6.7586738814625585e-6
-0.6979835286793431,1.0324578021365397e-5
-0.6859835286793426,1.3003939403556314e-5
-0.6739835286793429,1.532923231940336e-5
-0.6619835286793431,1.758475157464353e-5
-0.6499835286793426,1.9927838871480747e-5
-0.6379835286793422,2.2451242712329993e-5
-0.6259835286793425,2.52150573259265e-5
-0.6139835286793427,2.826291752557995e-5
-0.6019835286793422,3.1630038796654535e-5
-0.5899835286793418,3.5346940590029966e-5
-0.577983528679342,3.944084494270989e-5
-0.5659835286793423,4.3935700843444984e-5
-0.5539835286793419,4.885129319736822e-5
-0.5419835286793414,5.4201632109991254e-5
-0.5299835286793416,5.9992650460847685e-5
-0.5179835286793419,6.621918612467285e-5
-0.5059835286793415,7.286115041686744e-5
-0.49398352867934103,7.987880278655455e-5
-0.48198352867934124,8.72070380553729e-5
