Pressure,Voltage,Value
0.1,-0.0012000000000000899,-5.7958094676633655e-15
0.1,-0.0025199999999998557,-1.463084623080146e-13
0.1,-0.003972000000000309,1.0248541945208399e-13
0.1,-0.005569200000000052,-1.0468384110046467e-13
0.1,-0.0073261199999997695,-9.676148983842493e-15
0.1,-0.009258731999999936,9.588236066411941e-14
0.1,-0.011384605199999953,-2.0901184110995037e-13
0.1,-0.013723065720000038,6.950253441216144e-14
0.1,-0.016295372292000065,4.604058165630514e-14
0.1,-0.01912490952120005,4.111965547876729e-14
0.1,-0.022237400473320124,-2.712342078172201e-14
0.1,-0.025661140520652048,2.0461001905263663e-14
0.1,-0.02942725457271711,4.2088705237993693e-14
0.1,-0.0335699800299889,-1.5385138574956846e-14
0.1,-0.038126978032988035,-1.8264102585466963e-14
0.1,-0.04313967583628653,9.546682432825915e-14
0.1,-0.04865364341991518,-1.3085089689061817e-14
0.1,-0.05471900776190708,-1.147224495427924e-14
0.1,-0.06139090853809748,-7.29316277825476e-14
0.1,-0.06872999939190727,-2.05016587162739e-13
0.1,-0.07680299933109824,3.886100425797335e-14
0.1,-0.08568329926420759,-6.024828690338916e-14
0.1,-0.09545162919062877,-9.272538664207184e-14
0.1,-0.10619679210969157,4.439203719949134e-14
0.1,-0.11801647132066084,2.651449053258602e-14
0.1,-0.13001647132066052,2.3272384801993686e-13
0.1,-0.14201647132066064,-3.636726575551622e-15
0.1,-0.15401647132066076,-1.5265515394538397e-13
0.1,-0.16601647132066044,-6.42902140753313e-14
0.1,-0.17801647132066056,-8.615097508373986e-14
0.1,-0.19001647132066068,1.4665774240670093e-13
0.1,-0.2020164713206607,7.178203621562201e-14
0.1,-0.21401647132066093,-1.2320666216297752e-13
0.1,-0.22601647132066072,-3.931046843703275e-14
0.1,-0.23801647132066073,1.4562670397647848e-13
0.1,-0.25001647132066074,1.2585269067545322e-13
0.1,-0.2620164713206605,1.3623519467276959e-13
0.1,-0.27401647132066076,5.529294084061805e-14
0.1,-0.28601647132066077,-3.6949460239689876e-14
0.1,-0.2980164713206608,3.596024000668463e-14
0.1,-0.310016471320661,-5.3050539467401206e-14
0.1,-0.3220164713206608,-4.436755449661615e-14
0.1,-0.3340164713206608,1.5086622288419388e-13
0.1,-0.3460164713206608,1.291596031265451e-13
0.1,-0.3580164713206606,1.566324305278169e-13
0.1,-0.37001647132066084,5.459298286607271e-14
0.1,-0.38201647132066086,9.370404136878179e-14
0.1,-0.39401647132066087,-2.68477481818441e-13
0.1,-0.4060164713206611,-3.4389374786179457e-13
0.1,-0.4180164713206609,-6.962643427096934e-13
0.1,-0.43001647132066134,-1.5651019271152102e-12
0.1,-0.44201647132066113,-3.12379767972726e-12
0.1,-0.4540164713206607,-6.563188492979366e-12
0.1,-0.46601647132066115,-1.3925271361589702e-11
0.1,-0.47801647132066094,-2.9161784684719815e-11
0.1,-0.49001647132066073,-6.092016618326184e-11
0.1,-0.5020164713206612,-1.2795401567194094e-10
0.1,-0.514016471320661,-2.68304710031509e-10
0.1,-0.5260164713206608,-5.629538436193002e-10
0.1,-0.5380164713206612,-1.1810315570348581e-9
0.1,-0.5500164713206608,-2.4793749696156326e-9
0.1,-0.5620164713206606,-5.205059369026313e-9
0.1,-0.574016471320661,-1.0928452431203748e-8
0.1,-0.5860164713206615,-2.29468200595401e-8
0.1,-0.5980164713206613,-4.818057915389647e-8
0.1,-0.6100164713206611,-1.0114654108957697e-7
0.1,-0.6220164713206615,-2.1226330360082454e-7
0.1,-0.6340164713206613,-4.4516068996376934e-7
0.1,-0.6460164713206609,-9.325781946597947e-7
0.1,-0.6580164713206613,-1.950244971746289e-6
0.1,-0.6700164713206611,-4.067137760486706e-6
0.1,-0.6820164713206609,-8.445504312425907e-6
0.1,-0.6940164713206614,-1.7423107270805532e-5
