Pressure,Voltage,Value
0.1,-0.0012000000000000899,-3.346383811410535e-14
0.1,-0.0025199999999998557,8.065646431026919e-14
0.1,-0.003972000000000309,-5.905710440345981e-14
0.1,-0.005569200000000052,-1.1890807316450348e-13
0.1,-0.0073261199999997695,-1.4095758505512713e-13
0.1,-0.009258731999999936,-7.77574772518749e-14
0.1,-0.011384605199999953,-4.147148735424279e-14
0.1,-0.013723065720000038,-8.270049045930741e-15
0.1,-0.016295372292000065,-5.272314454705186e-14
0.1,-0.01912490952120005,6.54252688802732e-14
0.1,-0.022237400473320124,5.887467353671458e-14
0.1,-0.025661140520652048,-6.556107691162095e-14
0.1,-0.02942725457271711,2.2594059436205717e-13
0.1,-0.0335699800299889,-1.890991439747527e-13
0.1,-0.038126978032988035,-6.899378032077409e-15
0.1,-0.04313967583628653,1.0974255983032141e-13
0.1,-0.04865364341991518,8.753769294691695e-14
0.1,-0.05471900776190708,3.70637719881465e-14
0.1,-0.06139090853809748,-2.5951205142370552e-14
0.1,-0.06872999939190727,-6.077964995727086e-14
0.1,-0.07680299933109824,6.180506733246094e-14
0.1,-0.08568329926420759,9.035768695954386e-16
0.1,-0.09545162919062877,1.291660393813442e-13
0.1,-0.10619679210969157,1.7273205268946566e-13
0.1,-0.11801647132066084,-1.636343359681019e-13
0.1,-0.13001647132066052,1.3811446357434069e-13
0.1,-0.14201647132066064,2.1729949517436029e-13
0.1,-0.15401647132066076,8.97141533504619e-14
0.1,-0.16601647132066044,-7.63668139546078e-15
0.1,-0.17801647132066056,4.084626093618928e-14
0.1,-0.19001647132066068,-1.2150791065043138e-13
0.1,-0.2020164713206607,5.710585504628822e-14
0.1,-0.21401647132066093,-6.271365954239464e-14
0.1,-0.22601647132066072,1.942558197826986e-14
0.1,-0.23801647132066073,-4.27903894110891e-14
0.1,-0.25001647132066074,1.682374031401653e-13
0.1,-0.2620164713206605,5.307511321152906e-14
0.1,-0.27401647132066076,-8.056178778592907e-14
0.1,-0.28601647132066077,6.055727425494845e-14
0.1,-0.2980164713206608,-1.0703629918339093e-13
0.1,-0.310016471320661,-1.1649242729818494e-13
0.1,-0.3220164713206608,-3.0178563698724735e-15
0.1,-0.3340164713206608,-1.0916236035738682e-14
0.1,-0.3460164713206608,-1.0783621884974444e-13
0.1,-0.3580164713206606,6.177723016024478e-14
0.1,-0.37001647132066084,-2.2225065368415065e-14
0.1,-0.38201647132066086,-2.790033526090398e-13
0.1,-0.39401647132066087,-5.808656744842619e-14
0.1,-0.4060164713206611,-3.7906341138591126e-13
0.1,-0.4180164713206609,-9.009292700865505e-13
0.1,-0.43001647132066134,-1.6773483655221631e-12
0.1,-0.44201647132066113,-3.324997851511424e-12
0.1,-0.4540164713206607,-7.158572774189331e-12
0.1,-0.46601647132066115,-1.485800211732197e-11
0.1,-0.47801647132066094,-3.0683977863013275e-11
0.1,-0.49001647132066073,-6.486337356518976e-11
0.1,-0.5020164713206612,-1.3615271474939202e-10
0.1,-0.514016471320661,-2.8563436861313125e-10
0.1,-0.5260164713206608,-5.99244101863733e-10
0.1,-0.5380164713206612,-1.257803747354727e-9
0.1,-0.5500164713206608,-2.6400625865590422e-9
0.1,-0.5620164713206606,-5.542262832007578e-9
0.1,-0.574016471320661,-1.1636819408487664e-8
0.1,-0.5860164713206615,-2.4434084972908547e-8
0.1,-0.5980164713206613,-5.130265348963678e-8
0.1,-0.6100164713206611,-1.0770035634794828e-7
0.1,-0.6220164713206615,-2.2601559258452744e-7
0.1,-0.6340164713206613,-4.739991718069448e-7
0.1,-0.6460164713206609,-9.929864107373707e-7
0.1,-0.6580164713206613,-2.0765604980379744e-6
0.1,-0.6700164713206611,-4.33053770900449e-6
0.1,-0.6820164713206609,-8.992406562464341e-6
0.1,-0.6940164713206614,-1.8551239762266233e-5
0.1,-0.7060164713206611,-3.7898832499538505e-5
0.1,-0.7180164713206609,-7.632608411104456e-5
0.1,-0.7300164713206614,-0.00015063434881342462
0.1,-0.742016471320661,-0.0002892199509872792
0.1,-0.7540164713206607,-0.0005360490740533683
0.1,-0.7660164713206612,-0.0009525391865159794
0.1,-0.7780164713206617,-0.0016162146080653816
0.1,-0.7900164713206614,-0.0026185345888907834
0.1,-0.8020164713206612,-0.004067403429272528
0.1,-0.814016471320661,-0.006098161150519939
0.1,-0.8260164713206606,-0.00889205168207333
0.1,-0.838016471320661,-0.012699094726960554
0.1,-0.8500164713206608,-0.017864088164065102
0.1,-0.8620164713206606,-0.02485677710506388
0.1,-0.8740164713206611,-0.03430780328763962
0.1,-0.8860164713206609,-0.047050901882883966
0.1,-0.8980164713206606,-0.06416930356919322
0.1,-0.9100164713206602,-0.08704016716622949
0.1,-0.92201647132066,-0.11736445933140059
0.1,-0.9340164713206605,-0.1571607176789916
0.1,-0.9460164713206602,-0.2086908325973206
0.1,-0.95801647132066,-0.27427868403667405
0.1,-0.9700164713206605,-0.3559863457883899
0.1,-0.9820164713206603,-0.45513723930570005
0.1,-0.9940164713206598,-0.571724536838568
0.1,-1.0060164713206596,-0.7038040120935052
0.1,-1.0180164713206594,-0.8470154723146597
0.1,-1.0300164713206599,-0.9943818818046589
0.1,-1.0420164713206597,-1.136507653649147
0.1,-1.0540164713206595,-1.2622778248464996
0.1,-1.06601647132066,-1.3601767681242531
0.1,-1.0780164713206595,-1.4203392851852437
0.1,-1.0900164713206593,-1.4372132906892605
0.1,-1.102016471320659,-1.4120200148003532
0.1,-1.1140164713206588,-1.353343228521006
0.1,-1.1260164713206593,-1.2745110183739945
0.1,-1.138016471320659,-1.188823769280408
0.1,-1.1500164713206587,-1.1057748482580372
0.1,-1.162016471320659,-1.030203049140698
0.1,-1.174016471320659,-0.9635428143518118
0.1,-1.1860164713206587,-0.9054411668891582
0.1,-1.1980164713206585,-0.8548648717441636
0.1,-1.1899835286793419,-0.7968950585115894
0.1,-1.1779835286793414,-0.748619586483371
0.1,-1.1659835286793416,-0.7064875341632905
0.1,-1.1539835286793418,-0.6671642693080184
0.1,-1.1419835286793414,-0.6290459006271464
0.1,-1.1299835286793416,-0.5910091131529347
0.1,-1.117983528679342,-0.5522061885599893
0.1,-1.1059835286793422,-0.5120431817845831
0.1,-1.0939835286793425,-0.47021960435960725
0.1,-1.081983528679342,-0.426779927943476
0.1,-1.0699835286793422,-0.3821389665955105
0.1,-1.0579835286793424,-0.3370526851078141
0.1,-1.045983528679342,-0.2925244280636815
0.1,-1.0339835286793422,-0.2496605182607358
0.1,-1.0219835286793426,-0.20950842512918127
0.1,-1.0099835286793428,-0.17291646407772499
0.1,-0.997983528679343,-0.14044469767639775
0.1,-0.9859835286793426,-0.11233824012022194
0.1,-0.9739835286793429,-0.08855552866185488
0.1,-0.9619835286793431,-0.06883234432157499
0.1,-0.9499835286793427,-0.05275966745102894
0.1,-0.937983528679343,-0.03985772337230367
0.1,-0.9259835286793432,-0.029635797086899465
0.1,-0.9139835286793434,-0.021634075613782233
0.1,-0.9019835286793436,-0.015448077803029784
0.1,-0.8899835286793432,-0.010737983517774006
0.1,-0.8779835286793435,-0.007225453408466762
0.1,-0.8659835286793438,-0.0046811420690684655
0.1,-0.8539835286793434,-0.002908313316679862
0.1,-0.8419835286793436,-0.0017302598914429954
0.1,-0.8299835286793438,-0.0009874013403600903
0.1,-0.817983528679344,-0.0005428649365683521
0.1,-0.8059835286793443,-0.0002892520891099411
0.1,-0.7939835286793439,-0.00015027360699884453
0.1,-0.7819835286793434,-7.649955177229073e-5
0.1,-0.7699835286793437,-3.825684135339897e-5
0.1,-0.7579835286793439,-1.8756762947142137e-5
0.1,-0.7459835286793435,-8.908315248571061e-6
0.1,-0.733983528679343,-3.941400263070387e-6
0.1,-0.7219835286793432,-1.4075436448504507e-6
0.1,-0.7099835286793434,-6.827885697225656e-8
0.1,-0.6979835286793431,6.974774670254325e-7
0.1,-0.6859835286793426,1.2005668745131466e-6
0.1,-0.6739835286793429,1.597799716672116e-6
0.1,-0.6619835286793431,1.970416605976636e-6
0.1,-0.6499835286793426,2.3632363245584392e-6
0.1,-0.6379835286793422,2.804138678840378e-6
0.1,-0.6259835286793425,3.3138310289706327e-6
0.1,-0.6139835286793427,3.910855877500047e-6
0.1,-0.6019835286793422,4.614303269736621e-6
0.1,-0.5899835286793418,5.445439157949795e-6
0.1,-0.577983528679342,6.428881051411424e-6
0.1,-0.5659835286793423,7.5936159089008e-6
0.1,-0.5539835286793419,8.974033961541625e-6
0.1,-0.5419835286793414,1.0611080729630018e-5
0.1,-0.5299835286793416,1.2553597106933017e-5
0.1,-0.5179835286793419,1.485990657147218e-5
0.1,-0.5059835286793415,1.759971786547296e-5
0.1,-0.49398352867934103,2.0856412449043006e-5
0.1,-0.48198352867934124,2.472979787285777e-5
0.1,-0.46998352867934146,2.9339430302540573e-5
0.1,-0.457983528679341,3.4828629932934394e-5
0.1,-0.44598352867934055,4.1369335238679396e-5
0.1,-0.43398352867934087,4.916796707815454e-5
0.1,-0.4219835286793411,5.8472544524898965e-5
0.1,-0.4099835286793406,6.958129945750092e-5
0.1,-0.39798352867934017,8.285313782866863e-5
