Pressure,Voltage,Value
0.1,-0.0012000000000000899,2.6575515950745388e-14
0.1,-0.0025199999999998557,-3.2547783944734026e-14
0.1,-0.003972000000000309,-6.573248178803613e-14
0.1,-0.005569200000000052,1.4969091745930673e-14
0.1,-0.0073261199999997695,3.938732536053e-15
0.1,-0.009258731999999936,8.368808118032358e-15
0.1,-0.011384605199999953,3.277664803290946e-15
0.1,-0.013723065720000038,2.8941549493760056e-14
0.1,-0.016295372292000065,3.305517546966564e-14
0.1,-0.01912490952120005,-2.1083431514377597e-14
0.1,-0.022237400473320124,5.509732775001398e-15
0.1,-0.025661140520652048,-7.14934442989212e-15
0.1,-0.02942725457271711,1.9892470841843474e-14
0.1,-0.0335699800299889,2.962570164963188e-14
0.1,-0.038126978032988035,-2.104307323413044e-14
0.1,-0.04313967583628653,7.665362890785073e-15
0.1,-0.04865364341991518,3.34357558819726e-14
0.1,-0.05471900776190708,5.786449214723756e-15
0.1,-0.06139090853809748,-1.3726992933683429e-14
0.1,-0.06872999939190727,-7.761691353076023e-15
0.1,-0.07680299933109824,-1.0965337203750006e-14
0.1,-0.08568329926420759,6.145621735667969e-15
0.1,-0.09545162919062877,4.3395834976262654e-14
0.1,-0.10619679210969157,2.264184891200466e-14
0.1,-0.11801647132066084,1.372262560181831e-16
0.1,-0.13001647132066052,-9.625288427408157e-15
0.1,-0.14201647132066064,6.604928658856536e-15
0.1,-0.15401647132066076,-5.126034606480285e-15
0.1,-0.16601647132066044,-2.9323082418009236e-14
0.1,-0.17801647132066056,2.7840048845876776e-14
0.1,-0.19001647132066068,5.333776788163284e-15
0.1,-0.2020164713206607,3.015837157704685e-16
0.1,-0.21401647132066093,-5.7061154348988465e-15
0.1,-0.22601647132066072,-1.8112932484008e-14
0.1,-0.23801647132066073,8.65335787291998e-15
0.1,-0.25001647132066074,1.6395079587446428e-14
0.1,-0.2620164713206605,-9.990204670225582e-15
0.1,-0.27401647132066076,5.259903915632422e-16
0.1,-0.28601647132066077,-1.9497287987868516e-14
0.1,-0.2980164713206608,-2.851114590619987e-14
0.1,-0.310016471320661,1.0496928735968837e-15
0.1,-0.3220164713206608,-1.1031714276778273e-14
0.1,-0.3340164713206608,-2.1601467703468528e-14
0.1,-0.3460164713206608,-2.040252332041257e-14
0.1,-0.3580164713206606,5.207196865504052e-15
0.1,-0.37001647132066084,-1.8854896210532548e-14
0.1,-0.38201647132066086,-9.712772765588627e-14
0.1,-0.39401647132066087,-2.2014326291495772e-13
0.1,-0.4060164713206611,-4.271744207755437e-13
0.1,-0.4180164713206609,-8.296431808186315e-13
0.1,-0.43001647132066134,-1.8363120866972017e-12
0.1,-0.44201647132066113,-3.868668859058095e-12
0.1,-0.4540164713206607,-8.098647449354766e-12
0.1,-0.46601647132066115,-1.693458469754536e-11
0.1,-0.47801647132066094,-3.545311150795664e-11
0.1,-0.49001647132066073,-7.435572936737956e-11
0.1,-0.5020164713206612,-1.559169658797425e-10
0.1,-0.514016471320661,-3.270583830787995e-10
0.1,-0.5260164713206608,-6.861648919097784e-10
0.1,-0.5380164713206612,-1.439944041823821e-9
0.1,-0.5500164713206608,-3.0224202141424836e-9
0.1,-0.5620164713206606,-6.34488666216802e-9
0.1,-0.574016471320661,-1.3321081132027631e-8
0.1,-0.5860164713206615,-2.7968145318343452e-8
0.1,-0.5980164713206613,-5.871577873835843e-8
0.1,-0.6100164713206611,-1.2323747025043028e-7
0.1,-0.6220164713206615,-2.585388805339014e-7
0.1,-0.6340164713206613,-5.41938731537478e-7
0.1,-0.6460164713206609,-1.1344424726472725e-6
0.1,-0.6580164713206613,-2.369569439685332e-6
0.1,-0.6700164713206611,-4.932634491570634e-6
0.1,-0.6820164713206609,-1.0214514132302083e-5
0.1,-0.6940164713206614,-2.0985746795007334e-5
0.1,-0.7060164713206611,-4.261338834894989e-5
0.1,-0.7180164713206609,-8.508047501701862e-5
0.1,-0.7300164713206614,-0.00016592128783562816
0.1,-0.742016471320661,-0.0003136499816607909
0.1,-0.7540164713206607,-0.0005703976093508458
0.1,-0.7660164713206612,-0.0009922079063804012
0.1,-0.7780164713206617,-0.0016472144494194354
0.1,-0.7900164713206614,-0.0026151473513870717
0.1,-0.8020164713206612,-0.003992580577516287
0.1,-0.814016471320661,-0.005905267860378502
0.1,-0.8260164713206606,-0.008525646996969529
0.1,-0.838016471320661,-0.012093712925134698
0.1,-0.8500164713206608,-0.016941690822835895
0.1,-0.8620164713206606,-0.023524618063960327
0.1,-0.8740164713206611,-0.0324593346172407
0.1,-0.8860164713206609,-0.04457392768327265
0.1,-0.8980164713206606,-0.06096855348165199
0.1,-0.9100164713206602,-0.08308625156669455
0.1,-0.92201647132066,-0.11278768612430573
0.1,-0.9340164713206605,-0.15241485034883226
0.1,-0.9460164713206602,-0.20481335624914793
0.1,-0.95801647132066,-0.27325921754683974
0.1,-0.9700164713206605,-0.36120548160500643
0.1,-0.9820164713206603,-0.47173726295461527
0.1,-0.9940164713206598,-0.6066295945601272
0.1,-1.0060164713206596,-0.764995068589834
0.1,-1.0180164713206594,-0.941751626045919
0.1,-1.0300164713206599,-1.1265403981084983
0.1,-1.0420164713206597,-1.3040957181488242
0.1,-1.0540164713206595,-1.4569618978697105
0.1,-1.06601647132066,-1.5703880792666365
0.1,-1.0780164713206595,-1.6374369226312837
0.1,-1.0900164713206593,-1.661282841895213
0.1,-1.102016471320659,-1.6530161791446205
0.1,-1.1140164713206588,-1.6264355689408885
0.1,-1.1260164713206593,-1.593239602091158
0.1,-1.138016471320659,-1.560881816261805
0.1,-1.1500164713206587,-1.5328898462874103
0.1,-1.162016471320659,-1.510219312184387
0.1,-1.174016471320659,-1.492528686520405
