Pressure,Voltage,Value
0.1,-0.0012000000000000899,6.501613716229819e-14
0.1,-0.0025199999999998557,4.379938857367733e-14
0.1,-0.003972000000000309,-3.641505731782386e-14
0.1,-0.005569200000000052,-2.7923734266664754e-14
0.1,-0.0073261199999997695,1.8347945126842621e-13
0.1,-0.009258731999999936,-1.4366924236887106e-14
0.1,-0.011384605199999953,3.389972518744144e-13
0.1,-0.013723065720000038,1.6377623759099924e-13
0.1,-0.016295372292000065,-1.2904765519884527e-13
0.1,-0.01912490952120005,2.434412406513515e-13
0.1,-0.022237400473320124,1.5819384185484746e-13
0.1,-0.025661140520652048,-1.4643128236326105e-13
0.1,-0.02942725457271711,1.705356944059063e-13
0.1,-0.0335699800299889,-6.590904958388549e-14
0.1,-0.038126978032988035,1.429546933961712e-13
0.1,-0.04313967583628653,2.8872789529461955e-15
0.1,-0.04865364341991518,-7.662832977570168e-14
0.1,-0.05471900776190708,-2.6045508692505442e-15
0.1,-0.06139090853809748,1.3001128077324201e-14
0.1,-0.06872999939190727,1.6133750489285246e-14
0.1,-0.07680299933109824,-6.616852414376392e-14
0.1,-0.08568329926420759,-7.436654266188014e-14
0.1,-0.09545162919062877,9.808835744212679e-14
0.1,-0.10619679210969157,7.771873693896373e-14
0.1,-0.11801647132066084,1.631114708069774e-13
0.1,-0.13001647132066052,2.0079570264100574e-14
0.1,-0.14201647132066064,-3.7501544771168993e-14
0.1,-0.15401647132066076,-1.4846292560642379e-13
0.1,-0.16601647132066044,-5.0387503274270606e-14
0.1,-0.17801647132066056,1.7698333222541555e-13
0.1,-0.19001647132066068,-8.236166356770939e-14
0.1,-0.2020164713206607,2.457646966654267e-13
0.1,-0.21401647132066093,-4.374844219835112e-14
0.1,-0.22601647132066072,1.165595189140949e-13
0.1,-0.23801647132066073,3.8395031954705655e-14
0.1,-0.25001647132066074,-1.477381850495819e-13
0.1,-0.2620164713206605,2.354776556917015e-13
0.1,-0.27401647132066076,1.3454758075731023e-14
0.1,-0.28601647132066077,-8.361836569388542e-14
0.1,-0.2980164713206608,3.4143404431214205e-15
0.1,-0.310016471320661,-3.235034848098878e-14
0.1,-0.3220164713206608,-9.280937032502138e-14
0.1,-0.3340164713206608,1.7965757385407902e-14
0.1,-0.3460164713206608,4.9447018173578695e-15
