BoundaryLayerThickness,Voltage,Value
1.0e9,-0.0020000000000000018,-2.1190088608111042e-14
1.0e9,-0.0044000000000000705,-7.274282268985758e-16
1.0e9,-0.007280000000000064,-2.222897925668388e-14
1.0e9,-0.010735999999999968,-2.0643991175125867e-14
1.0e9,-0.014883199999999874,-1.231535862625955e-14
1.0e9,-0.019859840000000184,-6.082024045057077e-15
1.0e9,-0.025831808000000178,-5.353792757582691e-15
1.0e9,-0.03299816960000013,5.0233962076395225e-15
1.0e9,-0.041597803519999865,-1.6591662712113486e-15
1.0e9,-0.05191736422399984,-2.7568926700956648e-15
1.0e9,-0.06430083706880008,7.980962800411159e-15
1.0e9,-0.07916100448255992,9.901208596640615e-15
1.0e9,-0.09699320537907208,3.834701439124255e-15
1.0e9,-0.1169932053790721,3.282392454547045e-15
1.0e9,-0.136993205379072,2.2072867843004806e-15
1.0e9,-0.1569932053790719,1.1954941207509144e-14
1.0e9,-0.17699320537907182,3.4420412323557603e-15
1.0e9,-0.19699320537907217,-3.740351167383237e-15
1.0e9,-0.21699320537907196,-3.644237644397863e-15
1.0e9,-0.23699320537907198,3.4578601062614652e-15
1.0e9,-0.256993205379072,-1.0685842178610023e-14
1.0e9,-0.2769932053790718,-8.94170068655474e-15
1.0e9,-0.29699320537907203,-2.7845117829065865e-14
1.0e9,-0.31699320537907205,-1.374256670149295e-13
1.0e9,-0.33699320537907207,-4.670283612029241e-13
1.0e9,-0.3569932053790723,-1.593235868867366e-12
1.0e9,-0.3769932053790721,-5.3388791981100356e-12
1.0e9,-0.3969932053790721,-1.8248332151344424e-11
1.0e9,-0.4169932053790717,-6.250472891897018e-11
1.0e9,-0.43699320537907194,-2.1401285356185517e-10
1.0e9,-0.4569932053790724,-7.336786645833932e-10
1.0e9,-0.47699320537907264,-2.517551278811153e-9
1.0e9,-0.4969932053790722,-8.645620734053165e-9
1.0e9,-0.5169932053790725,-2.9707665425942422e-8
1.0e9,-0.536993205379072,-1.0210842653813585e-7
1.0e9,-0.5569932053790723,-3.5085257493952716e-7
1.0e9,-0.5769932053790725,-1.2038545939017296e-6
1.0e9,-0.5969932053790721,-4.115681092730318e-6
1.0e9,-0.6169932053790725,-1.3956691640412245e-5
1.0e9,-0.6369932053790721,-4.653289847829674e-5
1.0e9,-0.6569932053790724,-0.00015003859451172868
1.0e9,-0.6769932053790726,-0.0004551911403063347
1.0e9,-0.6969932053790728,-0.0012535979476250801
1.0e9,-0.7169932053790724,-0.003045866773024517
1.0e9,-0.736993205379072,-0.006522832735175695
1.0e9,-0.7569932053790722,-0.012639947925747134
1.0e9,-0.7769932053790727,-0.02292782581651777
1.0e9,-0.7969932053790729,-0.03997459978035455
1.0e9,-0.8169932053790725,-0.0680582567489298
1.0e9,-0.8369932053790721,-0.1140091755514999
1.0e9,-0.8569932053790723,-0.1883532306165776
1.0e9,-0.8769932053790725,-0.30658758672075265
1.0e9,-0.8969932053790721,-0.4898026215287746
1.0e9,-0.9169932053790717,-0.763027106973627
1.0e9,-0.9369932053790719,-1.150121983421967
1.0e9,-0.9569932053790724,-1.6664616558657923
1.0e9,-0.976993205379072,-2.3132385223896983
1.0e9,-0.9969932053790715,-3.0766227678918163
1.0e9,-1.0169932053790718,-3.931152715360268
1.0e9,-1.036993205379072,-4.844070483318259
1.0e9,-1.0569932053790716,-5.777937809345067
1.0e9,-1.0769932053790712,-6.690612462232578
1.0e9,-1.0969932053790714,-7.532544236494707
1.0e9,-1.1169932053790717,-8.241299874639939
1.0e9,-1.1369932053790712,-8.73331442077507
1.0e9,-1.1569932053790708,-8.896504339594355
1.0e9,-1.1769932053790713,-8.607258236094093
1.0e9,-1.1969932053790715,-7.841442121553169
1.0e9,-1.183006794620929,-6.318824774557652
1.0e9,-1.1630067946209295,-5.245269712677252
1.0e9,-1.143006794620929,-4.442543115570612
1.0e9,-1.1230067946209288,-3.7671592638632685
1.0e9,-1.1030067946209292,-3.1632714647890063
1.0e9,-1.0830067946209296,-2.608138163986406
1.0e9,-1.0630067946209294,-2.0962600581557638
1.0e9,-1.0430067946209292,-1.6318383185124425
1.0e9,-1.0230067946209296,-1.2233645639374766
1.0e9,-1.00300679462093,-0.8789418051478853
1.0e9,-0.9830067946209297,-0.6025624760930415
1.0e9,-0.9630067946209294,-0.39226686507313335
1.0e9,-0.9430067946209297,-0.24075377351854532
1.0e9,-0.9230067946209302,-0.137739588524649
1.0e9,-0.9030067946209299,-0.0723761848021318
1.0e9,-0.8830067946209297,-0.034475100876175266
1.0e9,-0.8630067946209301,-0.014841920052760714
1.0e9,-0.8430067946209305,-0.005840095042069343
1.0e9,-0.8230067946209303,-0.0021436671567606857
1.0e9,-0.8030067946209299,-0.0007486887247980268
1.0e9,-0.7830067946209304,-0.00025113451584580674
1.0e9,-0.7630067946209308,-7.930543973682334e-5
1.0e9,-0.7430067946209304,-2.045847281208881e-5
1.0e9,-0.7230067946209302,3.6888817192449533e-7
1.0e9,-0.7030067946209306,8.787126433464237e-6
1.0e9,-0.6830067946209311,1.3424737716922844e-5
1.0e9,-0.6630067946209308,1.7202899632941526e-5
1.0e9,-0.6430067946209305,2.1154007033259613e-5
1.0e9,-0.6230067946209309,2.5693928269803007e-5
1.0e9,-0.6030067946209313,3.1040249009767525e-5
1.0e9,-0.5830067946209311,3.7345493631122376e-5
1.0e9,-0.5630067946209307,4.473330687856748e-5
1.0e9,-0.5430067946209312,5.329814554105887e-5
1.0e9,-0.5230067946209316,6.308644784932402e-5
1.0e9,-0.5030067946209313,7.406277475574095e-5
1.0e9,-0.4830067946209311,8.605949381539111e-5
1.0e9,-0.4630067946209315,9.87077097867817e-5
1.0e9,-0.44300679462093195,0.00011135042943055597
1.0e9,-0.4230067946209316,0.00012295089193118335
1.0e9,-0.40300679462093136,0.0001320424672681669
1.0e9,-0.3830067946209318,0.0001368519027251322
1.0e9,-0.3630067946209322,0.0001359152642344021
1.0e9,-0.34300679462093187,0.00012972057056066203
1.0e9,-0.3230067946209316,0.00012312411784937445
1.0e9,-0.30300679462093205,0.0001248100660955962
1.0e9,-0.2830067946209325,0.0001416138726388261
1.0e9,-0.26300679462093224,0.0001763062291945033
1.0e9,-0.2430067946209319,0.00023098477438189666
1.0e9,-0.2230067946209323,0.00030980874402882055
1.0e9,-0.20300679462093274,0.00042003779412631744
1.0e9,-0.1830067946209324,0.0005727309069722629
1.0e9,-0.16300679462093215,0.0007837710429934224
1.0e9,-0.14300679462093258,0.0010754062056654802
1.0e9,-0.123006794620933,0.0014783726653959759
1.0e9,-0.10300679462093276,0.002034602900712712
1.0e9,-0.08300679462093252,0.002800381044171617
