Voltage,Capacitance
-0.9975,0.015324736939940214
-0.987,0.015153446936682496
-0.9765,0.014981351662592124
-0.966,0.014808552968471195
-0.9555,0.014635151970258248
-0.945,0.014461249049271124
-0.9345,0.014286943820669695
-0.924,0.014112335076695709
-0.9135,0.013937520708853096
-0.903,0.01376259761760694
-0.8925,0.01358766161124042
-0.882,0.01341280729999332
-0.8715,0.013238127987190776
-0.861,0.013063715559756203
-0.8505,0.012889660380849266
-0.84,0.012716051184203866
-0.8295,0.01254297497360092
-0.819,0.012370516926218239
-0.8085,0.012198760301314684
-0.798,0.012027786355549644
-0.7875,0.011857674263610757
-0.777,0.011688501046144828
-0.7665,0.01152034150365619
-0.756,0.011353268158115909
-0.7455,0.011187351200833348
-0.735,0.011022658447500805
-0.7245,0.010859255300177048
-0.714,0.01069720471621842
-0.7035,0.01053656718397536
-0.693,0.010377400705184961
-0.6825,0.010219760784180992
-0.672,0.010063700423244837
-0.6615,0.009909270124027966
-0.651,0.009756517894811759
-0.6405,0.00960548926367405
-0.63,0.009456227297042
-0.6195,0.009308772623483827
-0.609,0.009163163462479196
-0.5985,0.009019435657734581
-0.588,0.008877622715139019
-0.5775,0.008737755844562267
-0.567,0.008599864005608138
-0.5565,0.008463973956715845
-0.546,0.008330110307483603
-0.5355,0.008198295574106049
-0.525,0.00806855023731401
-0.5145,0.007940892802395932
-0.504,0.007815339861903803
-0.4935,0.007691906159725155
-0.483,0.007570604656690315
-0.4725,0.0074514465978883435
-0.462,0.0073344415805250834
-0.4515,0.007219597623073573
-0.441,0.007106921234732375
-0.4305,0.006996417485521413
-0.42,0.006888090076438529
-0.4095,0.006781941409754813
-0.399,0.0066779726591017705
-0.3885,0.006576183839324297
-0.378,0.006476573875873956
-0.3675,0.006379140673560407
-0.357,0.0062838811848084375
-0.3465,0.006190791476744055
-0.336,0.0060998667977905235
-0.3255,0.0060111016429286596
-0.315,0.005924489817946653
-0.3045,0.005840024502744463
-0.294,0.005757698313085639
-0.2835,0.005677503361377692
-0.273,0.005599431315986628
-0.2625,0.005523473459211406
-0.252,0.005449620743989882
-0.2415,0.005377863849195287
-0.231,0.005308193233445179
-0.2205,0.005240599187624536
-0.21,0.005175071885956013
-0.1995,0.005111601435814697
-0.189,0.00505017792592306
-0.1785,0.004990791473550617
-0.168,0.004933432269976692
-0.1575,0.0048780906250164326
-0.147,0.004824757010182899
-0.1365,0.004773422100493897
