Voltage,Capacitance
-0.9975,0.1672548494430215
-0.987,0.16745408259549732
-0.9765,0.16765186112016606
-0.966,0.16784808770042847
-0.9555,0.1680426620664921
-0.945,0.16823548189687232
-0.9345,0.16842644203013402
-0.924,0.16861543517154853
-0.9135,0.16880235113148068
-0.903,0.16898707764750887
-0.8925,0.16916949978962315
-0.882,0.169349500770688
-0.8715,0.1695269604279348
-0.861,0.1697017571339332
-0.8505,0.169873766690809
-0.84,0.17004286209931774
-0.8295,0.1702089147465058
-0.819,0.17037179318335482
-0.8085,0.17053136376871114
-0.798,0.17068749031901032
-0.7875,0.17084003485989818
-0.777,0.17098885608052283
-0.7665,0.17113381125671845
-0.756,0.1712747543927695
-0.7455,0.17141153743821524
-0.735,0.171544009144875
-0.7245,0.171672016250346
-0.714,0.17179540218209555
-0.7035,0.1719140074987746
-0.693,0.17202767003121622
-0.6825,0.17213622406669904
-0.672,0.17223950065869964
-0.6615,0.17233732712257366
-0.651,0.1724295271923748
-0.6405,0.17251592061146015
-0.63,0.17259632266786173
-0.6195,0.172670544243414
-0.609,0.17273839138076674
-0.5985,0.17279966501693167
-0.588,0.17285416037460255
-0.5775,0.17290166695910214
-0.567,0.17294196786199478
-0.5565,0.1729748394643793
-0.546,0.1730000508824714
-0.5355,0.17301736360275655
-0.525,0.17302653062892248
-0.5145,0.17302729629589675
-0.504,0.17301939554015267
-0.4935,0.17300255312296953
-0.483,0.17297648291864087
-0.4725,0.1729408875242311
-0.462,0.17289545728646494
-0.4515,0.17283986952984498
-0.441,0.1727737875785451
-0.4305,0.17269686067480916
-0.42,0.17260872171270814
-0.4095,0.1725089877965824
-0.399,0.17239725840084708
-0.3885,0.17227311482015395
-0.378,0.17213611891581104
-0.3675,0.17198581256303025
-0.357,0.1718217163075575
-0.3465,0.17164332907076973
-0.336,0.17145012610866872
-0.3255,0.17124155958503362
-0.315,0.17101705729202776
-0.3045,0.17077602151638338
-0.294,0.17051782958382722
-0.2835,0.17024183315381136
-0.273,0.16994735833497643
-0.2625,0.16963370651670862
-0.252,0.1693001545385875
-0.2415,0.16894595680896907
-0.231,0.16857034736673937
-0.2205,0.1681725425833891
-0.21,0.16775174507162316
-0.1995,0.16730714938385793
-0.189,0.1668379480435772
-0.1785,0.16634334050906474
-0.168,0.16582254308269984
-0.1575,0.16527480256482707
-0.147,0.16469941152313927
-0.1365,0.16409572814735096
-0.126,0.16346319876243964
-0.1155,0.16280138640398234
-0.105,0.1621100030297501
-0.0945,0.1613889484310127
-0.084,0.16063835543332627
-0.0735,0.1598586411252767
-0.063,0.15905056680316776
-0.0525,0.1582153031928074
-0.042,0.1573545045764277
-0.0315,0.15647038770893323
-0.021,0.15556581538501285
-0.0105,0.15464438252284912
0.0,0.15371049894900846
0.0,0.15371049894900846
0.0105,0.15276946602617303
0.021,0.15182753805548233
0.0315,0.1508919616443824
0.042,0.14997098258799635
0.0525,0.14907380912226875
0.063,0.1482105214066845
0.0735,0.14739191807614654
0.084,0.1466292927851387
0.0945,0.14593414066375182
0.105,0.14531779819979343
0.1155,0.1447910316400725
0.126,0.14436359794421302
0.1365,0.14404380295197655
0.147,0.14383809824513627
0.1575,0.1437507481954304
0.168,0.14378360213214078
0.1785,0.14393599269192994
0.189,0.14420477311866478
0.1995,0.1445844881208403
0.21,0.14506766076614538
0.2205,0.1456451674533392
0.231,0.14630666602054657
0.2415,0.14704103970503146
0.252,0.14783682587836064
0.2625,0.148682601446605
0.273,0.14956730923991468
0.2835,0.15048051456949957
0.294,0.15141259113733707
0.3045,0.15235483904505603
0.315,0.15329954702904963
0.3255,0.15424000343409322
0.336,0.1551704714062782
0.3465,0.15608613671020538
0.357,0.15698303732623875
0.3675,0.1578579825088633
0.378,0.1587084686754947
0.3885,0.15953259286001498
0.399,0.16032897293558057
0.4095,0.16109666993099903
0.42,0.16183511943615447
