Index,Voltage,Concentration
3,-0.573933668,0.000187112
3,-0.565137666,0.000201083
3,-0.556342424,0.000222249
3,-0.547546531,0.000239804
3,-0.538750313,0.000255651
3,-0.529955179,0.000283695
3,-0.521159177,0.000304878
3,-0.51236285,0.000323725
3,-0.505766554,0.000350713
4,-1.137709563,9.36E-11
4,-1.131114425,1.06E-10
4,-1.124518852,1.18E-10
4,-1.11792328,1.31E-10
4,-1.111328287,1.49E-10
4,-1.104732135,1.62E-10
4,-1.098136853,1.82E-10
4,-1.091540412,1.97E-10
4,-1.08494455,2.16E-10
4,-1.078348255,2.34E-10
4,-1.071751525,2.50E-10
4,-1.065155084,2.69E-10
4,-1.058558499,2.89E-10
4,-1.05196119,3.01E-10
4,-1.045362724,3.01E-10
4,-1.038764258,3.01E-10
4,-1.012369524,2.92E-10
4,-1.005770623,2.87E-10
4,-0.999171578,2.81E-10
4,-0.992571954,2.69E-10
4,-0.985972186,2.56E-10
4,-0.979372851,2.48E-10
4,-0.972773227,2.38E-10
4,-0.966173748,2.29E-10
4,-0.9595734,2.14E-10
4,-0.952973198,2.00E-10
4,-0.946373284,1.90E-10
4,-0.939773516,1.81E-10
4,-0.933172734,1.66E-10
4,-0.926571952,1.52E-10
4,-0.919971605,1.42E-10
4,-0.913369955,1.26E-10
4,-0.906768884,1.15E-10
4,-0.900167524,1.03E-10
4,-0.893565874,9.17E-11
4,-0.886964079,8.11E-11
4,-0.880362719,7.28E-11
4,-0.873760924,6.44E-11
4,-0.867159275,5.73E-11
4,-0.860557769,5.12E-11
4,-0.85395612,4.55E-11
4,-0.847355338,4.18E-11
4,-0.840753833,3.73E-11
4,-0.834153775,3.52E-11
4,-0.827553717,3.32E-11
4,-0.820952935,3.04E-11
4,-0.814353745,2.96E-11
4,-0.807754555,2.89E-11
4,-0.801156089,2.88E-11
4,-0.794557623,2.88E-11
4,-0.787959446,2.92E-11
4,-0.781361558,2.98E-11
4,-0.774764394,3.12E-11
4,-0.768167664,3.33E-11
4,-0.761570356,3.48E-11
4,-0.754973336,3.67E-11
4,-0.748376896,3.95E-11
4,-0.741780745,4.30E-11
4,-0.735184159,4.61E-11
4,-0.728588153,5.05E-11
4,-0.721992147,5.53E-11
4,-0.715395706,5.96E-11
4,-0.708799989,6.60E-11
4,-0.702204128,7.26E-11
4,-0.695608121,7.95E-11
4,-0.689012549,8.85E-11
4,-0.682416398,9.64E-11
4,-0.675821115,1.08E-10
4,-0.669224964,1.18E-10
4,-0.662629247,1.31E-10
4,-0.656033675,1.45E-10
4,-0.649437379,1.57E-10
4,-0.642842385,1.79E-10
4,-0.636246089,1.94E-10
4,-0.629650517,2.16E-10
4,-0.623054656,2.38E-10
4,-0.616458649,2.60E-10
4,-0.609863222,2.91E-10
4,-0.603267215,3.19E-10
4,-0.596671643,3.55E-10
4,-0.590075636,3.88E-10
4,-0.583479775,4.27E-10
4,-0.576884058,4.73E-10
4,-0.570287907,5.15E-10
4,-0.563692479,5.76E-10
4,-0.557096328,6.28E-10
4,-0.550500466,6.91E-10
4,-0.543904749,7.65E-10
4,-0.537308598,8.33E-10
4,-0.530713171,9.32E-10
4,-0.524116875,1.01E-09
4,-0.517520724,1.10E-09
4,-0.510925152,1.22E-09
4,-0.505428166,1.30E-09
5,-1.136921401,9.34E-06
5,-1.128131911,1.28E-05
5,-1.119343397,1.81E-05
5,-1.110552822,2.38E-05
5,-1.101762681,3.17E-05
5,-1.092972757,4.27E-05
5,-1.084181964,5.56E-05
5,-1.075390847,7.16E-05
5,-1.066599837,9.25E-05
5,-1.057808611,0.000118557
5,-1.049017059,0.000150175
5,-1.039677045,0.0002004
5,-0.961082438,0.000788515
5,-0.952286328,0.000844001
5,-0.943491845,0.000959392
5,-0.934695193,0.00100652
5,-0.925898974,0.001073036
5,-0.917104166,0.001205155
5,-0.908307622,0.001269436
5,-0.899510643,0.001315871
5,-0.89071475,0.001419805
5,-0.881919291,0.001556717
5,-0.873122856,0.001646337
5,-0.864325552,0.001686154
5,-0.855528899,0.001768983
5,-0.846733548,0.001947359
5,-0.837936896,0.002043019
5,-0.8291397,0.002100836
5,-0.820343047,0.002204036
5,-0.811547697,0.00242628
5,-0.802750935,0.00253528
5,-0.79395374,0.002607029
5,-0.785156328,0.002659396
5,-0.776359892,0.002812497
5,-0.767564107,0.003046835
5,-0.758767997,0.003261234
5,-0.749970476,0.00331343
5,-0.741173172,0.003393566
5,-0.732375543,0.003434083
5,-0.723579867,0.003735159
5,-0.714783648,0.003981996
5,-0.705986995,0.004177604
5,-0.697189474,0.004244466
5,-0.688392387,0.004382119
5,-0.679594866,0.004452255
5,-0.670799624,0.00492089
5,-0.662002754,0.005121384
5,-0.65320545,0.005245246
5,-0.644408146,0.005372103
5,-0.635611059,0.005546327
5,-0.62681419,0.005772304
5,-0.618018296,0.006228233
5,-0.609221969,0.006613255
5,-0.600424231,0.006665434
5,-0.591626819,0.006799322
5,-0.582829406,0.006935899
5,-0.574032102,0.007103645
5,-0.565235884,0.007573087
5,-0.556439556,0.008041245
5,-0.547642686,0.008368875
5,-0.538845491,0.008605713
5,-0.53004797,0.008743447
5,-0.521250558,0.008919076
5,-0.512452711,0.008953477
5,-0.505854896,0.009170385
6,-1.137836467,1.02E-08
6,-1.13123829,1.03E-08
6,-1.124639824,1.03E-08
6,-1.118041358,1.03E-08
6,-1.111442891,1.03E-08
6,-1.104843557,9.95E-09
6,-1.098244946,9.90E-09
6,-1.091645032,9.38E-09
6,-1.085046277,9.28E-09
6,-1.078447087,9.03E-09
6,-1.071848621,9.03E-09
6,-1.065249141,8.70E-09
6,-1.058649951,8.47E-09
6,-1.052050617,8.20E-09
6,-1.045450125,7.61E-09
6,-1.039400083,7.21E-09
6,-0.946432034,1.66E-09
6,-0.939831107,1.52E-09
6,-0.933229168,1.34E-09
6,-0.926627808,1.20E-09
6,-0.920025579,1.04E-09
6,-0.913423929,9.29E-10
6,-0.906821701,8.08E-10
6,-0.900219906,7.14E-10
6,-0.893617533,6.18E-10
6,-0.887015304,5.38E-10
6,-0.88041351,4.76E-10
6,-0.873810702,4.05E-10
6,-0.867208763,3.56E-10
6,-0.860606245,3.07E-10
6,-0.854004016,2.67E-10
6,-0.847401643,2.31E-10
6,-0.84079898,1.98E-10
6,-0.834197041,1.74E-10
6,-0.827594523,1.50E-10
6,-0.820992439,1.31E-10
6,-0.81439021,1.14E-10
6,-0.807787837,9.87E-11
6,-0.801186187,8.77E-11
6,-0.794583959,7.63E-11
6,-0.787982598,6.86E-11
6,-0.781380659,6.03E-11
6,-0.774779877,5.54E-11
6,-0.768178372,4.95E-11
6,-0.761578025,4.61E-11
6,-0.75497898,4.52E-11
6,-0.737376703,3.57E-11
6,-0.730778526,3.61E-11
6,-0.724180059,3.61E-11
6,-0.717581593,3.61E-11
6,-0.710983561,3.66E-11
6,-0.704385963,3.78E-11
6,-0.697788364,3.91E-11
6,-0.691191634,4.16E-11
6,-0.68459447,4.37E-11
6,-0.677997017,4.53E-11
6,-0.671399708,4.73E-11
6,-0.664803413,5.13E-11
6,-0.658206683,5.46E-11
6,-0.651609519,5.73E-11
6,-0.645012499,6.05E-11
6,-0.638416204,6.55E-11
6,-0.631819329,6.95E-11
6,-0.625222454,7.37E-11
6,-0.618625435,7.77E-11
6,-0.612029429,8.51E-11
6,-0.605432409,8.98E-11
6,-0.59883539,9.47E-11
6,-0.592238371,9.99E-11
6,-0.58564222,1.09E-10
6,-0.579045345,1.15E-10
6,-0.572448181,1.21E-10
6,-0.565851306,1.28E-10
6,-0.540562467,1.56E-10
6,-0.529569292,1.83E-10
6,-0.522972128,1.91E-10
6,-0.516374964,2.01E-10
6,-0.509778957,2.20E-10
6,-0.50483141,2.31E-10
7,-1.138832122,0.000165614
7,-1.129304477,0.000188254
7,-1.113910769,0.000208045
7,-1.104746656,0.000211292
7,-1.096315618,0.000213898
7,-1.086528153,0.000215929
7,-1.077973009,0.000223506
7,-1.069923163,0.000225235
7,-1.061125208,0.000225199
7,-1.051018812,0.000228323
7,-1.04127291,0.000211831
7,-0.969822439,9.27E-05
7,-0.958744706,8.69E-05
