Index,Voltage,Concentration
1,-1.1403196213131133,312.9138900202576
1,-1.1309596358710943,298.12555046315646
1,-1.1215989871648009,279.9518375014612
1,-1.1122382058056526,262.12557732429696
1,-1.1028775570993592,246.14642023826553
1,-1.0935169083930658,231.14135146435677
1,-1.0841562596867724,217.05099064635434
1,-1.074795610980479,203.8195772504537
1,-1.0654349622741857,191.39474990114
1,-1.0560744462207472,180.24872077621671
1,-1.0467137975144538,169.2607712092959
1,-1.0373532814610154,159.4037323585424
1,-1.0301202076769072,152.35562202955268
1,-0.9735316052153627,105.94005724471315
1,-0.9641710891619243,99.77055173761053
1,-0.9548107057613406,94.23290746175994
1,-0.9454503223607571,89.00262345997604
1,-0.9360898063073186,83.81948320251412
1,-0.9267294229067351,79.16718376869055
1,-0.9173691721590063,74.99001830646627
1,-0.9080086561055678,70.6229135214388
1,-0.8986482727049843,66.70307378922585
1,-0.8892881546101105,63.3668556775573
1,-0.8799277712095268,59.849754694249896
1,-0.8705675204617982,56.6918511750105
1,-0.8612072697140696,53.70057080548606
1,-0.8518468863134859,50.71998531856825
1,-0.8424867682186121,48.18317668246155
1,-0.8331263848180286,45.50882750927413
1,-0.823766001417445,42.98291486502838
1,-0.8144058833225712,40.83308321681762
1,-0.8050457652276974,38.79077745721078
1,-0.7956856471328236,36.850619575920504
1,-0.78632526373224,34.80527033205925
1,-0.7769652782902211,33.160370017746374
1,-0.7676050275424925,31.410701206014636
1,-0.7582449094476187,29.839664905725844
1,-0.7488847913527449,28.347205490449497
1,-0.7395248059107261,27.007513921434892
1,-0.7301645551629974,25.582493489954313
1,-0.7208043044152687,24.232662623720103
1,-0.7114443189732498,23.087424733420416
1,-0.7020843335312309,21.9963108923738
1,-0.692724348089212,20.956763192976563
1,-0.6833640973414833,19.85100366936525
1,-0.6740039792466096,18.858136711152714
1,-0.6646439938045907,17.966899415548106
1,-0.6552841410154268,17.167440058138034
1,-0.6459241555734079,16.356105243663997
1,-0.6365640374785341,15.53803897699245
1,-0.6272037867308053,14.71819220872762
1,-0.6178439339416414,14.063288086804127
1,-0.6084840811524773,13.437524731819266
1,-0.5991239630576036,12.765434064334443
1,-0.5897639776155847,12.162138462707599
1,-0.5804038595207109,11.553837460805937
1,-0.5710441393844019,11.071761024716064
1,-0.561684153942383,10.548508568527604
1,-0.5523240358475092,10.020914811025277
1,-0.5429639177526354,9.519709160537992
1,-0.5336041976163264,9.122505419331453
1,-0.5242443448271624,8.71658828517098
1,-0.5148843593851435,8.304641511788004
1,-0.5068003617544452,7.899816000073878
2,-1.1384493487118232,6.700576603914018e-08
2,-1.129091220409773,6.648125120532908e-08
2,-1.1197348165948364,6.84921496619994e-08
2,-1.1103776168627706,6.934803032603239e-08
